# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:29:34 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12447200 OKANOGAN RIVER AT MALOTT, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12447200
#            TS   parameter     statistic     Description
#        296281       00060     00003     Discharge, cubic feet per second (Mean)
#        296282       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	296281_00060_00003	296281_00060_00003_cd	296282_00065_00003	296282_00065_00003_cd
USGS	12447200	2005-01-24	4720	A:e	6.97	A
USGS	12447200	2005-01-25	5120	A:e	8.15	A
USGS	12447200	2005-01-26	6570	A:e	9.12	A
USGS	12447200	2005-01-27	5720	A:e	8.91	A
USGS	12447200	2005-01-28	5120	A:e	8.12	A
USGS	12447200	2005-01-29	4790	A:e	7.91	A
USGS	12447200	2005-01-30	4470	A:e	6.28	A
USGS	12447200	2005-01-31	4220	A	5.64	A
USGS	12447200	2005-02-01	4010	A	5.51	A
USGS	12447200	2005-02-02	3860	A	5.41	A
USGS	12447200	2005-02-03	3690	A	5.30	A
USGS	12447200	2005-02-04	3580	A	5.23	A
USGS	12447200	2005-02-05	3560	A	5.21	A
USGS	12447200	2005-02-06	3570	A	5.22	A
USGS	12447200	2005-02-07	3470	A	5.15	A
USGS	12447200	2005-02-08	3290	A	5.03	A
USGS	12447200	2005-02-09	3230	A	4.99	A
USGS	12447200	2005-02-10	3030	A	4.84	A
USGS	12447200	2005-02-11	3010	A	4.83	A
USGS	12447200	2005-02-12	3020	A	4.84	A
USGS	12447200	2005-02-13	3000	A	4.83	A
USGS	12447200	2005-02-14	2980	A	4.81	A
USGS	12447200	2005-02-15	2940	A	4.78	A
USGS	12447200	2005-02-16	2810	A	4.69	A
USGS	12447200	2005-02-17	2680	A	4.59	A
USGS	12447200	2005-02-18	2540	A	4.49	A
USGS	12447200	2005-02-19	2520	A	4.47	A
USGS	12447200	2005-02-20	2520	A	4.47	A
USGS	12447200	2005-02-21	2520	A	4.47	A
USGS	12447200	2005-02-22	2500	A	4.46	A
USGS	12447200	2005-02-23	2440	A	4.41	A
USGS	12447200	2005-02-24	2400	A	4.38	A
USGS	12447200	2005-02-25	2390	A	4.37	A
USGS	12447200	2005-02-26	2390	A	4.37	A
USGS	12447200	2005-02-27	2370	A	4.36	A
USGS	12447200	2005-02-28	2370	A	4.36	A
USGS	12447200	2005-03-01	2350	A	4.34	A
USGS	12447200	2005-03-02	2130	A	4.17	A
USGS	12447200	2005-03-03	1850	A	3.93	A
USGS	12447200	2005-03-04	1840	A	3.93	A
USGS	12447200	2005-03-05	1830	A	3.91	A
USGS	12447200	2005-03-06	1820	A	3.91	A
USGS	12447200	2005-03-07	1820	A	3.91	A
USGS	12447200	2005-03-08	2070	A	4.11	A
USGS	12447200	2005-03-09	2210	A	4.23	A
USGS	12447200	2005-03-10	2140	A	4.17	A
USGS	12447200	2005-03-11	2350	A	4.34	A
USGS	12447200	2005-03-12	2550	A	4.49	A
USGS	12447200	2005-03-13	2470	A	4.43	A
USGS	12447200	2005-03-14	2610	A	4.54	A
USGS	12447200	2005-03-15	2510	A	4.46	A
USGS	12447200	2005-03-16	2410	A	4.39	A
USGS	12447200	2005-03-17	2390	A	4.37	A
USGS	12447200	2005-03-18	2330	A	4.32	A
USGS	12447200	2005-03-19	2360	A	4.35	A
USGS	12447200	2005-03-20	2410	A	4.39	A
USGS	12447200	2005-03-21	2380	A	4.36	A
USGS	12447200	2005-03-22	2340	A	4.33	A
USGS	12447200	2005-03-23	2280	A	4.28	A
USGS	12447200	2005-03-24	2210	A	4.23	A
USGS	12447200	2005-03-25	2210	A	4.23	A
USGS	12447200	2005-03-26	2140	A	4.17	A
USGS	12447200	2005-03-27	2170	A	4.20	A
USGS	12447200	2005-03-28	2140	A	4.17	A
USGS	12447200	2005-03-29	2120	A	4.16	A
USGS	12447200	2005-03-30	2130	A	4.16	A
USGS	12447200	2005-03-31	2080	A	4.13	A
USGS	12447200	2005-04-01	2050	A	4.10	A
USGS	12447200	2005-04-02	2010	A	4.07	A
USGS	12447200	2005-04-03	2000	A	4.06	A
USGS	12447200	2005-04-04	2020	A	4.08	A
USGS	12447200	2005-04-05	2000	A	4.06	A
USGS	12447200	2005-04-06	2160	A	4.19	A
USGS	12447200	2005-04-07	2300	A	4.31	A
USGS	12447200	2005-04-08	2260	A	4.27	A
USGS	12447200	2005-04-09	2290	A	4.30	A
USGS	12447200	2005-04-10	2430	A	4.40	A
USGS	12447200	2005-04-11	2450	A	4.42	A
USGS	12447200	2005-04-12	2270	A	4.27	A
USGS	12447200	2005-04-13	1920	A	3.99	A
USGS	12447200	2005-04-14	1870	A	3.96	A
USGS	12447200	2005-04-15	1850	A	3.93	A
USGS	12447200	2005-04-16	1860	A	3.94	A
USGS	12447200	2005-04-17	1870	A	3.95	A
USGS	12447200	2005-04-18	1980	A	4.04	A
USGS	12447200	2005-04-19	2120	A	4.15	A
USGS	12447200	2005-04-20	2240	A	4.25	A
USGS	12447200	2005-04-21	2210	A	4.23	A
USGS	12447200	2005-04-22	2180	A	4.21	A
USGS	12447200	2005-04-23	2400	A	4.38	A
USGS	12447200	2005-04-24	3030	A	4.84	A
USGS	12447200	2005-04-25	3750	A	5.34	A
USGS	12447200	2005-04-26	4590	A	5.87	A
USGS	12447200	2005-04-27	5120	A	6.19	A
USGS	12447200	2005-04-28	5880	A	6.63	A
USGS	12447200	2005-04-29	5910	A	6.65	A
USGS	12447200	2005-04-30	5220	A	6.25	A
USGS	12447200	2005-05-01	4790	A	6.00	A
USGS	12447200	2005-05-02	4530	A	5.83	A
USGS	12447200	2005-05-03	4380	A	5.74	A
USGS	12447200	2005-05-04	4430	A	5.77	A
USGS	12447200	2005-05-05	4670	A	5.92	A
USGS	12447200	2005-05-06	4900	A	6.06	A
USGS	12447200	2005-05-07	5280	A	6.28	A
USGS	12447200	2005-05-08	5510	A	6.42	A
USGS	12447200	2005-05-09	5440	A	6.38	A
USGS	12447200	2005-05-10	5400	A	6.35	A
USGS	12447200	2005-05-11	5640	A	6.49	A
USGS	12447200	2005-05-12	5800	A	6.59	A
USGS	12447200	2005-05-13	5880	A	6.63	A
USGS	12447200	2005-05-14	5910	A	6.65	A
USGS	12447200	2005-05-15	6040	A	6.72	A
USGS	12447200	2005-05-16	6310	A	6.87	A
USGS	12447200	2005-05-17	6390	A	6.91	A
USGS	12447200	2005-05-18	6340	A	6.88	A
USGS	12447200	2005-05-19	5870	A	6.62	A
USGS	12447200	2005-05-20	5520	A	6.42	A
USGS	12447200	2005-05-21	5110	A	6.19	A
USGS	12447200	2005-05-22	4700	A	5.94	A
USGS	12447200	2005-05-23	4440	A	5.78	A
USGS	12447200	2005-05-24	3750	A	5.34	A
USGS	12447200	2005-05-25	3330	A	5.05	A
USGS	12447200	2005-05-26	3390	A	5.10	A
USGS	12447200	2005-05-27	3540	A	5.20	A
USGS	12447200	2005-05-28	3430	A	5.12	A
USGS	12447200	2005-05-29	3390	A	5.10	A
USGS	12447200	2005-05-30	3160	A	4.94	A
USGS	12447200	2005-05-31	3070	A	4.87	A
USGS	12447200	2005-06-01	3130	A	4.92	A
USGS	12447200	2005-06-02	3120	A	4.91	A
USGS	12447200	2005-06-03	2990	A	4.82	A
USGS	12447200	2005-06-04	2840	A	4.71	A
USGS	12447200	2005-06-05	2730	A	4.63	A
USGS	12447200	2005-06-06	2640	A	4.56	A
USGS	12447200	2005-06-07	2650	A	4.57	A
USGS	12447200	2005-06-08	2790	A	4.67	A
USGS	12447200	2005-06-09	2850	A	4.72	A
USGS	12447200	2005-06-10	3230	A	4.98	A
USGS	12447200	2005-06-11	3240	A	4.99	A
USGS	12447200	2005-06-12	3060	A	4.87	A
USGS	12447200	2005-06-13	2980	A	4.81	A
USGS	12447200	2005-06-14	2880	A	4.73	A
USGS	12447200	2005-06-15	2700	A	4.60	A
USGS	12447200	2005-06-16	2610	A	4.54	A
USGS	12447200	2005-06-17	2550	A	4.49	A
USGS	12447200	2005-06-18	2510	A	4.47	A
USGS	12447200	2005-06-19	2630	A	4.55	A
USGS	12447200	2005-06-20	3090	A	4.89	A
USGS	12447200	2005-06-21	3180	A	4.95	A
USGS	12447200	2005-06-22	2800	A	4.68	A
USGS	12447200	2005-06-23	2600	A	4.53	A
USGS	12447200	2005-06-24	2630	A	4.56	A
USGS	12447200	2005-06-25	2640	A	4.56	A
USGS	12447200	2005-06-26	2520	A	4.47	A
USGS	12447200	2005-06-27	2510	A	4.46	A
USGS	12447200	2005-06-28	2720	A	4.62	A
USGS	12447200	2005-06-29	4140	A	5.58	A
USGS	12447200	2005-06-30	5060	A	6.15	A
USGS	12447200	2005-07-01	4870	A	6.04	A
USGS	12447200	2005-07-02	4660	A	5.91	A
USGS	12447200	2005-07-03	4470	A	5.80	A
USGS	12447200	2005-07-04	4270	A	5.67	A
USGS	12447200	2005-07-05	4010	A	5.51	A
USGS	12447200	2005-07-06	3610	A	5.25	A
USGS	12447200	2005-07-07	3270	A	5.01	A
USGS	12447200	2005-07-08	3020	A	4.84	A
USGS	12447200	2005-07-09	2890	A	4.75	A
USGS	12447200	2005-07-10	2580	A	4.52	A
USGS	12447200	2005-07-11	2500	A	4.46	A
USGS	12447200	2005-07-12	2430	A	4.41	A
USGS	12447200	2005-07-13	2380	A	4.37	A
USGS	12447200	2005-07-14	2320	A	4.32	A
USGS	12447200	2005-07-15	2270	A	4.28	A
USGS	12447200	2005-07-16	2260	A	4.27	A
USGS	12447200	2005-07-17	2240	A	4.26	A
USGS	12447200	2005-07-18	2210	A	4.23	A
USGS	12447200	2005-07-19	2230	A	4.25	A
USGS	12447200	2005-07-20	2250	A	4.26	A
USGS	12447200	2005-07-21	2180	A	4.21	A
USGS	12447200	2005-07-22	2140	A	4.17	A
USGS	12447200	2005-07-23	2110	A	4.15	A
USGS	12447200	2005-07-24	2100	A	4.14	A
USGS	12447200	2005-07-25	2130	A	4.17	A
USGS	12447200	2005-07-26	2080	A	4.13	A
USGS	12447200	2005-07-27	2010	A	4.09	A
USGS	12447200	2005-07-28	1940	A	4.06	A
USGS	12447200	2005-07-29	1870	A	4.02	A
USGS	12447200	2005-07-30	1820	A	3.98	A
USGS	12447200	2005-07-31	1750	A	3.95	A
USGS	12447200	2005-08-01	1690	A	3.91	A
USGS	12447200	2005-08-02	1620	A	3.87	A
USGS	12447200	2005-08-03	1540	A	3.81	A
USGS	12447200	2005-08-04	1470	A	3.75	A
USGS	12447200	2005-08-05	1380	A	3.64	A
USGS	12447200	2005-08-06	1330	A	3.58	A
USGS	12447200	2005-08-07	1310	A	3.54	A
USGS	12447200	2005-08-08	1280	A	3.50	A
USGS	12447200	2005-08-09	1180	A	3.37	A
USGS	12447200	2005-08-10	917	A	3.08	A
USGS	12447200	2005-08-11	819	A	2.96	A
USGS	12447200	2005-08-12	675	A	2.77	A
USGS	12447200	2005-08-13	618	A	2.70	A
USGS	12447200	2005-08-14	590	A	2.67	A
USGS	12447200	2005-08-15	571	A	2.64	A
USGS	12447200	2005-08-16	540	A	2.60	A
USGS	12447200	2005-08-17	521	A	2.58	A
USGS	12447200	2005-08-18	510	A	2.56	A
USGS	12447200	2005-08-19	505	A	2.55	A
USGS	12447200	2005-08-20	506	A	2.56	A
USGS	12447200	2005-08-21	562	A	2.63	A
USGS	12447200	2005-08-22	662	A	2.76	A
USGS	12447200	2005-08-23	640	A	2.73	A
USGS	12447200	2005-08-24	601	A	2.68	A
USGS	12447200	2005-08-25	575	A	2.65	A
USGS	12447200	2005-08-26	566	A	2.64	A
USGS	12447200	2005-08-27	570	A	2.64	A
USGS	12447200	2005-08-28	570	A	2.64	A
USGS	12447200	2005-08-29	575	A	2.65	A
USGS	12447200	2005-08-30	570	A	2.64	A
USGS	12447200	2005-08-31	556	A	2.62	A
USGS	12447200	2005-09-01	537	A	2.60	A
USGS	12447200	2005-09-02	530	A	2.59	A
USGS	12447200	2005-09-03	536	A	2.60	A
USGS	12447200	2005-09-04	546	A	2.61	A
USGS	12447200	2005-09-05	544	A	2.61	A
USGS	12447200	2005-09-06	534	A	2.59	A
USGS	12447200	2005-09-07	523	A	2.58	A
USGS	12447200	2005-09-08	524	A	2.58	A
USGS	12447200	2005-09-09	525	A	2.58	A
USGS	12447200	2005-09-10	524	A	2.58	A
USGS	12447200	2005-09-11	538	A	2.60	A
USGS	12447200	2005-09-12	559	A	2.63	A
USGS	12447200	2005-09-13	615	A	2.70	A
USGS	12447200	2005-09-14	692	A	2.79	A
USGS	12447200	2005-09-15	733	A	2.84	A
USGS	12447200	2005-09-16	718	A	2.82	A
USGS	12447200	2005-09-17	705	A	2.81	A
USGS	12447200	2005-09-18	727	A	2.83	A
USGS	12447200	2005-09-19	721	A	2.83	A
USGS	12447200	2005-09-20	684	A	2.78	A
USGS	12447200	2005-09-21	666	A	2.76	A
USGS	12447200	2005-09-22	639	A	2.73	A
USGS	12447200	2005-09-23	620	A	2.70	A
USGS	12447200	2005-09-24	623	A	2.71	A
USGS	12447200	2005-09-25	624	A	2.71	A
USGS	12447200	2005-09-26	622	A	2.71	A
USGS	12447200	2005-09-27	614	A	2.70	A
USGS	12447200	2005-09-28	607	A	2.69	A
USGS	12447200	2005-09-29	592	A	2.67	A
USGS	12447200	2005-09-30	606	A	2.69	A
USGS	12447200	2005-10-01	620	A	2.70	A
USGS	12447200	2005-10-02	726	A	2.83	A
USGS	12447200	2005-10-03	1020	A	3.16	A
USGS	12447200	2005-10-04	1080	A	3.23	A
USGS	12447200	2005-10-05	1070	A	3.21	A
USGS	12447200	2005-10-06	1020	A	3.16	A
USGS	12447200	2005-10-07	1000	A	3.14	A
USGS	12447200	2005-10-08	991	A	3.13	A
USGS	12447200	2005-10-09	974	A	3.11	A
USGS	12447200	2005-10-10	1010	A	3.15	A
USGS	12447200	2005-10-11	1080	A	3.22	A
USGS	12447200	2005-10-12	1050	A	3.19	A
USGS	12447200	2005-10-13	1020	A	3.16	A
USGS	12447200	2005-10-14	1040	A	3.18	A
USGS	12447200	2005-10-15	1050	A	3.19	A
USGS	12447200	2005-10-16	1050	A	3.19	A
USGS	12447200	2005-10-17	1070	A	3.21	A
USGS	12447200	2005-10-18	1090	A	3.23	A
USGS	12447200	2005-10-19	1110	A	3.25	A
USGS	12447200	2005-10-20	1410	A	3.54	A
USGS	12447200	2005-10-21	1510	A	3.64	A
USGS	12447200	2005-10-22	1470	A	3.62	A
USGS	12447200	2005-10-23	1520	A	3.68	A
USGS	12447200	2005-10-24	1400	A	3.59	A
USGS	12447200	2005-10-25	1300	A	3.51	A
USGS	12447200	2005-10-26	1240	A	3.45	A
USGS	12447200	2005-10-27	1200	A	3.41	A
USGS	12447200	2005-10-28	1170	A	3.38	A
USGS	12447200	2005-10-29	1150	A	3.36	A
USGS	12447200	2005-10-30	1130	A	3.34	A
USGS	12447200	2005-10-31	1120	A	3.33	A
USGS	12447200	2005-11-01	1120	A	3.33	A
USGS	12447200	2005-11-02	1110	A	3.33	A
USGS	12447200	2005-11-03	1200	A	3.41	A
USGS	12447200	2005-11-04	1290	A	3.50	A
USGS	12447200	2005-11-05	1260	A	3.47	A
USGS	12447200	2005-11-06	1250	A	3.46	A
USGS	12447200	2005-11-07	1220	A	3.43	A
USGS	12447200	2005-11-08	1190	A	3.40	A
USGS	12447200	2005-11-09	1170	A	3.38	A
USGS	12447200	2005-11-10	1120	A	3.33	A
USGS	12447200	2005-11-11	1100	A	3.32	A
USGS	12447200	2005-11-12	1120	A	3.33	A
USGS	12447200	2005-11-13	1190	A	3.40	A
USGS	12447200	2005-11-14	1350	A	3.56	A
USGS	12447200	2005-11-15	1290	A	3.50	A
USGS	12447200	2005-11-16	1240	A	3.45	A
USGS	12447200	2005-11-17	1190	A	3.40	A
USGS	12447200	2005-11-18	1140	A	3.35	A
USGS	12447200	2005-11-19	1130	A	3.35	A
USGS	12447200	2005-11-20	1040	A	3.25	A
USGS	12447200	2005-11-21	1010	A	3.22	A
USGS	12447200	2005-11-22	1010	A	3.21	A
USGS	12447200	2005-11-23	980	A	3.19	A
USGS	12447200	2005-11-24	995	A	3.20	A
USGS	12447200	2005-11-25	1010	A	3.22	A
USGS	12447200	2005-11-26	1020	A	3.23	A
USGS	12447200	2005-11-27	1010	A	3.22	A
USGS	12447200	2005-11-28	1020	A	3.23	A
USGS	12447200	2005-11-29	1030	A	3.24	A
USGS	12447200	2005-11-30	959	A	3.16	A
USGS	12447200	2005-12-01	882	A	3.08	A
USGS	12447200	2005-12-02	870	A	3.07	A
USGS	12447200	2005-12-03	936	A	3.14	A
USGS	12447200	2005-12-04	760	A:e	3.15	A
USGS	12447200	2005-12-05	500	A:e	3.36	A
USGS	12447200	2005-12-06	540	A:e	3.21	A
USGS	12447200	2005-12-07	560	A:e	3.23	A
USGS	12447200	2005-12-08	570	A:e	3.05	A
USGS	12447200	2005-12-09	580	A:e	3.06	A
USGS	12447200	2005-12-10	590	A:e	3.14	A
USGS	12447200	2005-12-11	610	A:e	3.15	A
USGS	12447200	2005-12-12	600	A:e	3.01	A
USGS	12447200	2005-12-13	620	A:e		
USGS	12447200	2005-12-14	640	A:e		
USGS	12447200	2005-12-15	670	A:e		
USGS	12447200	2005-12-16	690	A:e		
USGS	12447200	2005-12-17	710	A:e		
USGS	12447200	2005-12-18	570	A:e	2.86	A
USGS	12447200	2005-12-19	530	A:e	2.80	A
USGS	12447200	2005-12-20	500	A:e	2.77	A
USGS	12447200	2005-12-21	640	A:e	2.87	A
USGS	12447200	2005-12-22	740	A:e	3.06	A
USGS	12447200	2005-12-23	880	A:e	3.15	A
USGS	12447200	2005-12-24	980	A:e	3.29	A
USGS	12447200	2005-12-25	1100	A:e	3.36	A
USGS	12447200	2005-12-26	1240	A	3.43	A
USGS	12447200	2005-12-27	1350	A	3.54	A
USGS	12447200	2005-12-28	1590	A	3.74	A
USGS	12447200	2005-12-29	1870	A	3.98	A
USGS	12447200	2005-12-30	1730	A	3.86	A
USGS	12447200	2005-12-31	1630	A	3.78	A
USGS	12447200	2006-01-01	1530	A	3.70	A
USGS	12447200	2006-01-02	1470	A	3.64	A
USGS	12447200	2006-01-03	1420	A	3.59	A
USGS	12447200	2006-01-04	1280	A	3.46	A
USGS	12447200	2006-01-05	1140	A	3.32	A
USGS	12447200	2006-01-06	1130	A	3.32	A
USGS	12447200	2006-01-07	1190	A	3.38	A
USGS	12447200	2006-01-08	1200	A	3.38	A
USGS	12447200	2006-01-09	1260	A	3.44	A
USGS	12447200	2006-01-10	1390	A	3.56	A
USGS	12447200	2006-01-11	1390	A	3.57	A
USGS	12447200	2006-01-12	1330	A	3.51	A
USGS	12447200	2006-01-13	1330	A	3.51	A
USGS	12447200	2006-01-14	1320	A	3.50	A
USGS	12447200	2006-01-15	1260	A	3.44	A
USGS	12447200	2006-01-16	1220	A	3.41	A
USGS	12447200	2006-01-17	1190	A	3.37	A
USGS	12447200	2006-01-18	1090	A	3.27	A
USGS	12447200	2006-01-19	1050	A	3.23	A
USGS	12447200	2006-01-20	1030	A	3.21	A
USGS	12447200	2006-01-21	1030	A	3.21	A
USGS	12447200	2006-01-22	1010	A	3.19	A
USGS	12447200	2006-01-23	995	A	3.17	A
USGS	12447200	2006-01-24	992	A	3.17	A
USGS	12447200	2006-01-25	975	A	3.15	A
USGS	12447200	2006-01-26	971	A	3.15	A
USGS	12447200	2006-01-27	973	A	3.15	A
USGS	12447200	2006-01-28	975	A	3.15	A
USGS	12447200	2006-01-29	977	A	3.15	A
USGS	12447200	2006-01-30	988	A	3.17	A
USGS	12447200	2006-01-31	988	A	3.17	A
USGS	12447200	2006-02-01	965	A	3.14	A
USGS	12447200	2006-02-02	962	A	3.14	A
USGS	12447200	2006-02-03	942	A	3.12	A
USGS	12447200	2006-02-04	976	A	3.15	A
USGS	12447200	2006-02-05	1020	A	3.20	A
USGS	12447200	2006-02-06	1000	A	3.18	A
USGS	12447200	2006-02-07	993	A	3.17	A
USGS	12447200	2006-02-08	1050	A	3.23	A
USGS	12447200	2006-02-09	1170	A	3.35	A
USGS	12447200	2006-02-10	1470	A	3.64	A
USGS	12447200	2006-02-11	1890	A	4.00	A
USGS	12447200	2006-02-12	1840	A	3.95	A
USGS	12447200	2006-02-13	1730	A	3.87	A
USGS	12447200	2006-02-14	1680	A	3.81	A
USGS	12447200	2006-02-15	1700	A	3.84	A
USGS	12447200	2006-02-16	1500	A	3.66	A
USGS	12447200	2006-02-17	1380	A	3.56	A
USGS	12447200	2006-02-18	1460	A	3.63	A
USGS	12447200	2006-02-19	1350	A	3.53	A
USGS	12447200	2006-02-20	1300	A:e	3.52	A
USGS	12447200	2006-02-21	1210	A	3.39	A
USGS	12447200	2006-02-22	1220	A	3.41	A
USGS	12447200	2006-02-23	1260	A	3.44	A
USGS	12447200	2006-02-24	1320	A	3.50	A
USGS	12447200	2006-02-25	1240	A	3.42	A
USGS	12447200	2006-02-26	1300	A	3.48	A
USGS	12447200	2006-02-27	1250	A	3.43	A
USGS	12447200	2006-02-28	1290	A	3.47	A
USGS	12447200	2006-03-01	1260	A	3.44	A
USGS	12447200	2006-03-02	1000	A	3.18	A
USGS	12447200	2006-03-03	979	A	3.16	A
USGS	12447200	2006-03-04	1180	A	3.36	A
USGS	12447200	2006-03-05	1360	A	3.53	A
USGS	12447200	2006-03-06	1370	A	3.55	A
USGS	12447200	2006-03-07	1400	A	3.57	A
USGS	12447200	2006-03-08	1440	A	3.61	A
USGS	12447200	2006-03-09	1450	A	3.62	A
USGS	12447200	2006-03-10	1450	A	3.62	A
USGS	12447200	2006-03-11	1440	A	3.61	A
USGS	12447200	2006-03-12	1430	A	3.60	A
USGS	12447200	2006-03-13	1410	A	3.59	A
USGS	12447200	2006-03-14	1410	A	3.58	A
USGS	12447200	2006-03-15	1280	A	3.46	A
USGS	12447200	2006-03-16	1360	A	3.53	A
USGS	12447200	2006-03-17	1460	A	3.63	A
USGS	12447200	2006-03-18	1480	A	3.65	A
USGS	12447200	2006-03-19	1400	A	3.57	A
USGS	12447200	2006-03-20	1450	A	3.62	A
USGS	12447200	2006-03-21	1460	A	3.63	A
USGS	12447200	2006-03-22	1430	A	3.60	A
USGS	12447200	2006-03-23	1350	A	3.53	A
USGS	12447200	2006-03-24	1270	A	3.45	A
USGS	12447200	2006-03-25	1210	A	3.39	A
USGS	12447200	2006-03-26	1130	A	3.31	A
USGS	12447200	2006-03-27	1120	A	3.31	A
USGS	12447200	2006-03-28	1150	A	3.33	A
USGS	12447200	2006-03-29	1080	A	3.26	A
USGS	12447200	2006-03-30	995	A	3.17	A
USGS	12447200	2006-03-31	997	A	3.17	A
USGS	12447200	2006-04-01	944	A	3.12	A
USGS	12447200	2006-04-02	936	A	3.11	A
USGS	12447200	2006-04-03	955	A	3.13	A
USGS	12447200	2006-04-04	971	A	3.15	A
USGS	12447200	2006-04-05	1010	A	3.19	A
USGS	12447200	2006-04-06	1150	A	3.32	A
USGS	12447200	2006-04-07	1980	A	4.07	A
USGS	12447200	2006-04-08	1840	A	3.96	A
USGS	12447200	2006-04-09	1830	A	3.95	A
USGS	12447200	2006-04-10	1930	A	4.03	A
USGS	12447200	2006-04-11	1960	A	4.05	A
USGS	12447200	2006-04-12	2080	A	4.16	A
USGS	12447200	2006-04-13	2270	A	4.30	A
USGS	12447200	2006-04-14	2370	A	4.38	A
USGS	12447200	2006-04-15	2500	A	4.47	A
USGS	12447200	2006-04-16	2470	A	4.45	A
USGS	12447200	2006-04-17	2380	A	4.39	A
USGS	12447200	2006-04-18	2270	A	4.30	A
USGS	12447200	2006-04-19	2170	A	4.22	A
USGS	12447200	2006-04-20	2050	A	4.13	A
USGS	12447200	2006-04-21	2000	A	4.09	A
USGS	12447200	2006-04-22	2160	A	4.21	A
USGS	12447200	2006-04-23	2450	A	4.44	A
USGS	12447200	2006-04-24	2640	A	4.58	A
USGS	12447200	2006-04-25	2700	A	4.63	A
USGS	12447200	2006-04-26	2890	A	4.76	A
USGS	12447200	2006-04-27	3210	A	4.98	A
USGS	12447200	2006-04-28	3550	A	5.21	A
USGS	12447200	2006-04-29	3760	A	5.35	A
USGS	12447200	2006-04-30	4340	A	5.72	A
USGS	12447200	2006-05-01	5670	A	6.51	A
USGS	12447200	2006-05-02	6090	A	6.75	A
USGS	12447200	2006-05-03	5560	A	6.44	A
USGS	12447200	2006-05-04	5020	A	6.13	A
USGS	12447200	2006-05-05	4770	A	5.98	A
USGS	12447200	2006-05-06	5020	A	6.13	A
USGS	12447200	2006-05-07	5700	A	6.53	A
USGS	12447200	2006-05-08	6180	A	6.80	A
USGS	12447200	2006-05-09	5930	A	6.66	A
