# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:30:57 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13344500 TUCANNON RIVER NEAR STARBUCK, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 13344500
#            TS   parameter     statistic     Description
#        150225       00060     00003     Discharge, cubic feet per second (Mean)
#        150226       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	150225_00060_00003	150225_00060_00003_cd	150226_00065_00003	150226_00065_00003_cd
USGS	13344500	2005-01-21	86.0	A	9.40	A
USGS	13344500	2005-01-22	87.0	A	9.41	A
USGS	13344500	2005-01-23	85.0	A	9.40	A
USGS	13344500	2005-01-24	84.0	A	9.39	A
USGS	13344500	2005-01-25	82.0	A	9.38	A
USGS	13344500	2005-01-26	79.0	A	9.36	A
USGS	13344500	2005-01-27	78.0	A	9.36	A
USGS	13344500	2005-01-28	76.0	A	9.34	A
USGS	13344500	2005-01-29	76.0	A	9.34	A
USGS	13344500	2005-01-30	73.0	A	9.32	A
USGS	13344500	2005-01-31	71.0	A	9.31	A
USGS	13344500	2005-02-01	68.0	A	9.29	A
USGS	13344500	2005-02-02	70.0	A	9.30	A
USGS	13344500	2005-02-03	72.0	A	9.31	A
USGS	13344500	2005-02-04	73.0	A	9.32	A
USGS	13344500	2005-02-05	77.0	A	9.35	A
USGS	13344500	2005-02-06	74.0	A	9.33	A
USGS	13344500	2005-02-07	74.0	A	9.33	A
USGS	13344500	2005-02-08	73.0	A	9.32	A
USGS	13344500	2005-02-09	72.0	A	9.32	A
USGS	13344500	2005-02-10	73.0	A	9.32	A
USGS	13344500	2005-02-11	74.0	A	9.33	A
USGS	13344500	2005-02-12	80.0	A	9.37	A
USGS	13344500	2005-02-13	81.0	A	9.37	A
USGS	13344500	2005-02-14	80.0	A	9.36	A
USGS	13344500	2005-02-15	78.0	A	9.35	A
USGS	13344500	2005-02-16	77.0	A	9.35	A
USGS	13344500	2005-02-17	72.0	A	9.32	A
USGS	13344500	2005-02-18	74.0	A	9.33	A
USGS	13344500	2005-02-19	76.0	A	9.34	A
USGS	13344500	2005-02-20	78.0	A	9.35	A
USGS	13344500	2005-02-21	78.0	A	9.35	A
USGS	13344500	2005-02-22	79.0	A	9.36	A
USGS	13344500	2005-02-23	81.0	A	9.38	A
USGS	13344500	2005-02-24	82.0	A	9.38	A
USGS	13344500	2005-02-25	82.0	A	9.38	A
USGS	13344500	2005-02-26	82.0	A	9.38	A
USGS	13344500	2005-02-27	81.0	A	9.37	A
USGS	13344500	2005-02-28	81.0	A	9.37	A
USGS	13344500	2005-03-01	81.0	A	9.38	A
USGS	13344500	2005-03-02	80.0	A	9.37	A
USGS	13344500	2005-03-03	80.0	A	9.37	A
USGS	13344500	2005-03-04	77.0	A	9.35	A
USGS	13344500	2005-03-05	76.0	A	9.34	A
USGS	13344500	2005-03-06	76.0	A	9.34	A
USGS	13344500	2005-03-07	76.0	A	9.34	A
USGS	13344500	2005-03-08	77.0	A	9.35	A
USGS	13344500	2005-03-09	77.0	A	9.35	A
USGS	13344500	2005-03-10	78.0	A	9.36	A
USGS	13344500	2005-03-11	77.0	A	9.35	A
USGS	13344500	2005-03-12	77.0	A	9.35	A
USGS	13344500	2005-03-13	78.0	A	9.36	A
USGS	13344500	2005-03-14	77.0	A	9.35	A
USGS	13344500	2005-03-15	73.0	A	9.33	A
USGS	13344500	2005-03-16	71.0	A	9.31	A
USGS	13344500	2005-03-17	76.0	A	9.34	A
USGS	13344500	2005-03-18	76.0	A	9.34	A
USGS	13344500	2005-03-19	74.0	A	9.33	A
USGS	13344500	2005-03-20	76.0	A	9.34	A
USGS	13344500	2005-03-21	77.0	A	9.35	A
USGS	13344500	2005-03-22	79.0	A	9.36	A
USGS	13344500	2005-03-23	80.0	A	9.37	A
USGS	13344500	2005-03-24	87.0	A	9.41	A
USGS	13344500	2005-03-25	90.0	A	9.43	A
USGS	13344500	2005-03-26	91.0	A	9.43	A
USGS	13344500	2005-03-27	109	A	9.53	A
USGS	13344500	2005-03-28	246	A	10.09	A
USGS	13344500	2005-03-29	244	A	10.08	A
USGS	13344500	2005-03-30	210	A	9.94	A
USGS	13344500	2005-03-31	184	A	9.83	A
USGS	13344500	2005-04-01	174	A	9.79	A
USGS	13344500	2005-04-02	172	A	9.78	A
USGS	13344500	2005-04-03	171	A	9.77	A
USGS	13344500	2005-04-04	183	A	9.82	A
USGS	13344500	2005-04-05	179	A	9.81	A
USGS	13344500	2005-04-06	172	A	9.78	A
USGS	13344500	2005-04-07	170	A	9.77	A
USGS	13344500	2005-04-08	172	A	9.77	A
USGS	13344500	2005-04-09	164	A	9.75	A
USGS	13344500	2005-04-10	154	A	9.70	A
USGS	13344500	2005-04-11	148	A	9.69	A
USGS	13344500	2005-04-12	146	A	9.68	A
USGS	13344500	2005-04-13	141	A	9.66	A
USGS	13344500	2005-04-14	129	A	9.61	A
USGS	13344500	2005-04-15	124	A	9.58	A
USGS	13344500	2005-04-16	121	A	9.58	A
USGS	13344500	2005-04-17	139	A	9.65	A
USGS	13344500	2005-04-18	141	A	9.66	A
USGS	13344500	2005-04-19	136	A	9.64	A
USGS	13344500	2005-04-20	139	A	9.64	A
USGS	13344500	2005-04-21	133	A	9.63	A
USGS	13344500	2005-04-22	128	A	9.60	A
USGS	13344500	2005-04-23	132	A	9.62	A
USGS	13344500	2005-04-24	164	A	9.74	A
USGS	13344500	2005-04-25	164	A	9.74	A
USGS	13344500	2005-04-26	160	A	9.73	A
USGS	13344500	2005-04-27	158	A	9.72	A
USGS	13344500	2005-04-28	152	A	9.70	A
USGS	13344500	2005-04-29	138	A	9.64	A
USGS	13344500	2005-04-30	137	A	9.64	A
USGS	13344500	2005-05-01	136	A	9.63	A
USGS	13344500	2005-05-02	130	A	9.61	A
USGS	13344500	2005-05-03	126	A	9.59	A
USGS	13344500	2005-05-04	129	A	9.61	A
USGS	13344500	2005-05-05	142	A	9.66	A
USGS	13344500	2005-05-06	163	A	9.74	A
USGS	13344500	2005-05-07	203	A	9.92	A
USGS	13344500	2005-05-08	200	A	9.90	A
USGS	13344500	2005-05-09	201	A	9.91	A
USGS	13344500	2005-05-10	209	A	9.94	A
USGS	13344500	2005-05-11	223	A	10.00	A
USGS	13344500	2005-05-12	223	A	10.00	A
USGS	13344500	2005-05-13	215	A	9.96	A
USGS	13344500	2005-05-14	204	A	9.92	A
USGS	13344500	2005-05-15	214	A	9.96	A
USGS	13344500	2005-05-16	225	A	10.01	A
USGS	13344500	2005-05-17	225	A	10.00	A
USGS	13344500	2005-05-18	220	A	9.98	A
USGS	13344500	2005-05-19	218	A	9.97	A
USGS	13344500	2005-05-20	213	A	9.95	A
USGS	13344500	2005-05-21	202	A	9.91	A
USGS	13344500	2005-05-22	190	A	9.86	A
USGS	13344500	2005-05-23	185	A	9.84	A
USGS	13344500	2005-05-24	171	A	9.77	A
USGS	13344500	2005-05-25	158	A	9.73	A
USGS	13344500	2005-05-26	142	A	9.66	A
USGS	13344500	2005-05-27	132	A	9.62	A
USGS	13344500	2005-05-28	121	A	9.57	A
USGS	13344500	2005-05-29	113	A	9.54	A
USGS	13344500	2005-05-30	107	A	9.51	A
USGS	13344500	2005-05-31	103	A	9.49	A
USGS	13344500	2005-06-01	103	A	9.50	A
USGS	13344500	2005-06-02	97.0	A	9.47	A
USGS	13344500	2005-06-03	93.0	A	9.45	A
USGS	13344500	2005-06-04	88.0	A	9.42	A
USGS	13344500	2005-06-05	88.0	A	9.42	A
USGS	13344500	2005-06-06	95.0	A	9.46	A
USGS	13344500	2005-06-07	95.0	A	9.46	A
USGS	13344500	2005-06-08	88.0	A	9.42	A
USGS	13344500	2005-06-09	81.0	A	9.39	A
USGS	13344500	2005-06-10	73.0	A	9.35	A
USGS	13344500	2005-06-11	70.0	A	9.33	A
USGS	13344500	2005-06-12	66.0	A	9.31	A
USGS	13344500	2005-06-13	66.0	A	9.31	A
USGS	13344500	2005-06-14	63.0	A	9.29	A
USGS	13344500	2005-06-15	59.0	A	9.26	A
USGS	13344500	2005-06-16	61.0	A	9.27	A
USGS	13344500	2005-06-17	59.0	A	9.26	A
USGS	13344500	2005-06-18	64.0	A	9.29	A
USGS	13344500	2005-06-19	63.0	A	9.29	A
USGS	13344500	2005-06-20	58.0	A	9.25	A
USGS	13344500	2005-06-21	53.0	A	9.21	A
USGS	13344500	2005-06-22	51.0	A	9.19	A
USGS	13344500	2005-06-23	48.0	A	9.18	A
USGS	13344500	2005-06-24	45.0	A	9.15	A
USGS	13344500	2005-06-25	43.0	A	9.14	A
USGS	13344500	2005-06-26	43.0	A	9.13	A
USGS	13344500	2005-06-27	46.0	A	9.16	A
USGS	13344500	2005-06-28	54.0	A	9.22	A
USGS	13344500	2005-06-29	49.0	A	9.19	A
USGS	13344500	2005-06-30	46.0	A	9.16	A
USGS	13344500	2005-07-01	43.0	A	9.14	A
USGS	13344500	2005-07-02	42.0	A	9.13	A
USGS	13344500	2005-07-03	43.0	A	9.13	A
USGS	13344500	2005-07-04	45.0	A	9.15	A
USGS	13344500	2005-07-05	46.0	A	9.16	A
USGS	13344500	2005-07-06	44.0	A	9.14	A
USGS	13344500	2005-07-07	46.0	A	9.16	A
USGS	13344500	2005-07-08	46.0	A	9.16	A
USGS	13344500	2005-07-09	54.0	A	9.22	A
USGS	13344500	2005-07-10	64.0	A	9.29	A
USGS	13344500	2005-07-11	60.0	A	9.27	A
USGS	13344500	2005-07-12	52.0	A	9.21	A
USGS	13344500	2005-07-13	48.0	A	9.18	A
USGS	13344500	2005-07-14	48.0	A	9.17	A
USGS	13344500	2005-07-15	49.0	A	9.18	A
USGS	13344500	2005-07-16	50.0	A	9.19	A
USGS	13344500	2005-07-17	52.0	A	9.20	A
USGS	13344500	2005-07-18	49.0	A	9.19	A
USGS	13344500	2005-07-19	47.0	A	9.16	A
USGS	13344500	2005-07-20	45.0	A	9.15	A
USGS	13344500	2005-07-21	43.0	A	9.14	A
USGS	13344500	2005-07-22	46.0	A	9.16	A
USGS	13344500	2005-07-23	49.0	A	9.18	A
USGS	13344500	2005-07-24	47.0	A	9.17	A
USGS	13344500	2005-07-25	46.0	A	9.16	A
USGS	13344500	2005-07-26	44.0	A	9.14	A
USGS	13344500	2005-07-27	42.0	A	9.12	A
USGS	13344500	2005-07-28	41.0	A	9.11	A
USGS	13344500	2005-07-29	41.0	A	9.11	A
USGS	13344500	2005-07-30	41.0	A	9.11	A
USGS	13344500	2005-07-31	42.0	A	9.12	A
USGS	13344500	2005-08-01	41.0	A	9.12	A
USGS	13344500	2005-08-02	41.0	A	9.12	A
USGS	13344500	2005-08-03	41.0	A	9.11	A
USGS	13344500	2005-08-04	39.0	A	9.10	A
USGS	13344500	2005-08-05	37.0	A	9.08	A
USGS	13344500	2005-08-06	36.0	A	9.07	A
USGS	13344500	2005-08-07	35.0	A	9.07	A
USGS	13344500	2005-08-08	37.0	A	9.08	A
USGS	13344500	2005-08-09	35.0	A	9.06	A
USGS	13344500	2005-08-10	36.0	A	9.08	A
USGS	13344500	2005-08-11	42.0	A	9.12	A
USGS	13344500	2005-08-12	40.0	A	9.11	A
USGS	13344500	2005-08-13	48.0	A	9.18	A
USGS	13344500	2005-08-14	45.0	A	9.15	A
USGS	13344500	2005-08-15	45.0	A	9.15	A
USGS	13344500	2005-08-16	42.0	A	9.12	A
USGS	13344500	2005-08-17	43.0	A	9.13	A
USGS	13344500	2005-08-18	44.0	A	9.14	A
USGS	13344500	2005-08-19	44.0	A	9.14	A
USGS	13344500	2005-08-20	44.0	A	9.14	A
USGS	13344500	2005-08-21	46.0	A	9.16	A
USGS	13344500	2005-08-22	45.0	A	9.15	A
USGS	13344500	2005-08-23	43.0	A	9.14	A
USGS	13344500	2005-08-24	44.0	A	9.15	A
USGS	13344500	2005-08-25	44.0	A	9.15	A
USGS	13344500	2005-08-26	40.0	A	9.11	A
USGS	13344500	2005-08-27	40.0	A	9.11	A
USGS	13344500	2005-08-28	43.0	A	9.13	A
USGS	13344500	2005-08-29	46.0	A	9.16	A
USGS	13344500	2005-08-30	47.0	A	9.16	A
USGS	13344500	2005-08-31	48.0	A	9.17	A
USGS	13344500	2005-09-01	47.0	A	9.17	A
USGS	13344500	2005-09-02	46.0	A	9.16	A
USGS	13344500	2005-09-03	46.0	A	9.16	A
USGS	13344500	2005-09-04	50.0	A	9.19	A
USGS	13344500	2005-09-05	50.0	A	9.19	A
USGS	13344500	2005-09-06	50.0	A	9.19	A
USGS	13344500	2005-09-07	49.0	A	9.18	A
USGS	13344500	2005-09-08	49.0	A	9.18	A
USGS	13344500	2005-09-09	51.0	A	9.19	A
USGS	13344500	2005-09-10	52.0	A	9.20	A
USGS	13344500	2005-09-11	55.0	A	9.23	A
USGS	13344500	2005-09-12	57.0	A	9.24	A
USGS	13344500	2005-09-13	56.0	A	9.24	A
USGS	13344500	2005-09-14	50.0	A	9.19	A
USGS	13344500	2005-09-15	46.0	A	9.16	A
USGS	13344500	2005-09-16	48.0	A	9.18	A
USGS	13344500	2005-09-17	57.0	A	9.24	A
USGS	13344500	2005-09-18	59.0	A	9.26	A
USGS	13344500	2005-09-19	55.0	A	9.23	A
USGS	13344500	2005-09-20	53.0	A	9.21	A
USGS	13344500	2005-09-21	55.0	A	9.23	A
USGS	13344500	2005-09-22	53.0	A	9.22	A
USGS	13344500	2005-09-23	54.0	A	9.22	A
USGS	13344500	2005-09-24	58.0	A	9.25	A
USGS	13344500	2005-09-25	57.0	A	9.24	A
USGS	13344500	2005-09-26	56.0	A	9.24	A
USGS	13344500	2005-09-27	55.0	A	9.23	A
USGS	13344500	2005-09-28	54.0	A	9.22	A
USGS	13344500	2005-09-29	53.0	A	9.21	A
USGS	13344500	2005-09-30	59.0	A	9.26	A
USGS	13344500	2005-10-01	73.0	A	9.34	A
USGS	13344500	2005-10-02	75.4	A	9.36	A
USGS	13344500	2005-10-03	73.6	A	9.35	A
USGS	13344500	2005-10-04	72.8	A	9.34	A
USGS	13344500	2005-10-05	71.2	A	9.33	A
USGS	13344500	2005-10-06	68.3	A	9.32	A
USGS	13344500	2005-10-07	65.4	A	9.30	A
USGS	13344500	2005-10-08	64.5	A	9.30	A
USGS	13344500	2005-10-09	64.4	A	9.30	A
USGS	13344500	2005-10-10	64.1	A	9.29	A
USGS	13344500	2005-10-11	62.1	A	9.28	A
USGS	13344500	2005-10-12	63.3	A	9.29	A
USGS	13344500	2005-10-13	65.0	A	9.30	A
USGS	13344500	2005-10-14	64.7	A	9.30	A
USGS	13344500	2005-10-15	63.5	A	9.29	A
USGS	13344500	2005-10-16	63.2	A	9.29	A
USGS	13344500	2005-10-17	62.3	A	9.28	A
USGS	13344500	2005-10-18	63.2	A	9.29	A
USGS	13344500	2005-10-19	63.2	A	9.29	A
USGS	13344500	2005-10-20	64.6	A	9.30	A
USGS	13344500	2005-10-21	64.1	A	9.29	A
USGS	13344500	2005-10-22	64.0	A	9.29	A
USGS	13344500	2005-10-23	62.2	A	9.28	A
USGS	13344500	2005-10-24	62.3	A	9.28	A
USGS	13344500	2005-10-25	63.5	A	9.29	A
USGS	13344500	2005-10-26	63.9	A	9.29	A
USGS	13344500	2005-10-27	69.8	A	9.33	A
USGS	13344500	2005-10-28	69.6	A	9.33	A
USGS	13344500	2005-10-29	72.2	A	9.34	A
USGS	13344500	2005-10-30	70.7	A	9.33	A
USGS	13344500	2005-10-31	72.5	A	9.34	A
USGS	13344500	2005-11-01	100	A	9.48	A
USGS	13344500	2005-11-02	104	A	9.50	A
USGS	13344500	2005-11-03	88.6	A	9.43	A
USGS	13344500	2005-11-04	92.6	A	9.45	A
USGS	13344500	2005-11-05	92.6	A	9.44	A
USGS	13344500	2005-11-06	88.5	A	9.43	A
USGS	13344500	2005-11-07	86.7	A	9.42	A
USGS	13344500	2005-11-08	85.2	A	9.41	A
USGS	13344500	2005-11-09	85.3	A	9.41	A
USGS	13344500	2005-11-10	84.3	A	9.40	A
USGS	13344500	2005-11-11	83.8	A	9.40	A
USGS	13344500	2005-11-12	86.0	A	9.41	A
USGS	13344500	2005-11-13	85.1	A	9.41	A
USGS	13344500	2005-11-14	84.0	A	9.40	A
USGS	13344500	2005-11-15	84.2	A	9.40	A
USGS	13344500	2005-11-16	81.7	A	9.39	A
USGS	13344500	2005-11-17	81.1	A	9.38	A
USGS	13344500	2005-11-18	80.5	A	9.38	A
USGS	13344500	2005-11-19	80.5	A	9.38	A
USGS	13344500	2005-11-20	80.7	A	9.38	A
USGS	13344500	2005-11-21	78.9	A	9.38	A
USGS	13344500	2005-11-22	77.6	A	9.37	A
USGS	13344500	2005-11-23	77.3	A	9.37	A
USGS	13344500	2005-11-24	77.2	A	9.37	A
USGS	13344500	2005-11-25	78.6	A	9.37	A
USGS	13344500	2005-11-26	81.8	A	9.39	A
USGS	13344500	2005-11-27	79.8	A	9.38	A
USGS	13344500	2005-11-28	77.3	A	9.37	A
USGS	13344500	2005-11-29	78.2	A	9.37	A
USGS	13344500	2005-11-30	83.0	A	9.40	A
USGS	13344500	2005-12-01	80.8	A	9.38	A
USGS	13344500	2005-12-02	81.4	A	9.39	A
USGS	13344500	2005-12-03	85.5	A	9.41	A
USGS	13344500	2005-12-04	81.9	A	9.39	A
USGS	13344500	2005-12-05	76.6	A	9.36	A
USGS	13344500	2005-12-06	80.2	A	9.38	A
USGS	13344500	2005-12-07	70.6	A	9.33	A
USGS	13344500	2005-12-08	51.5	A	9.20	A
USGS	13344500	2005-12-09	62.8	A	9.28	A
USGS	13344500	2005-12-10	71.6	A	9.34	A
USGS	13344500	2005-12-11	73.3	A	9.35	A
USGS	13344500	2005-12-12	77.8	A	9.37	A
USGS	13344500	2005-12-13	84.0	A	9.40	A
USGS	13344500	2005-12-14	78.3	A	9.37	A
USGS	13344500	2005-12-15	77.6	A	9.37	A
USGS	13344500	2005-12-16	75.5	A	9.36	A
USGS	13344500	2005-12-17	69.6	A	9.32	A
USGS	13344500	2005-12-18	46.3	A	9.16	A
USGS	13344500	2005-12-19	75.9	A	9.35	A
USGS	13344500	2005-12-20	89.7	A	9.43	A
USGS	13344500	2005-12-21	85.7	A	9.41	A
USGS	13344500	2005-12-22	104	A	9.50	A
USGS	13344500	2005-12-23	149	A	9.69	A
USGS	13344500	2005-12-24	153	A	9.70	A
USGS	13344500	2005-12-25	152	A	9.70	A
USGS	13344500	2005-12-26	160	A	9.73	A
USGS	13344500	2005-12-27	162	A	9.74	A
USGS	13344500	2005-12-28	168	A	9.76	A
USGS	13344500	2005-12-29	195	A	9.88	A
USGS	13344500	2005-12-30	198	A	9.89	A
USGS	13344500	2005-12-31	216	A	9.97	A
USGS	13344500	2006-01-01	245	A	10.08	A
USGS	13344500	2006-01-02	234	A	10.04	A
USGS	13344500	2006-01-03	220	A	9.98	A
USGS	13344500	2006-01-04	203	A	9.91	A
USGS	13344500	2006-01-05	188	A	9.85	A
USGS	13344500	2006-01-06	177	A	9.80	A
USGS	13344500	2006-01-07	169	A	9.76	A
USGS	13344500	2006-01-08	171	A	9.77	A
USGS	13344500	2006-01-09	157	A	9.72	A
USGS	13344500	2006-01-10	173	A	9.78	A
USGS	13344500	2006-01-11	236	A	10.05	A
USGS	13344500	2006-01-12	276	A	10.21	A
USGS	13344500	2006-01-13	265	A	10.16	A
USGS	13344500	2006-01-14	277	A	10.21	A
USGS	13344500	2006-01-15	284	A	10.23	A
USGS	13344500	2006-01-16	268	A	10.17	A
USGS	13344500	2006-01-17	259	A	10.14	A
USGS	13344500	2006-01-18	265	A	10.16	A
USGS	13344500	2006-01-19	260	A	10.14	A
USGS	13344500	2006-01-20	253	A	10.11	A
USGS	13344500	2006-01-21	239	A	10.06	A
USGS	13344500	2006-01-22	221	A	9.99	A
USGS	13344500	2006-01-23	204	A	9.92	A
USGS	13344500	2006-01-24	190	A	9.86	A
USGS	13344500	2006-01-25	181	A	9.81	A
USGS	13344500	2006-01-26	173	A	9.78	A
USGS	13344500	2006-01-27	169	A	9.76	A
USGS	13344500	2006-01-28	165	A	9.75	A
USGS	13344500	2006-01-29	160	A	9.73	A
USGS	13344500	2006-01-30	159	A	9.73	A
USGS	13344500	2006-01-31	160	A	9.73	A
USGS	13344500	2006-02-01	168	A	9.76	A
USGS	13344500	2006-02-02	174	A	9.79	A
USGS	13344500	2006-02-03	180	A	9.81	A
USGS	13344500	2006-02-04	185	A	9.83	A
USGS	13344500	2006-02-05	188	A	9.85	A
USGS	13344500	2006-02-06	188	A	9.85	A
USGS	13344500	2006-02-07	185	A	9.83	A
USGS	13344500	2006-02-08	177	A	9.80	A
USGS	13344500	2006-02-09	170	A	9.77	A
USGS	13344500	2006-02-10	159	A	9.73	A
USGS	13344500	2006-02-11	150	A	9.69	A
USGS	13344500	2006-02-12	144	A	9.67	A
USGS	13344500	2006-02-13	140	A	9.65	A
USGS	13344500	2006-02-14	136	A	9.63	A
USGS	13344500	2006-02-15	125	A	9.59	A
USGS	13344500	2006-02-16	120	A	9.57	A
USGS	13344500	2006-02-17	106	A	9.51	A
USGS	13344500	2006-02-18	95.9	A	9.46	A
USGS	13344500	2006-02-19	97.0	A	9.46	A
USGS	13344500	2006-02-20	112	A	9.53	A
USGS	13344500	2006-02-21	118	A	9.56	A
USGS	13344500	2006-02-22	115	A	9.55	A
USGS	13344500	2006-02-23	111	A	9.53	A
USGS	13344500	2006-02-24	111	A	9.53	A
USGS	13344500	2006-02-25	105	A	9.50	A
USGS	13344500	2006-02-26	102	A	9.49	A
USGS	13344500	2006-02-27	106	A	9.51	A
USGS	13344500	2006-02-28	130	A	9.61	A
USGS	13344500	2006-03-01	169	A	9.76	A
USGS	13344500	2006-03-02	177	A	9.80	A
USGS	13344500	2006-03-03	177	A	9.80	A
USGS	13344500	2006-03-04	173	A	9.78	A
USGS	13344500	2006-03-05	165	A	9.75	A
USGS	13344500	2006-03-06	160	A	9.73	A
USGS	13344500	2006-03-07	170	A	9.77	A
USGS	13344500	2006-03-08	173	A	9.78	A
USGS	13344500	2006-03-09	182	A	9.82	A
USGS	13344500	2006-03-10	176	A	9.79	A
USGS	13344500	2006-03-11	167	A	9.76	A
USGS	13344500	2006-03-12	159	A	9.73	A
USGS	13344500	2006-03-13	152	A	9.70	A
USGS	13344500	2006-03-14	146	A	9.68	A
USGS	13344500	2006-03-15	144	A	9.67	A
USGS	13344500	2006-03-16	135	A	9.63	A
USGS	13344500	2006-03-17	135	A	9.63	A
USGS	13344500	2006-03-18	131	A	9.62	A
USGS	13344500	2006-03-19	127	A	9.60	A
USGS	13344500	2006-03-20	125	A	9.59	A
USGS	13344500	2006-03-21	122	A	9.58	A
USGS	13344500	2006-03-22	120	A	9.57	A
USGS	13344500	2006-03-23	118	A	9.56	A
USGS	13344500	2006-03-24	116	A	9.55	A
USGS	13344500	2006-03-25	141	A	9.66	A
USGS	13344500	2006-03-26	174	A	9.78	A
USGS	13344500	2006-03-27	176	A	9.79	A
USGS	13344500	2006-03-28	181	A	9.82	A
USGS	13344500	2006-03-29	190	A	9.86	A
USGS	13344500	2006-03-30	206	A	9.93	A
USGS	13344500	2006-03-31	213	A	9.95	A
USGS	13344500	2006-04-01	215	A	9.96	A
USGS	13344500	2006-04-02	214	A	9.96	A
USGS	13344500	2006-04-03	206	A	9.93	A
USGS	13344500	2006-04-04	213	A	9.96	A
USGS	13344500	2006-04-05	242	A	10.07	A
USGS	13344500	2006-04-06	303	A	10.30	A
USGS	13344500	2006-04-07	377	A	10.55	A
USGS	13344500	2006-04-08	370	A	10.53	A
USGS	13344500	2006-04-09	360	A	10.49	A
USGS	13344500	2006-04-10	350	A	10.46	A
USGS	13344500	2006-04-11	327	A	10.38	A
USGS	13344500	2006-04-12	311	A	10.33	A
USGS	13344500	2006-04-13	301	A	10.29	A
USGS	13344500	2006-04-14	320	A	10.36	A
USGS	13344500	2006-04-15	353	A	10.47	A
USGS	13344500	2006-04-16	365	A	10.51	A
USGS	13344500	2006-04-17	340	A	10.42	A
USGS	13344500	2006-04-18	314	A	10.34	A
USGS	13344500	2006-04-19	295	A	10.27	A
USGS	13344500	2006-04-20	279	A	10.21	A
USGS	13344500	2006-04-21	268	A	10.18	A
USGS	13344500	2006-04-22	267	A	10.17	A
USGS	13344500	2006-04-23	264	A	10.15	A
USGS	13344500	2006-04-24	261	A	10.14	A
USGS	13344500	2006-04-25	256	A	10.13	A
USGS	13344500	2006-04-26	248	A	10.09	A
USGS	13344500	2006-04-27	238	A	10.06	A
USGS	13344500	2006-04-28	248	A	10.10	A
USGS	13344500	2006-04-29	264	A	10.16	A
USGS	13344500	2006-04-30	306	A	10.31	A
USGS	13344500	2006-05-01	318	A	10.35	A
USGS	13344500	2006-05-02	290	A	10.25	A
USGS	13344500	2006-05-03	264	A	10.16	A
USGS	13344500	2006-05-04	245	A	10.08	A
