# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:20:07 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14048000 JOHN DAY RIVER AT MCDONALD FERRY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14048000
#            TS   parameter     statistic     Description
#        113351       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113351_00060_00003	113351_00060_00003_cd
USGS	14048000	2005-01-29	1100	A
USGS	14048000	2005-01-30	1160	A
USGS	14048000	2005-01-31	1190	A
USGS	14048000	2005-02-01	1140	A
USGS	14048000	2005-02-02	1080	A
USGS	14048000	2005-02-03	1010	A
USGS	14048000	2005-02-04	948	A
USGS	14048000	2005-02-05	892	A
USGS	14048000	2005-02-06	897	A
USGS	14048000	2005-02-07	926	A
USGS	14048000	2005-02-08	922	A
USGS	14048000	2005-02-09	852	A
USGS	14048000	2005-02-10	822	A
USGS	14048000	2005-02-11	812	A
USGS	14048000	2005-02-12	741	A
USGS	14048000	2005-02-13	674	A
USGS	14048000	2005-02-14	687	A
USGS	14048000	2005-02-15	800	A
USGS	14048000	2005-02-16	849	A
USGS	14048000	2005-02-17	777	A
USGS	14048000	2005-02-18	674	A
USGS	14048000	2005-02-19	587	A
USGS	14048000	2005-02-20	546	A
USGS	14048000	2005-02-21	651	A
USGS	14048000	2005-02-22	774	A
USGS	14048000	2005-02-23	824	A
USGS	14048000	2005-02-24	799	A
USGS	14048000	2005-02-25	781	A
USGS	14048000	2005-02-26	739	A
USGS	14048000	2005-02-27	718	A
USGS	14048000	2005-02-28	720	A
USGS	14048000	2005-03-01	739	A
USGS	14048000	2005-03-02	757	A
USGS	14048000	2005-03-03	796	A
USGS	14048000	2005-03-04	841	A
USGS	14048000	2005-03-05	848	A
USGS	14048000	2005-03-06	843	A
USGS	14048000	2005-03-07	844	A
USGS	14048000	2005-03-08	869	A
USGS	14048000	2005-03-09	917	A
USGS	14048000	2005-03-10	991	A
USGS	14048000	2005-03-11	1160	A
USGS	14048000	2005-03-12	1270	A
USGS	14048000	2005-03-13	1330	A
USGS	14048000	2005-03-14	1410	A
USGS	14048000	2005-03-15	1450	A
USGS	14048000	2005-03-16	1360	A
USGS	14048000	2005-03-17	1290	A
USGS	14048000	2005-03-18	1270	A
USGS	14048000	2005-03-19	1260	A
USGS	14048000	2005-03-20	1210	A
USGS	14048000	2005-03-21	1140	A
USGS	14048000	2005-03-22	1170	A
USGS	14048000	2005-03-23	1270	A
USGS	14048000	2005-03-24	1290	A
USGS	14048000	2005-03-25	1280	A
USGS	14048000	2005-03-26	1300	A
USGS	14048000	2005-03-27	1260	A
USGS	14048000	2005-03-28	1210	A
USGS	14048000	2005-03-29	1520	A
USGS	14048000	2005-03-30	4360	A
USGS	14048000	2005-03-31	3670	A
USGS	14048000	2005-04-01	3190	A
USGS	14048000	2005-04-02	2670	A
USGS	14048000	2005-04-03	2510	A
USGS	14048000	2005-04-04	2390	A
USGS	14048000	2005-04-05	2290	A
USGS	14048000	2005-04-06	2600	A
USGS	14048000	2005-04-07	2590	A
USGS	14048000	2005-04-08	2470	A
USGS	14048000	2005-04-09	2630	A
USGS	14048000	2005-04-10	2730	A
USGS	14048000	2005-04-11	2600	A
USGS	14048000	2005-04-12	2390	A
USGS	14048000	2005-04-13	2270	A
USGS	14048000	2005-04-14	2300	A
USGS	14048000	2005-04-15	2200	A
USGS	14048000	2005-04-16	2050	A
USGS	14048000	2005-04-17	1940	A
USGS	14048000	2005-04-18	1890	A
USGS	14048000	2005-04-19	2510	A
USGS	14048000	2005-04-20	2920	A
USGS	14048000	2005-04-21	2770	A
USGS	14048000	2005-04-22	2640	A
USGS	14048000	2005-04-23	2610	A
USGS	14048000	2005-04-24	2790	A
USGS	14048000	2005-04-25	2970	A
USGS	14048000	2005-04-26	3340	A
USGS	14048000	2005-04-27	4010	A
USGS	14048000	2005-04-28	4370	A
USGS	14048000	2005-04-29	4560	A
USGS	14048000	2005-04-30	4400	A
USGS	14048000	2005-05-01	4080	A
USGS	14048000	2005-05-02	3850	A
USGS	14048000	2005-05-03	3530	A
USGS	14048000	2005-05-04	3410	A
USGS	14048000	2005-05-05	3720	A
USGS	14048000	2005-05-06	3730	A
USGS	14048000	2005-05-07	4320	A
USGS	14048000	2005-05-08	8070	A
USGS	14048000	2005-05-09	7890	A
USGS	14048000	2005-05-10	6910	A
USGS	14048000	2005-05-11	7160	A
USGS	14048000	2005-05-12	6730	A
USGS	14048000	2005-05-13	6760	A
USGS	14048000	2005-05-14	5920	A
USGS	14048000	2005-05-15	5540	A
USGS	14048000	2005-05-16	6460	A
USGS	14048000	2005-05-17	10700	A
USGS	14048000	2005-05-18	12800	A
USGS	14048000	2005-05-19	9660	A
USGS	14048000	2005-05-20	8940	A
USGS	14048000	2005-05-21	8000	A
USGS	14048000	2005-05-22	7650	A
USGS	14048000	2005-05-23	7050	A
USGS	14048000	2005-05-24	6300	A
USGS	14048000	2005-05-25	5590	A
USGS	14048000	2005-05-26	4980	A
USGS	14048000	2005-05-27	4460	A
USGS	14048000	2005-05-28	4050	A
USGS	14048000	2005-05-29	3690	A
USGS	14048000	2005-05-30	3450	A
USGS	14048000	2005-05-31	3240	A
USGS	14048000	2005-06-01	3030	A
USGS	14048000	2005-06-02	2810	A
USGS	14048000	2005-06-03	2970	A
USGS	14048000	2005-06-04	2770	A
USGS	14048000	2005-06-05	2440	A
USGS	14048000	2005-06-06	2190	A
USGS	14048000	2005-06-07	2090	A
USGS	14048000	2005-06-08	2110	A
USGS	14048000	2005-06-09	2080	A
USGS	14048000	2005-06-10	1920	A
USGS	14048000	2005-06-11	1750	A
USGS	14048000	2005-06-12	1590	A
USGS	14048000	2005-06-13	1490	A
USGS	14048000	2005-06-14	1430	A
USGS	14048000	2005-06-15	1340	A
USGS	14048000	2005-06-16	1290	A
USGS	14048000	2005-06-17	1240	A
USGS	14048000	2005-06-18	1190	A
USGS	14048000	2005-06-19	1120	A
USGS	14048000	2005-06-20	1080	A
USGS	14048000	2005-06-21	1120	A
USGS	14048000	2005-06-22	1140	A
USGS	14048000	2005-06-23	1010	A
USGS	14048000	2005-06-24	915	A
USGS	14048000	2005-06-25	834	A
USGS	14048000	2005-06-26	763	A
USGS	14048000	2005-06-27	726	A
USGS	14048000	2005-06-28	706	A
USGS	14048000	2005-06-29	668	A
USGS	14048000	2005-06-30	661	A
USGS	14048000	2005-07-01	730	A
USGS	14048000	2005-07-02	760	A
USGS	14048000	2005-07-03	676	A
USGS	14048000	2005-07-04	610	A
USGS	14048000	2005-07-05	565	A
USGS	14048000	2005-07-06	528	A
USGS	14048000	2005-07-07	489	A
USGS	14048000	2005-07-08	462	A
USGS	14048000	2005-07-09	430	A
USGS	14048000	2005-07-10	407	A
USGS	14048000	2005-07-11	402	A
USGS	14048000	2005-07-12	388	A
USGS	14048000	2005-07-13	382	A
USGS	14048000	2005-07-14	427	A
USGS	14048000	2005-07-15	424	A
USGS	14048000	2005-07-16	377	A
USGS	14048000	2005-07-17	341	A
USGS	14048000	2005-07-18	310	A
USGS	14048000	2005-07-19	286	A
USGS	14048000	2005-07-20	263	A
USGS	14048000	2005-07-21	250	A
USGS	14048000	2005-07-22	237	A
USGS	14048000	2005-07-23	217	A
USGS	14048000	2005-07-24	199	A
USGS	14048000	2005-07-25	179	A
USGS	14048000	2005-07-26	167	A
USGS	14048000	2005-07-27	162	A
USGS	14048000	2005-07-28	144	A
USGS	14048000	2005-07-29	127	A
USGS	14048000	2005-07-30	120	A
USGS	14048000	2005-07-31	111	A
USGS	14048000	2005-08-01	101	A
USGS	14048000	2005-08-02	95.0	A
USGS	14048000	2005-08-03	96.0	A
USGS	14048000	2005-08-04	94.0	A
USGS	14048000	2005-08-05	86.0	A
USGS	14048000	2005-08-06	78.0	A
USGS	14048000	2005-08-07	80.0	A
USGS	14048000	2005-08-08	78.0	A
USGS	14048000	2005-08-09	74.0	A
USGS	14048000	2005-08-10	72.0	A
USGS	14048000	2005-08-11	69.0	A
USGS	14048000	2005-08-12	66.0	A
USGS	14048000	2005-08-13	62.0	A
USGS	14048000	2005-08-14	60.0	A
USGS	14048000	2005-08-15	60.0	A
USGS	14048000	2005-08-16	52.0	A
USGS	14048000	2005-08-17	50.0	A
USGS	14048000	2005-08-18	51.0	A
USGS	14048000	2005-08-19	51.0	A
USGS	14048000	2005-08-20	52.0	A
USGS	14048000	2005-08-21	47.0	A
USGS	14048000	2005-08-22	46.0	A
USGS	14048000	2005-08-23	43.0	A
USGS	14048000	2005-08-24	44.0	A
USGS	14048000	2005-08-25	41.0	A
USGS	14048000	2005-08-26	39.0	A
USGS	14048000	2005-08-27	37.0	A
USGS	14048000	2005-08-28	40.0	A
USGS	14048000	2005-08-29	43.0	A
USGS	14048000	2005-08-30	48.0	A
USGS	14048000	2005-08-31	45.0	A
USGS	14048000	2005-09-01	42.0	A
USGS	14048000	2005-09-02	40.0	A
USGS	14048000	2005-09-03	37.0	A
USGS	14048000	2005-09-04	36.0	A
USGS	14048000	2005-09-05	38.0	A
USGS	14048000	2005-09-06	37.0	A
USGS	14048000	2005-09-07	34.0	A
USGS	14048000	2005-09-08	35.0	A
USGS	14048000	2005-09-09	38.0	A
USGS	14048000	2005-09-10	44.0	A
USGS	14048000	2005-09-11	55.0	A
USGS	14048000	2005-09-12	64.0	A
USGS	14048000	2005-09-13	62.0	A
USGS	14048000	2005-09-14	59.0	A
USGS	14048000	2005-09-15	60.0	A
USGS	14048000	2005-09-16	58.0	A
USGS	14048000	2005-09-17	58.0	A
USGS	14048000	2005-09-18	60.0	A
USGS	14048000	2005-09-19	64.0	A
USGS	14048000	2005-09-20	78.0	A
USGS	14048000	2005-09-21	86.0	A
USGS	14048000	2005-09-22	85.0	A
USGS	14048000	2005-09-23	81.0	A
USGS	14048000	2005-09-24	82.0	A
USGS	14048000	2005-09-25	78.0	A
USGS	14048000	2005-09-26	75.0	A
USGS	14048000	2005-09-27	71.0	A
USGS	14048000	2005-09-28	72.0	A
USGS	14048000	2005-09-29	67.0	A
USGS	14048000	2005-09-30	69.0	A
USGS	14048000	2005-10-01	76.0	A
USGS	14048000	2005-10-02	110	A
USGS	14048000	2005-10-03	129	A
USGS	14048000	2005-10-04	161	A
USGS	14048000	2005-10-05	226	A
USGS	14048000	2005-10-06	418	A
USGS	14048000	2005-10-07	407	A
USGS	14048000	2005-10-08	382	A
USGS	14048000	2005-10-09	360	A
USGS	14048000	2005-10-10	338	A
USGS	14048000	2005-10-11	319	A
USGS	14048000	2005-10-12	313	A
USGS	14048000	2005-10-13	312	A
USGS	14048000	2005-10-14	309	A
USGS	14048000	2005-10-15	306	A
USGS	14048000	2005-10-16	306	A
USGS	14048000	2005-10-17	309	A
USGS	14048000	2005-10-18	305	A
USGS	14048000	2005-10-19	301	A
USGS	14048000	2005-10-20	295	A
USGS	14048000	2005-10-21	292	A
USGS	14048000	2005-10-22	292	A
USGS	14048000	2005-10-23	291	A
USGS	14048000	2005-10-24	287	A
USGS	14048000	2005-10-25	286	A
USGS	14048000	2005-10-26	286	A
USGS	14048000	2005-10-27	285	A
USGS	14048000	2005-10-28	286	A
USGS	14048000	2005-10-29	288	A
USGS	14048000	2005-10-30	296	A
USGS	14048000	2005-10-31	315	A
USGS	14048000	2005-11-01	340	A
USGS	14048000	2005-11-02	320	A
USGS	14048000	2005-11-03	320	A
USGS	14048000	2005-11-04	319	A
USGS	14048000	2005-11-05	323	A
USGS	14048000	2005-11-06	354	A
USGS	14048000	2005-11-07	404	A
USGS	14048000	2005-11-08	424	A
USGS	14048000	2005-11-09	434	A
USGS	14048000	2005-11-10	482	A
USGS	14048000	2005-11-11	531	A
USGS	14048000	2005-11-12	511	A
USGS	14048000	2005-11-13	466	A
USGS	14048000	2005-11-14	427	A
USGS	14048000	2005-11-15	467	A
USGS	14048000	2005-11-16	505	A
USGS	14048000	2005-11-17	522	A
USGS	14048000	2005-11-18	537	A
USGS	14048000	2005-11-19	496	A
USGS	14048000	2005-11-20	428	A
USGS	14048000	2005-11-21	407	A
USGS	14048000	2005-11-22	447	A
USGS	14048000	2005-11-23	446	A
USGS	14048000	2005-11-24	437	A
USGS	14048000	2005-11-25	458	A
USGS	14048000	2005-11-26	451	A
USGS	14048000	2005-11-27	419	A
USGS	14048000	2005-11-28	411	A
USGS	14048000	2005-11-29	498	A
USGS	14048000	2005-11-30	553	A
USGS	14048000	2005-12-01	470	A
USGS	14048000	2005-12-02	447	A
USGS	14048000	2005-12-03	434	A
USGS	14048000	2005-12-04	492	A
USGS	14048000	2005-12-05	508	A
USGS	14048000	2005-12-06	516	A
USGS	14048000	2005-12-07	495	A
USGS	14048000	2005-12-08	460	A:e
USGS	14048000	2005-12-09	400	A:e
USGS	14048000	2005-12-10	360	A:e
USGS	14048000	2005-12-11	300	A:e
USGS	14048000	2005-12-12	280	A:e
USGS	14048000	2005-12-13	260	A:e
USGS	14048000	2005-12-14	240	A:e
USGS	14048000	2005-12-15	230	A:e
USGS	14048000	2005-12-16	240	A:e
USGS	14048000	2005-12-17	270	A:e
USGS	14048000	2005-12-18	320	A:e
USGS	14048000	2005-12-19	400	A:e
USGS	14048000	2005-12-20	560	A:e
USGS	14048000	2005-12-21	720	A:e
USGS	14048000	2005-12-22	864	A
USGS	14048000	2005-12-23	1240	A
USGS	14048000	2005-12-24	1730	A
USGS	14048000	2005-12-25	2100	A
USGS	14048000	2005-12-26	1810	A
USGS	14048000	2005-12-27	1700	A
USGS	14048000	2005-12-28	2730	A
USGS	14048000	2005-12-29	3320	A
USGS	14048000	2005-12-30	6430	A
USGS	14048000	2005-12-31	6660	A
USGS	14048000	2006-01-01	11600	A
USGS	14048000	2006-01-02	12200	A
USGS	14048000	2006-01-03	7680	A
USGS	14048000	2006-01-04	5680	A
USGS	14048000	2006-01-05	4500	A
USGS	14048000	2006-01-06	3770	A
USGS	14048000	2006-01-07	3380	A
USGS	14048000	2006-01-08	3110	A
USGS	14048000	2006-01-09	2940	A
USGS	14048000	2006-01-10	2780	A
USGS	14048000	2006-01-11	2790	A
USGS	14048000	2006-01-12	4800	A
USGS	14048000	2006-01-13	6090	A
USGS	14048000	2006-01-14	5330	A
USGS	14048000	2006-01-15	6020	A
USGS	14048000	2006-01-16	6790	A
USGS	14048000	2006-01-17	5590	A
USGS	14048000	2006-01-18	6040	A
USGS	14048000	2006-01-19	10800	A
USGS	14048000	2006-01-20	8600	A
USGS	14048000	2006-01-21	6730	A
USGS	14048000	2006-01-22	5750	A
USGS	14048000	2006-01-23	5020	A
USGS	14048000	2006-01-24	4460	A
USGS	14048000	2006-01-25	4100	A
USGS	14048000	2006-01-26	3790	A
USGS	14048000	2006-01-27	3550	A
USGS	14048000	2006-01-28	3440	A
USGS	14048000	2006-01-29	3220	A
USGS	14048000	2006-01-30	3140	A
USGS	14048000	2006-01-31	3200	A
USGS	14048000	2006-02-01	4390	A
USGS	14048000	2006-02-02	4620	A
USGS	14048000	2006-02-03	4580	A
USGS	14048000	2006-02-04	4260	A
USGS	14048000	2006-02-05	4680	A
USGS	14048000	2006-02-06	5550	A
USGS	14048000	2006-02-07	4640	A
USGS	14048000	2006-02-08	4030	A
USGS	14048000	2006-02-09	3660	A
USGS	14048000	2006-02-10	3510	A
USGS	14048000	2006-02-11	3340	A
USGS	14048000	2006-02-12	2940	A
USGS	14048000	2006-02-13	2700	A
USGS	14048000	2006-02-14	2690	A
USGS	14048000	2006-02-15	2650	A
USGS	14048000	2006-02-16	2590	A
USGS	14048000	2006-02-17	2250	A:e
USGS	14048000	2006-02-18	2000	A:e
USGS	14048000	2006-02-19	1850	A:e
USGS	14048000	2006-02-20	1600	A:e
USGS	14048000	2006-02-21	1500	A:e
USGS	14048000	2006-02-22	1580	A
USGS	14048000	2006-02-23	1820	A
USGS	14048000	2006-02-24	1890	A
USGS	14048000	2006-02-25	1840	A
USGS	14048000	2006-02-26	1780	A
USGS	14048000	2006-02-27	1680	A
USGS	14048000	2006-02-28	2020	A
USGS	14048000	2006-03-01	4610	A
USGS	14048000	2006-03-02	8080	A
USGS	14048000	2006-03-03	6350	A
USGS	14048000	2006-03-04	5320	A
USGS	14048000	2006-03-05	4630	A
USGS	14048000	2006-03-06	4210	A
USGS	14048000	2006-03-07	3850	A
USGS	14048000	2006-03-08	3910	A
USGS	14048000	2006-03-09	3950	A
USGS	14048000	2006-03-10	3800	A
USGS	14048000	2006-03-11	3580	A
USGS	14048000	2006-03-12	3380	A
USGS	14048000	2006-03-13	3150	A
USGS	14048000	2006-03-14	2940	A
USGS	14048000	2006-03-15	2780	A
USGS	14048000	2006-03-16	2790	A
USGS	14048000	2006-03-17	2730	A
USGS	14048000	2006-03-18	2770	A
USGS	14048000	2006-03-19	2920	A
USGS	14048000	2006-03-20	2960	A
USGS	14048000	2006-03-21	2730	A
USGS	14048000	2006-03-22	2580	A
USGS	14048000	2006-03-23	2560	A
USGS	14048000	2006-03-24	2610	A
USGS	14048000	2006-03-25	2980	A
USGS	14048000	2006-03-26	4070	A
USGS	14048000	2006-03-27	6320	A
USGS	14048000	2006-03-28	5870	A
USGS	14048000	2006-03-29	5410	A
USGS	14048000	2006-03-30	5720	A
USGS	14048000	2006-03-31	6300	A
USGS	14048000	2006-04-01	6270	A
USGS	14048000	2006-04-02	6540	A
USGS	14048000	2006-04-03	6680	A
USGS	14048000	2006-04-04	6140	A
USGS	14048000	2006-04-05	7870	A
USGS	14048000	2006-04-06	9090	A
USGS	14048000	2006-04-07	10400	A
USGS	14048000	2006-04-08	10500	A
USGS	14048000	2006-04-09	10100	A
USGS	14048000	2006-04-10	11500	A
USGS	14048000	2006-04-11	10900	A
USGS	14048000	2006-04-12	9920	A
USGS	14048000	2006-04-13	9070	A
USGS	14048000	2006-04-14	9290	A
USGS	14048000	2006-04-15	10500	A
USGS	14048000	2006-04-16	11100	A
USGS	14048000	2006-04-17	11300	A
USGS	14048000	2006-04-18	9700	A
USGS	14048000	2006-04-19	8490	A
USGS	14048000	2006-04-20	7520	A
USGS	14048000	2006-04-21	7090	A
USGS	14048000	2006-04-22	7510	A
USGS	14048000	2006-04-23	8050	A
USGS	14048000	2006-04-24	7820	A
USGS	14048000	2006-04-25	7800	A
USGS	14048000	2006-04-26	7830	A
USGS	14048000	2006-04-27	7530	A
USGS	14048000	2006-04-28	7590	A
USGS	14048000	2006-04-29	8280	A
USGS	14048000	2006-04-30	9660	A
USGS	14048000	2006-05-01	11300	A
USGS	14048000	2006-05-02	11100	A
USGS	14048000	2006-05-03	9320	A
USGS	14048000	2006-05-04	8110	A
USGS	14048000	2006-05-05	7340	A
USGS	14048000	2006-05-06	6950	A
USGS	14048000	2006-05-07	6890	A
USGS	14048000	2006-05-08	6930	A
USGS	14048000	2006-05-09	6950	A
USGS	14048000	2006-05-10	6530	A
USGS	14048000	2006-05-11	6010	A
USGS	14048000	2006-05-12	5690	A
USGS	14048000	2006-05-13	5680	A
USGS	14048000	2006-05-14	5700	A
USGS	14048000	2006-05-15	5710	A
USGS	14048000	2006-05-16	5950	A
USGS	14048000	2006-05-17	6550	A
USGS	14048000	2006-05-18	7350	A
USGS	14048000	2006-05-19	7710	A
USGS	14048000	2006-05-20	7730	A
USGS	14048000	2006-05-21	7550	A
USGS	14048000	2006-05-22	8410	A
USGS	14048000	2006-05-23	7240	A
USGS	14048000	2006-05-24	7070	A
USGS	14048000	2006-05-25	6240	A
USGS	14048000	2006-05-26	5460	A
USGS	14048000	2006-05-27	5140	A
USGS	14048000	2006-05-28	4990	A
USGS	14048000	2006-05-29	4710	A
USGS	14048000	2006-05-30	5010	A
USGS	14048000	2006-05-31	4980	A
USGS	14048000	2006-06-01	4490	A
USGS	14048000	2006-06-02	4210	A
USGS	14048000	2006-06-03	4050	A
USGS	14048000	2006-06-04	4650	A
USGS	14048000	2006-06-05	5030	A
USGS	14048000	2006-06-06	5520	A
USGS	14048000	2006-06-07	5010	A
USGS	14048000	2006-06-08	4480	A
USGS	14048000	2006-06-09	4210	A
USGS	14048000	2006-06-10	4040	A
USGS	14048000	2006-06-11	3660	A
USGS	14048000	2006-06-12	3370	A
USGS	14048000	2006-06-13	3170	A
USGS	14048000	2006-06-14	3320	A
USGS	14048000	2006-06-15	3500	A
USGS	14048000	2006-06-16	3710	A
USGS	14048000	2006-06-17	3320	A
USGS	14048000	2006-06-18	2930	A
USGS	14048000	2006-06-19	2700	A
USGS	14048000	2006-06-20	2420	A
USGS	14048000	2006-06-21	2180	A
USGS	14048000	2006-06-22	2010	A
USGS	14048000	2006-06-23	1860	A
USGS	14048000	2006-06-24	1710	A
USGS	14048000	2006-06-25	1590	A
USGS	14048000	2006-06-26	1480	A
USGS	14048000	2006-06-27	1380	A
USGS	14048000	2006-06-28	1280	A
USGS	14048000	2006-06-29	1210	A
USGS	14048000	2006-06-30	1180	A
USGS	14048000	2006-07-01	1110	A
USGS	14048000	2006-07-02	1140	A
USGS	14048000	2006-07-03	1120	A
USGS	14048000	2006-07-04	1030	A
USGS	14048000	2006-07-05	1080	A
USGS	14048000	2006-07-06	1170	A
USGS	14048000	2006-07-07	971	A
USGS	14048000	2006-07-08	872	A
USGS	14048000	2006-07-09	809	A
USGS	14048000	2006-07-10	740	A
USGS	14048000	2006-07-11	697	A
USGS	14048000	2006-07-12	643	A
USGS	14048000	2006-07-13	606	A
USGS	14048000	2006-07-14	586	A
USGS	14048000	2006-07-15	554	A
USGS	14048000	2006-07-16	517	A
USGS	14048000	2006-07-17	481	A
USGS	14048000	2006-07-18	447	A
USGS	14048000	2006-07-19	421	A
USGS	14048000	2006-07-20	404	A
USGS	14048000	2006-07-21	373	A
USGS	14048000	2006-07-22	357	A
USGS	14048000	2006-07-23	347	A
USGS	14048000	2006-07-24	317	A
USGS	14048000	2006-07-25	292	A
USGS	14048000	2006-07-26	276	A
USGS	14048000	2006-07-27	255	A
USGS	14048000	2006-07-28	234	A
USGS	14048000	2006-07-29	214	A
USGS	14048000	2006-07-30	201	A
USGS	14048000	2006-07-31	195	A
USGS	14048000	2006-08-01	184	A
USGS	14048000	2006-08-02	174	A
USGS	14048000	2006-08-03	172	A
USGS	14048000	2006-08-04	164	A
USGS	14048000	2006-08-05	153	A
USGS	14048000	2006-08-06	152	A
USGS	14048000	2006-08-07	146	A
USGS	14048000	2006-08-08	147	A
USGS	14048000	2006-08-09	146	A
USGS	14048000	2006-08-10	137	A
USGS	14048000	2006-08-11	130	A
USGS	14048000	2006-08-12	132	A
USGS	14048000	2006-08-13	166	A
USGS	14048000	2006-08-14	187	A
USGS	14048000	2006-08-15	192	A
USGS	14048000	2006-08-16	195	A
USGS	14048000	2006-08-17	200	A
USGS	14048000	2006-08-18	189	A
USGS	14048000	2006-08-19	163	A
USGS	14048000	2006-08-20	148	A
USGS	14048000	2006-08-21	141	A
USGS	14048000	2006-08-22	134	A
USGS	14048000	2006-08-23	131	A
USGS	14048000	2006-08-24	129	A
USGS	14048000	2006-08-25	129	A
USGS	14048000	2006-08-26	128	A
USGS	14048000	2006-08-27	125	A
USGS	14048000	2006-08-28	123	A
USGS	14048000	2006-08-29	112	A
USGS	14048000	2006-08-30	111	A
USGS	14048000	2006-08-31	116	A
USGS	14048000	2006-09-01	115	A
USGS	14048000	2006-09-02	118	A
USGS	14048000	2006-09-03	112	A
USGS	14048000	2006-09-04	111	A
USGS	14048000	2006-09-05	109	A
USGS	14048000	2006-09-06	110	A
USGS	14048000	2006-09-07	107	A
USGS	14048000	2006-09-08	108	A
USGS	14048000	2006-09-09	107	A
USGS	14048000	2006-09-10	105	A
USGS	14048000	2006-09-11	99.0	A
USGS	14048000	2006-09-12	97.0	A
USGS	14048000	2006-09-13	99.0	A
USGS	14048000	2006-09-14	97.0	A
USGS	14048000	2006-09-15	100	A
USGS	14048000	2006-09-16	108	A
USGS	14048000	2006-09-17	108	A
USGS	14048000	2006-09-18	110	A
USGS	14048000	2006-09-19	110	A
USGS	14048000	2006-09-20	115	A
USGS	14048000	2006-09-21	124	A
USGS	14048000	2006-09-22	140	A
USGS	14048000	2006-09-23	170	A
USGS	14048000	2006-09-24	191	A
USGS	14048000	2006-09-25	262	A
USGS	14048000	2006-09-26	311	A
USGS	14048000	2006-09-27	304	A
USGS	14048000	2006-09-28	282	A
USGS	14048000	2006-09-29	267	A
USGS	14048000	2006-09-30	243	A
USGS	14048000	2006-10-01	230	A
USGS	14048000	2006-10-02	218	A
USGS	14048000	2006-10-03	216	A
USGS	14048000	2006-10-04	247	A
USGS	14048000	2006-10-05	271	A
USGS	14048000	2006-10-06	291	A
USGS	14048000	2006-10-07	297	A
USGS	14048000	2006-10-08	318	A
USGS	14048000	2006-10-09	392	A
USGS	14048000	2006-10-10	394	A
USGS	14048000	2006-10-11	365	A
USGS	14048000	2006-10-12	352	A
USGS	14048000	2006-10-13	344	A
USGS	14048000	2006-10-14	340	A
USGS	14048000	2006-10-15	347	A
