# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:35:11 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14018500 WALLA WALLA RIVER NEAR TOUCHET, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 14018500
#            TS   parameter     statistic     Description
#        150300       00060     00003     Discharge, cubic feet per second (Mean)
#        150301       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	150300_00060_00003	150300_00060_00003_cd	150301_00065_00003	150301_00065_00003_cd
USGS	14018500	2005-03-21	96.1	A	2.88	A
USGS	14018500	2005-03-22	93.5	A	2.87	A
USGS	14018500	2005-03-23	106	A	2.94	A
USGS	14018500	2005-03-24	103	A	2.93	A
USGS	14018500	2005-03-25	102	A	2.92	A
USGS	14018500	2005-03-26	95.1	A	2.88	A
USGS	14018500	2005-03-27	106	A	2.94	A
USGS	14018500	2005-03-28	2100	A	7.09	A
USGS	14018500	2005-03-29	2190	A	7.33	A
USGS	14018500	2005-03-30	1630	A	6.42	A
USGS	14018500	2005-03-31	1140	A	5.57	A
USGS	14018500	2005-04-01	830	A	5.08	A
USGS	14018500	2005-04-02	718	A	4.87	A
USGS	14018500	2005-04-03	673	A	4.78	A
USGS	14018500	2005-04-04	854	A	5.10	A
USGS	14018500	2005-04-05	1140	A	5.58	A
USGS	14018500	2005-04-06	993	A	5.35	A
USGS	14018500	2005-04-07	873	A	5.16	A
USGS	14018500	2005-04-08	895	A	5.19	A
USGS	14018500	2005-04-09	802	A	5.03	A
USGS	14018500	2005-04-10	652	A	4.74	A
USGS	14018500	2005-04-11	559	A	4.54	A
USGS	14018500	2005-04-12	568	A	4.56	A
USGS	14018500	2005-04-13	537	A	4.49	A
USGS	14018500	2005-04-14	505	A	4.41	A
USGS	14018500	2005-04-15	461	A	4.30	A
USGS	14018500	2005-04-16	427	A	4.21	A
USGS	14018500	2005-04-17	600	A	4.61	A
USGS	14018500	2005-04-18	774	A	4.98	A
USGS	14018500	2005-04-19	749	A	4.93	A
USGS	14018500	2005-04-20	693	A	4.82	A
USGS	14018500	2005-04-21	631	A	4.70	A
USGS	14018500	2005-04-22	549	A	4.52	A
USGS	14018500	2005-04-23	474	A	4.34	A
USGS	14018500	2005-04-24	477	A	4.35	A
USGS	14018500	2005-04-25	446	A	4.26	A
USGS	14018500	2005-04-26	403	A:e		
USGS	14018500	2005-04-27	353	A:e		
USGS	14018500	2005-04-28	310	A:e		
USGS	14018500	2005-04-29	274	A:e		
USGS	14018500	2005-04-30	260	A	3.69	A
USGS	14018500	2005-05-01	237	A	3.61	A
USGS	14018500	2005-05-02	219	A	3.54	A
USGS	14018500	2005-05-03	192	A	3.43	A
USGS	14018500	2005-05-04	172	A	3.33	A
USGS	14018500	2005-05-05	180	A	3.37	A
USGS	14018500	2005-05-06	175	A	3.35	A
USGS	14018500	2005-05-07	263	A	3.70	A
USGS	14018500	2005-05-08	270	A	3.73	A
USGS	14018500	2005-05-09	287	A	3.79	A
USGS	14018500	2005-05-10	327	A	3.92	A
USGS	14018500	2005-05-11	405	A	4.15	A
USGS	14018500	2005-05-12	507	A	4.42	A
USGS	14018500	2005-05-13	444	A	4.26	A
USGS	14018500	2005-05-14	382	A	4.09	A
USGS	14018500	2005-05-15	372	A	4.06	A
USGS	14018500	2005-05-16	840	A	5.04	A
USGS	14018500	2005-05-17	1650	A	6.46	A
USGS	14018500	2005-05-18	1440	A	6.09	A
USGS	14018500	2005-05-19	1250	A	5.73	A
USGS	14018500	2005-05-20	997	A	5.36	A
USGS	14018500	2005-05-21	842	A	5.10	A
USGS	14018500	2005-05-22	754	A	4.94	A
USGS	14018500	2005-05-23	810	A	5.04	A
USGS	14018500	2005-05-24	652	A	4.74	A
USGS	14018500	2005-05-25	562	A	4.55	A
USGS	14018500	2005-05-26	471	A	4.33	A
USGS	14018500	2005-05-27	392	A	4.12	A
USGS	14018500	2005-05-28	321	A	3.91	A
USGS	14018500	2005-05-29	277	A	3.76	A
USGS	14018500	2005-05-30	233	A	3.60	A
USGS	14018500	2005-05-31	195	A	3.44	A
USGS	14018500	2005-06-01	179	A	3.37	A
USGS	14018500	2005-06-02	179	A	3.37	A
USGS	14018500	2005-06-03	152	A	3.24	A
USGS	14018500	2005-06-04	142	A	3.19	A
USGS	14018500	2005-06-05	127	A	3.11	A
USGS	14018500	2005-06-06	138	A	3.16	A
USGS	14018500	2005-06-07	132	A	3.13	A
USGS	14018500	2005-06-08	129	A	3.12	A
USGS	14018500	2005-06-09	110	A	3.00	A
USGS	14018500	2005-06-10	92.8	A	2.90	A
USGS	14018500	2005-06-11	75.9	A	2.82	A
USGS	14018500	2005-06-12	61.7	A	2.73	A
USGS	14018500	2005-06-13	60.4	A	2.73	A
USGS	14018500	2005-06-14	54.4	A	2.69	A
USGS	14018500	2005-06-15	46.1	A	2.62	A
USGS	14018500	2005-06-16	43.1	A	2.60	A
USGS	14018500	2005-06-17	41.6	A	2.59	A
USGS	14018500	2005-06-18	41.5	A	2.59	A
USGS	14018500	2005-06-19	39.6	A	2.57	A
USGS	14018500	2005-06-20	50.3	A	2.66	A
USGS	14018500	2005-06-21	37.8	A	2.55	A
USGS	14018500	2005-06-22	27.1	A	2.44	A
USGS	14018500	2005-06-23	24.1	A	2.40	A
USGS	14018500	2005-06-24	24.8	A	2.41	A
USGS	14018500	2005-06-25	24.0	A	2.40	A
USGS	14018500	2005-06-26	22.9	A	2.38	A
USGS	14018500	2005-06-27	24.9	A	2.41	A
USGS	14018500	2005-06-28	29.7	A	2.47	A
USGS	14018500	2005-06-29	46.3	A	2.62	A
USGS	14018500	2005-06-30	50.8	A	2.66	A
USGS	14018500	2005-07-01	28.2	A	2.46	A
USGS	14018500	2005-07-02	24.0	A	2.41	A
USGS	14018500	2005-07-03	22.5	A	2.39	A
USGS	14018500	2005-07-04	21.2	A	2.37	A
USGS	14018500	2005-07-05	21.3	A	2.37	A
USGS	14018500	2005-07-06	19.2	A	2.34	A
USGS	14018500	2005-07-07	16.0	A	2.29	A
USGS	14018500	2005-07-08	16.3	A	2.30	A
USGS	14018500	2005-07-09	19.2	A	2.34	A
USGS	14018500	2005-07-10	26.6	A	2.44	A
USGS	14018500	2005-07-11	47.2	A	2.64	A
USGS	14018500	2005-07-12	37.7	A	2.56	A
USGS	14018500	2005-07-13	25.8	A	2.44	A
USGS	14018500	2005-07-14	18.3	A	2.33	A
USGS	14018500	2005-07-15	21.0	A		
USGS	14018500	2005-07-16	32.8	A	2.51	A
USGS	14018500	2005-07-17	32.1	A	2.51	A
USGS	14018500	2005-07-18	29.0	A		
USGS	14018500	2005-07-19	22.4	A	2.38	A
USGS	14018500	2005-07-20	17.0	A	2.29	A
USGS	14018500	2005-07-21	17.2	A	2.28	A
USGS	14018500	2005-07-22	18.4	A	2.30	A
USGS	14018500	2005-07-23	17.5	A	2.29	A
USGS	14018500	2005-07-24	21.9	A	2.35	A
USGS	14018500	2005-07-25	21.7	A	2.35	A
USGS	14018500	2005-07-26	20.4	A	2.33	A
USGS	14018500	2005-07-27	17.0	A	2.28	A
USGS	14018500	2005-07-28	14.9	A	2.24	A
USGS	14018500	2005-07-29	12.1	A	2.19	A
USGS	14018500	2005-07-30	12.2	A	2.19	A
USGS	14018500	2005-07-31	12.2	A	2.18	A
USGS	14018500	2005-08-01	9.87	A	2.13	A
USGS	14018500	2005-08-02	8.13	A	2.07	A
USGS	14018500	2005-08-03	7.64	A	2.06	A
USGS	14018500	2005-08-04	7.73	A	2.06	A
USGS	14018500	2005-08-05	2.51	A	1.84	A
USGS	14018500	2005-08-06	1.19	A	1.77	A
USGS	14018500	2005-08-07	1.97	A	1.81	A
USGS	14018500	2005-08-08	0.56	A	1.73	A
USGS	14018500	2005-08-09	0.18	A	1.61	A
USGS	14018500	2005-08-10	1.64	A	1.79	A
USGS	14018500	2005-08-11	2.30	A	1.83	A
USGS	14018500	2005-08-12	0.86	A	1.67	A
USGS	14018500	2005-08-13	1.76	A	1.80	A
USGS	14018500	2005-08-14	2.63	A	1.84	A
USGS	14018500	2005-08-15	7.24	A	2.04	A
USGS	14018500	2005-08-16	8.44	A	2.08	A
USGS	14018500	2005-08-17	6.64	A	2.02	A
USGS	14018500	2005-08-18	5.14	A	1.96	A
USGS	14018500	2005-08-19	12.2	A	2.18	A
USGS	14018500	2005-08-20	22.0	A	2.36	A
USGS	14018500	2005-08-21	19.8	A	2.33	A
USGS	14018500	2005-08-22	16.1	A	2.27	A
USGS	14018500	2005-08-23	12.8	A	2.21	A
USGS	14018500	2005-08-24	11.4	A	2.18	A
USGS	14018500	2005-08-25	10.8	A	2.18	A
USGS	14018500	2005-08-26	9.72	A	2.14	A
USGS	14018500	2005-08-27	7.26	A	2.07	A
USGS	14018500	2005-08-28	7.86	A	2.09	A
USGS	14018500	2005-08-29	6.34	A	2.04	A
USGS	14018500	2005-08-30	6.81	A	2.06	A
USGS	14018500	2005-08-31	11.1	A	2.18	A
USGS	14018500	2005-09-01	18.2	A	2.33	A
USGS	14018500	2005-09-02	19.3	A	2.35	A
USGS	14018500	2005-09-03	20.1	A	2.37	A
USGS	14018500	2005-09-04	23.6	A	2.42	A
USGS	14018500	2005-09-05	26.9	A	2.46	A
USGS	14018500	2005-09-06	28.1	A	2.48	A
USGS	14018500	2005-09-07	26.1	A	2.46	A
USGS	14018500	2005-09-08	24.4	A	2.44	A
USGS	14018500	2005-09-09	21.3	A	2.40	A
USGS	14018500	2005-09-10	21.6	A	2.40	A
USGS	14018500	2005-09-11	32.1	A	2.54	A
USGS	14018500	2005-09-12	37.2	A	2.59	A
USGS	14018500	2005-09-13	32.0	A		
USGS	14018500	2005-09-14	34.4	A	2.56	A
USGS	14018500	2005-09-15	33.7	A	2.56	A
USGS	14018500	2005-09-16	20.7	A	2.41	A
USGS	14018500	2005-09-17	21.5	A	2.42	A
USGS	14018500	2005-09-18	25.5	A	2.47	A
USGS	14018500	2005-09-19	28.7	A	2.52	A
USGS	14018500	2005-09-20	22.6	A	2.44	A
USGS	14018500	2005-09-21	21.3	A	2.43	A
USGS	14018500	2005-09-22	18.9	A	2.39	A
USGS	14018500	2005-09-23	23.8	A	2.46	A
USGS	14018500	2005-09-24	20.4	A	2.42	A
USGS	14018500	2005-09-25	19.3	A	2.41	A
USGS	14018500	2005-09-26	23.3	A	2.46	A
USGS	14018500	2005-09-27	21.8	A	2.44	A
USGS	14018500	2005-09-28	17.6	A	2.38	A
USGS	14018500	2005-09-29	13.7	A	2.32	A
USGS	14018500	2005-09-30	15.4	A	2.35	A
USGS	14018500	2005-10-01	33.3	A	2.58	A
USGS	14018500	2005-10-02	68.3	A	2.86	A
USGS	14018500	2005-10-03	63.7	A	2.84	A
USGS	14018500	2005-10-04	45.7	A	2.71	A
USGS	14018500	2005-10-05	41.8	A	2.68	A
USGS	14018500	2005-10-06	30.8	A	2.57	A
USGS	14018500	2005-10-07	20.6	A	2.45	A
USGS	14018500	2005-10-08	15.8	A	2.37	A
USGS	14018500	2005-10-09	17.7	A	2.40	A
USGS	14018500	2005-10-10	22.0	A	2.47	A
USGS	14018500	2005-10-11	19.0	A	2.42	A
USGS	14018500	2005-10-12	15.0	A	2.36	A
USGS	14018500	2005-10-13	13.9	A	2.33	A
USGS	14018500	2005-10-14	15.6	A	2.37	A
USGS	14018500	2005-10-15	14.3	A	2.34	A
USGS	14018500	2005-10-16	13.8	A	2.33	A
USGS	14018500	2005-10-17	14.5	A	2.34	A
USGS	14018500	2005-10-18	15.6	A	2.37	A
USGS	14018500	2005-10-19	16.2	A	2.38	A
USGS	14018500	2005-10-20	17.5	A	2.40	A
USGS	14018500	2005-10-21	23.6	A	2.49	A
USGS	14018500	2005-10-22	23.3	A	2.48	A
USGS	14018500	2005-10-23	26.1	A	2.52	A
USGS	14018500	2005-10-24	29.4	A	2.56	A
USGS	14018500	2005-10-25	32.4	A	2.59	A
USGS	14018500	2005-10-26	31.7	A	2.58	A
USGS	14018500	2005-10-27	32.1	A	2.59	A
USGS	14018500	2005-10-28	35.4	A	2.62	A
USGS	14018500	2005-10-29	38.6	A	2.65	A
USGS	14018500	2005-10-30	44.1	A	2.70	A
USGS	14018500	2005-10-31	44.8	A	2.70	A
USGS	14018500	2005-11-01	71.8	A	2.87	A
USGS	14018500	2005-11-02	164	A	3.37	A
USGS	14018500	2005-11-03	150	A	3.30	A
USGS	14018500	2005-11-04	110	A	3.09	A
USGS	14018500	2005-11-05	107	A	3.07	A
USGS	14018500	2005-11-06	107	A	3.07	A
USGS	14018500	2005-11-07	105	A	3.06	A
USGS	14018500	2005-11-08	109	A	3.08	A
USGS	14018500	2005-11-09	107	A	3.07	A
USGS	14018500	2005-11-10	98.1	A	3.01	A
USGS	14018500	2005-11-11	91.9	A	2.98	A
USGS	14018500	2005-11-12	94.4	A	2.99	A
USGS	14018500	2005-11-13	111	A	3.09	A
USGS	14018500	2005-11-14	119	A	3.14	A
USGS	14018500	2005-11-15	128	A	3.19	A
USGS	14018500	2005-11-16	125	A	3.17	A
USGS	14018500	2005-11-17	115	A	3.12	A
USGS	14018500	2005-11-18	107	A	3.08	A
USGS	14018500	2005-11-19	107	A	3.07	A
USGS	14018500	2005-11-20	104	A	3.05	A
USGS	14018500	2005-11-21	104	A	3.05	A
USGS	14018500	2005-11-22	101	A	3.04	A
USGS	14018500	2005-11-23	101	A	3.04	A
USGS	14018500	2005-11-24	102	A	3.04	A
USGS	14018500	2005-11-25	108	A	3.08	A
USGS	14018500	2005-11-26	106	A	3.06	A
USGS	14018500	2005-11-27	106	A	3.07	A
USGS	14018500	2005-11-28	105	A	3.06	A
USGS	14018500	2005-11-29	106	A	3.07	A
USGS	14018500	2005-11-30	109	A	3.08	A
USGS	14018500	2005-12-01	118	A	3.13	A
USGS	14018500	2005-12-02	125	A	3.17	A
USGS	14018500	2005-12-03	131	A	3.20	A
USGS	14018500	2005-12-04	132	A	3.21	A
USGS	14018500	2005-12-05	128	A	3.19	A
USGS	14018500	2005-12-06	132	A	3.21	A
USGS	14018500	2005-12-07	128	A	3.19	A
USGS	14018500	2005-12-08	132	A	3.21	A
USGS	14018500	2005-12-09	130	A:e	3.52	A
USGS	14018500	2005-12-10	130	A:e	3.66	A
USGS	14018500	2005-12-11	130	A:e	3.76	A
USGS	14018500	2005-12-12	130	A:e	3.67	A
USGS	14018500	2005-12-13	120	A:e	3.62	A
USGS	14018500	2005-12-14	120	A:e	3.67	A
USGS	14018500	2005-12-15	120	A:e	3.65	A
USGS	14018500	2005-12-16	120	A:e	3.60	A
USGS	14018500	2005-12-17	120	A:e	3.59	A
USGS	14018500	2005-12-18	110	A:e	3.68	A
USGS	14018500	2005-12-19	110	A:e	3.66	A
USGS	14018500	2005-12-20	120	A:e	3.65	A
USGS	14018500	2005-12-21	200	A:e	3.75	A
USGS	14018500	2005-12-22	342	A	4.01	A
USGS	14018500	2005-12-23	833	A	5.08	A
USGS	14018500	2005-12-24	1000	A	5.37	A
USGS	14018500	2005-12-25	794	A	5.04	A
USGS	14018500	2005-12-26	823	A	5.09	A
USGS	14018500	2005-12-27	772	A	5.00	A
USGS	14018500	2005-12-28	1060	A	5.45	A
USGS	14018500	2005-12-29	1710	A	6.57	A
USGS	14018500	2005-12-30	1540	A	6.28	A
USGS	14018500	2005-12-31	2370	A	7.57	A
USGS	14018500	2006-01-01	3150	A	8.67	A
USGS	14018500	2006-01-02	2400	A	7.65	A
USGS	14018500	2006-01-03	1900	A	6.89	A
USGS	14018500	2006-01-04	1500	A	6.19	A
USGS	14018500	2006-01-05	1190	A	5.66	A
USGS	14018500	2006-01-06	934	A	5.27	A
USGS	14018500	2006-01-07	805	A	5.06	A
USGS	14018500	2006-01-08	923	A	5.25	A
USGS	14018500	2006-01-09	916	A	5.25	A
USGS	14018500	2006-01-10	1200	A	5.71	A
USGS	14018500	2006-01-11	2660	A	7.98	A
USGS	14018500	2006-01-12	2750	A	8.14	A
USGS	14018500	2006-01-13	1920	A	6.92	A
USGS	14018500	2006-01-14	1870	A	6.84	A
USGS	14018500	2006-01-15	2120	A	7.24	A
USGS	14018500	2006-01-16	1820	A	6.75	A
USGS	14018500	2006-01-17	1770	A	6.67	A
USGS	14018500	2006-01-18	3760	A	9.39	A
USGS	14018500	2006-01-19	3270	A	8.82	A
USGS	14018500	2006-01-20	2350	A	7.59	A
USGS	14018500	2006-01-21	2110	A	7.22	A
USGS	14018500	2006-01-22	1750	A	6.64	A
USGS	14018500	2006-01-23	1500	A	6.20	A
USGS	14018500	2006-01-24	1340	A	5.87	A
USGS	14018500	2006-01-25	1230	A	5.71	A
USGS	14018500	2006-01-26	1160	A	5.60	A
USGS	14018500	2006-01-27	1070	A	5.48	A
USGS	14018500	2006-01-28	1030	A	5.42	A
USGS	14018500	2006-01-29	958	A	5.31	A
USGS	14018500	2006-01-30	931	A	5.27	A
USGS	14018500	2006-01-31	1190	A	5.66	A
USGS	14018500	2006-02-01	1340	A	5.89	A
USGS	14018500	2006-02-02	1430	A	6.06	A
USGS	14018500	2006-02-03	1470	A	6.14	A
USGS	14018500	2006-02-04	1570	A	6.32	A
USGS	14018500	2006-02-05	1850	A	6.81	A
USGS	14018500	2006-02-06	1620	A	6.42	A
USGS	14018500	2006-02-07	1410	A	6.01	A
USGS	14018500	2006-02-08	1230	A	5.70	A
USGS	14018500	2006-02-09	1050	A	5.46	A
USGS	14018500	2006-02-10	917	A	5.25	A
USGS	14018500	2006-02-11	810	A	5.07	A
USGS	14018500	2006-02-12	740	A	4.94	A
USGS	14018500	2006-02-13	690	A	4.85	A
USGS	14018500	2006-02-14	755	A	4.97	A
USGS	14018500	2006-02-15	703	A	4.87	A
USGS	14018500	2006-02-16	653	A	4.78	A
USGS	14018500	2006-02-17	594	A	4.65	A
USGS	14018500	2006-02-18	495	A	4.43	A
USGS	14018500	2006-02-19	464	A	4.36	A
USGS	14018500	2006-02-20	484	A	4.41	A
USGS	14018500	2006-02-21	520	A	4.49	A
USGS	14018500	2006-02-22	479	A	4.39	A
USGS	14018500	2006-02-23	452	A	4.33	A
USGS	14018500	2006-02-24	449	A	4.32	A
USGS	14018500	2006-02-25	432	A	4.28	A
USGS	14018500	2006-02-26	418	A	4.24	A
USGS	14018500	2006-02-27	454	A	4.33	A
USGS	14018500	2006-02-28	922	A	5.24	A
USGS	14018500	2006-03-01	2230	A	7.39	A
USGS	14018500	2006-03-02	2010	A	7.07	A
USGS	14018500	2006-03-03	1640	A	6.44	A
USGS	14018500	2006-03-04	1390	A	5.99	A
USGS	14018500	2006-03-05	1170	A	5.62	A
USGS	14018500	2006-03-06	1010	A	5.40	A
USGS	14018500	2006-03-07	1210	A	5.67	A
USGS	14018500	2006-03-08	1210	A	5.69	A
USGS	14018500	2006-03-09	1330	A	5.87	A
USGS	14018500	2006-03-10	1290	A	5.79	A
USGS	14018500	2006-03-11	1150	A	5.60	A
USGS	14018500	2006-03-12	1010	A	5.39	A
USGS	14018500	2006-03-13	872	A	5.17	A
USGS	14018500	2006-03-14	719	A	4.90	A
USGS	14018500	2006-03-15	647	A	4.76	A
USGS	14018500	2006-03-16	584	A	4.63	A
USGS	14018500	2006-03-17	557	A	4.57	A
USGS	14018500	2006-03-18	593	A	4.65	A
USGS	14018500	2006-03-19	540	A	4.54	A
USGS	14018500	2006-03-20	514	A	4.48	A
USGS	14018500	2006-03-21	480	A	4.40	A
USGS	14018500	2006-03-22	454	A	4.33	A
USGS	14018500	2006-03-23	421	A	4.25	A
USGS	14018500	2006-03-24	414	A	4.23	A
USGS	14018500	2006-03-25	646	A	4.73	A
USGS	14018500	2006-03-26	1500	A	6.20	A
USGS	14018500	2006-03-27	1580	A	6.34	A
USGS	14018500	2006-03-28	1490	A	6.18	A
USGS	14018500	2006-03-29	1440	A	6.08	A
USGS	14018500	2006-03-30	1350	A	5.90	A
USGS	14018500	2006-03-31	1230	A	5.71	A
USGS	14018500	2006-04-01	1240	A	5.73	A
USGS	14018500	2006-04-02	1340	A	5.89	A
USGS	14018500	2006-04-03	1280	A	5.77	A
USGS	14018500	2006-04-04	1480	A	6.15	A
USGS	14018500	2006-04-05	1790	A	6.70	A
USGS	14018500	2006-04-06	4440	A	10.14	A
USGS	14018500	2006-04-07	4100	A	9.80	A
USGS	14018500	2006-04-08	3030	A	8.53	A
USGS	14018500	2006-04-09	3280	A	8.84	A
USGS	14018500	2006-04-10	3140	A	8.66	A
USGS	14018500	2006-04-11	2990	A	8.46	A
USGS	14018500	2006-04-12	2570	A	7.89	A
USGS	14018500	2006-04-13	2250	A	7.43	A
USGS	14018500	2006-04-14	2140	A	7.27	A
USGS	14018500	2006-04-15	2330	A	7.54	A
USGS	14018500	2006-04-16	2840	A	8.27	A
USGS	14018500	2006-04-17	2720	A	8.11	A
USGS	14018500	2006-04-18	2250	A	7.44	A
USGS	14018500	2006-04-19	1870	A	6.84	A
USGS	14018500	2006-04-20	1630	A	6.42	A
USGS	14018500	2006-04-21	1490	A	6.16	A
USGS	14018500	2006-04-22	1400	A	5.97	A
USGS	14018500	2006-04-23	1300	A	5.77	A
USGS	14018500	2006-04-24	1200	A	5.62	A
USGS	14018500	2006-04-25	1060	A	5.41	A
USGS	14018500	2006-04-26	970	A	5.25	A
USGS	14018500	2006-04-27	910	A	5.15	A
USGS	14018500	2006-04-28	903	A	5.14	A
USGS	14018500	2006-04-29	963	A	5.24	A
USGS	14018500	2006-04-30	1110	A	5.48	A
USGS	14018500	2006-05-01	1110	A	5.48	A
USGS	14018500	2006-05-02	931	A	5.18	A
USGS	14018500	2006-05-03	764	A	4.90	A
USGS	14018500	2006-05-04	660	A	4.71	A
USGS	14018500	2006-05-05	622	A	4.63	A
USGS	14018500	2006-05-06	601	A	4.59	A
USGS	14018500	2006-05-07	607	A	4.60	A
USGS	14018500	2006-05-08	662	A	4.71	A
USGS	14018500	2006-05-09	567	A	4.51	A
USGS	14018500	2006-05-10	499	A	4.36	A
USGS	14018500	2006-05-11	462	A	4.27	A
