"","event_site_name","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude"
"99","IR2 - Lower Imnaha River ISA @ km 10","Lower Snake","Imnaha",45.742702,-116.764304
"100","MTR - Middle Tucannon River","Lower Snake","Lower Snake-Tucannon",46.505239,-118.016274
"101","BSC - Big Sheep Creek ISA at km 6","Lower Snake","Imnaha",45.506482,-116.850735
"102","PAT - Pattit Creek Instream Site","Middle Columbia","Walla Walla",46.327536,-117.974028
"103","LTR - Lower Tucannon River","Lower Snake","Lower Snake-Tucannon",46.544192,-118.162901
"104","HYC - Hayden Creek In-stream Array","Salmon","Lemhi",44.861654,-113.631937
"105","PCM - Pine Creek Mouth, Potlatch R.","Clearwater","Clearwater",46.630673,-116.596836
"106","HRM - Hood River Mouth","Middle Columbia","Middle Columbia-Hood",45.713986,-121.508462
"107","DBH - Buck Hollow Ck Deschutes Trib","Deschutes","Lower Deschutes",45.262308,-121.023275
"108","MTD - Mill Creek at The Dalles","Middle Columbia","Middle Columbia-Hood",45.595413,-121.204525
"109","UTR - Upper Tucannon River","Lower Snake","Lower Snake-Tucannon",46.415922,-117.738342
"110","ACM - Asotin Creek near mouth","Lower Snake","Lower Snake-Asotin",46.341368,-117.055707
"111","ACB - Asotin Cr. at Cloverland Brdg.","Lower Snake","Lower Snake-Asotin",46.325584,-117.108679
"112","LRW - Lemhi River Weir","Salmon","Lemhi",44.86596,-113.624721
"113","TFH - Tucannon Fish Hatchery","Lower Snake","Lower Snake-Tucannon",46.309627,-117.657161
"114","CCA - Lower Charley Creek ISA","Lower Snake","Lower Snake-Asotin",46.288458,-117.282497
"115","SUN - Sunnyside Instream Array","Yakima","Lower Yakima",46.496865,-120.442428
"116","MDR - McDonald Road Bridge","Middle Columbia","Walla Walla",46.04787,-118.5548
"117","ZEN - Secesh River at Zena Cr. Ranch","Salmon","South Fork Salmon",45.0333,-115.73302
"118","SFG - SF Salmon at Guard Station Br.","Salmon","South Fork Salmon",45.175659,-115.579712
"119","IR3 - Upper Imnaha River ISA @ km 41","Lower Snake","Imnaha",45.489957,-116.804096
"120","LNR - Lower Naches River","Yakima","Naches",46.631484,-120.578716
"121","ESS - EFSF Salmon River at Parks Cr.","Salmon","South Fork Salmon",44.956205,-115.53315
"122","TOP - Lower Toppenish Creek","Yakima","Lower Yakima",46.319264,-120.181823
"123","HST - Touchet River at Harvey Shaw","Middle Columbia","Walla Walla",46.287439,-118.488939
"124","TP2 - Toppenish Creek at Simcoe Ck","Yakima","Lower Yakima",46.378401,-120.622581
"125","SAT - Lower Satus Creek","Yakima","Lower Yakima",46.275188,-120.137698
"126","BGM - Burlingame Dam and Canal","Middle Columbia","Walla Walla",46.023149,-118.424443
"127","COC - Cow Creek ISA @ stream mouth","Lower Snake","Imnaha",45.76774,-116.744037
"128","NFS - North Fork Salmon River","Salmon","Middle Salmon-Panther",45.408645,-113.992002
"129","HS1 - Top of side channel near ENFH","Upper Columbia","Upper Columbia-Entiat",47.69844,-120.32123
"130","HS2 - Bottom side channel near ENFH","Upper Columbia","Upper Columbia-Entiat",47.697967,-120.32204
"131","HN1 - Top of Harrison side channel","Upper Columbia","Upper Columbia-Entiat",47.669771,-120.294569
"132","HN3 - Bottom Harrison Side Channel","Upper Columbia","Upper Columbia-Entiat",47.67061,-120.2899
"133","HN2 - Middle Harrison Side Channel","Upper Columbia","Upper Columbia-Entiat",47.67044,-120.2912
"134","NAL - Lower Nason Creek","Upper Columbia","Wenatchee",47.802494,-120.713574
"135","NAU - Upper Nason Creek","Upper Columbia","Wenatchee",47.785981,-120.848546
"136","OMK - Omak Creek Instream Array","Upper Columbia","Okanogan",48.405363,-119.50143
"137","MWC - Maxwell Canal","Middle Columbia","Umatilla",45.799487,-119.341847
"138","EFD - East Fork Diversion Fishway","Middle Columbia","Middle Columbia-Hood",45.509403,-121.56478
"139","FDD - Feed Diversion Dam","Middle Columbia","Umatilla",45.720695,-119.176819
"140","158 - Fifteenmile Ck at Eightmile Ck","Middle Columbia","Middle Columbia-Hood",45.606425,-121.08628
"141","NBA - Nursery Bridge Adult","Middle Columbia","Walla Walla",45.945399,-118.384451
"142","18N - 1890s Channel Methow River","Upper Columbia","Methow",48.373079,-120.12264
"143","ZSL - Zosel Dam Combined","Upper Columbia","Okanogan",48.933499,-119.419812
"144","ROZ - Roza Diversion Dam (Combined)","Yakima","Upper Yakima",46.749064,-120.465766
"145","LOR - Lost River at rkm 0.81","Upper Columbia","Methow",48.655382,-120.505688
"146","EWC - Early Winters Creek rkm 0.36","Upper Columbia","Methow",48.599537,-120.442272
"147","SA1 - Salmon Creek Instream Array","Upper Columbia","Okanogan",48.378992,-119.590647
"148","GLC - Gold Creek, Methow River","Upper Columbia","Methow",48.188368,-120.097128
"149","HSL - Hancock Springs Lower","Upper Columbia","Methow",48.531648,-120.324021
"150","ORB - Oasis Road Bridge","Middle Columbia","Walla Walla",46.072797,-118.816734
"151","MRB - Methow River Basin","Upper Columbia","Methow",48.3148,-120.0883
"152","CLC - Clear Creek near Kooskia NFH","Clearwater","Middle Fork Clearwater",46.132739,-115.950184
"153","NMC - Ninemile Creek Instream Array","Upper Columbia","Okanogan",48.970542,-119.418187
"154","RZF - Roza Dam Fishway","Yakima","Upper Yakima",46.74882,-120.465031
"155","PES - Peshastin Creek","Upper Columbia","Wenatchee",47.548491,-120.609887
"156","TAN - Taneum Creek Instream","Yakima","Upper Yakima",47.091769,-120.709136
"157","LMT - Lower Mainstem Teanaway River","Yakima","Upper Yakima",47.170655,-120.834851
"158","WSH - Warm Springs Hatchery","Deschutes","Lower Deschutes",44.860729,-121.245123
"159","KRS - SF Salmon River at Krassel Cr.","Salmon","South Fork Salmon",44.978472,-115.726994
"160","UM1 - Umatilla River USFWS","Middle Columbia","Umatilla",45.726045,-118.187571
"161","TAY - Big Creek at Taylor Ranch","Salmon","Lower Middle Fork Salmon",45.103947,-114.850008
"162","UM2 - Umatilla River Instream Array","Middle Columbia","Umatilla",45.712494,-118.345278
"163","TMJ - 3-Mile Falls Dam Smolt Bypass","Middle Columbia","Umatilla",45.882307,-119.325853
"164","TMA - 3-Mile Falls Dam Adult Fishway","Middle Columbia","Umatilla",45.882124,-119.323066
"165","CHL - Lower Chiwawa River","Upper Columbia","Wenatchee",47.787548,-120.653864
"166","CHU - Upper Chiwawa River","Upper Columbia","Wenatchee",47.843795,-120.665435
"167","JUL - Potlatch River near Juliaetta","Clearwater","Clearwater",46.565323,-116.709318
"168","WW1 - Harris Bridge S F Walla Walla","Middle Columbia","Walla Walla",45.83676,-118.182603
"169","CRT - Crooked River Satellite Fac.","Clearwater","South Fork Clearwater",45.820931,-115.527782
"170","CMP - Camp Creek at rkm 2 - Imnaha","Lower Snake","Imnaha",45.551819,-116.866939
"171","HLM - Potlatch River near Helmer","Clearwater","Clearwater",46.799006,-116.428412
"172","SFL - Shipherd Falls Ladder","Middle Columbia","Middle Columbia-Hood",45.737978,-121.805784
"173","UCT - Upper Chiwawa Temporary Array","Upper Columbia","Wenatchee",47.936156,-120.755397
"174","LWD - Lowden Diversion Dam","Middle Columbia","Walla Walla",46.043121,-118.525822
"175","LBC - Libby Creek, Methow River","Upper Columbia","Methow",48.23025,-120.117672
"176","BVC - Beaver Creek, Methow River","Upper Columbia","Methow",48.358155,-120.040412
"177","RCT - Roaring Creek Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.689304,-120.32198
"178","KEN - Kenney Creek In-stream Arrays","Salmon","Lemhi",45.02703,-113.65801
"179","BCP - Butcher Creek Acclimation Pond","Upper Columbia","Wenatchee",47.769549,-120.80235
"180","CHM - Chumstick Creek","Upper Columbia","Wenatchee",47.60485,-120.648606
"181","LWL - Ltl. White Salmon NFH returns","Middle Columbia","Middle Columbia-Hood",45.721799,-121.640678
"182","CHW - Chiwaukum Creek","Upper Columbia","Wenatchee",47.681436,-120.731185
"183","MWE - Middle Wenatchee River","Upper Columbia","Wenatchee",47.623026,-120.726203
"184","ICL - Lower Icicle Instream Array","Upper Columbia","Wenatchee",47.578648,-120.662589
"185","WTL - White River, Wenatchee Basin","Upper Columbia","Wenatchee",47.845936,-120.831626
"186","MCD - Mill Creek Diversion Project","Middle Columbia","Walla Walla",46.079843,-118.254402
"187","YHC - Yellowhawk Creek","Middle Columbia","Walla Walla",46.074979,-118.273783
"188","WW2 - SF Walla Walla at Bear Creek","Middle Columbia","Walla Walla",45.84417,-118.104691
"189","LWN - Little Wenatchee River","Upper Columbia","Wenatchee",47.834251,-120.838918
"190","CCT - Chikamin Creek Temporary Array","Upper Columbia","Wenatchee",47.908611,-120.722258
"191","KCB - Kiwanis Camp Bridge, Mill C","Middle Columbia","Walla Walla",45.998915,-118.113805
"192","BMT - Big Meadow Temporary Array","Upper Columbia","Wenatchee",47.867619,-120.696425
"193","UPT - Upper Peshastin Temporary Arr.","Upper Columbia","Wenatchee",47.397549,-120.65269
"194","TCT - Tronsen Creek Temporary Array","Upper Columbia","Wenatchee",47.397613,-120.651821
"195","SHK - Shitike Creek PIT Array","Deschutes","Lower Deschutes",44.764941,-121.243566
"196","85M - Eightmile Ck at Fivemile Ck","Middle Columbia","Middle Columbia-Hood",45.593295,-121.080635
"197","MCL - Lower Mission Creek Instream","Upper Columbia","Wenatchee",47.518179,-120.472629
"198","RFP - Rolfing Acclimation Pond","Upper Columbia","Wenatchee",47.78504,-120.878984
"199","TR1 - Lower Trout Cr - Deschutes","Deschutes","Trout",44.821445,-121.081093
"200","TR2 - Trout/Antelope Cr - Deschutes","Deschutes","Trout",44.822169,-120.920636
"201","UMR - Upper Mad Rv. Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.786546,-120.442145
"202","URT - Upper Roaring Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.685722,-120.34895
"203","PD1 - Top of Chelan PUD side channel","Upper Columbia","Upper Columbia-Entiat",47.66911,-120.28434
"204","NFW - North Fork Walla Walla River","Middle Columbia","Walla Walla",45.898661,-118.304099
"205","15D - Fifteenmile Ck at Dry Ck","Middle Columbia","Middle Columbia-Hood",45.506158,-121.046218
"206","SWK - Lower Swauk Creek","Yakima","Upper Yakima",47.125645,-120.737782
"207","NFT - North Fork Teanaway River","Yakima","Upper Yakima",47.25288,-120.87913
"208","15R - Fifteenmile Ck at Ramsey Ck","Middle Columbia","Middle Columbia-Hood",45.433719,-121.217211
"209","3D4 - Bottom of 3D Side Channel","Upper Columbia","Upper Columbia-Entiat",47.89043,-120.4475
"210","PD2 - Bot of Chelan PUD side channel","Upper Columbia","Upper Columbia-Entiat",47.667974,-120.28157
"211","MVP - Mid-Valley Acclimation Pond","Upper Columbia","Methow",48.504212,-120.25614
"212","JOH - Johnson Creek","Upper Columbia","Okanogan",48.501091,-119.506347
"213","FDC - Feed Canal","Middle Columbia","Umatilla",45.721488,-119.177031
"214","CHP - Chiwawa Acc. Pond","Upper Columbia","Wenatchee",47.789057,-120.651952
"215","SR2 - Bot of Entiat R side channel","Upper Columbia","Upper Columbia-Entiat",47.67255,-120.30824
"216","SR1 - Top of Entiat R side channel","Upper Columbia","Upper Columbia-Entiat",47.67318,-120.3095
"217","DBO - Bakeoven Ck Deschutes Trib","Deschutes","Lower Deschutes",45.172741,-121.072549
"218","BBP - Blackbird Pond Accl. Site","Upper Columbia","Wenatchee",47.588592,-120.664375
"219","TY1 - Low Flow Top of Tyee Channel","Upper Columbia","Upper Columbia-Entiat",47.871367,-120.426853
"220","HSU - Hancock Springs Upper","Upper Columbia","Methow",48.534604,-120.333895
"221","HSM - Hancock Springs Middle","Upper Columbia","Methow",48.533953,-120.3308
"222","WPC - Wimpey Creek, Lemhi R. Basin","Salmon","Lemhi",45.097938,-113.720497
"223","UMF - Umatilla R below Feed Dam","Middle Columbia","Umatilla",45.720905,-119.177275
"224","FST - Foster Creek","Upper Columbia","Chief Joseph",47.996326,-119.646768
"225","WPT - White Pine Temporary Array","Upper Columbia","Wenatchee",47.774525,-120.91604
"226","COP - Lower Coppei Instream Array","Middle Columbia","Walla Walla",46.26921,-118.16733
"227","EVL - Eagle Valley Ranch - Lower","Salmon","Lemhi",45.115074,-113.774021
"228","EVU - Eagle Valley Ranch - Upper","Salmon","Lemhi",45.100087,-113.726042
"229","UMT - Upper main stem Teanaway River","Yakima","Upper Yakima",47.254729,-120.895522
"230","CZY - Crazyman Creek at 0.6 km","Lower Snake","Imnaha",45.2293,-116.84478
"231","CRC - Carmen Creek, Salmon R. Basin","Salmon","Middle Salmon-Panther",45.246485,-113.893466
"232","3D1 - Top of 3D Side Channel","Upper Columbia","Upper Columbia-Entiat",47.8921,-120.4502
"233","WL2 - Bottom of Wilson Creek channel","Upper Columbia","Upper Columbia-Entiat",47.6953,-120.32015
"234","MCI - Mill Creek Intake Dam","Middle Columbia","Walla Walla",45.990016,-118.048399
"235","PRH - Priest Rapids Hatchery Outfall","Upper Columbia","Upper Columbia-Priest Rapids",46.631531,-119.872923
"236","AEN - Aeneas Creek Temporary Array","Upper Columbia","Okanogan",48.658578,-119.476197
"237","OMF - Omak Creek above Mission Falls","Upper Columbia","Okanogan",48.370177,-119.43408
"238","JDM - Upper John Day River Array","John Day","Upper John Day",44.458194,-119.431056
"239","BVT - Beaver Creek Temporary Array","Upper Columbia","Wenatchee",47.764831,-120.656264
"240","BVP - Beaver Creek Acclimation Pond","Upper Columbia","Wenatchee",47.768224,-120.648222
"241","3D3 - Middle-2 of 3D Side Channel","Upper Columbia","Upper Columbia-Entiat",47.89192,-120.4477
"242","OBF - Omak Creek below Mission Falls","Upper Columbia","Okanogan",48.369997,-119.442154
"243","SA0 - Salmon Creek below OID Div.","Upper Columbia","Okanogan",48.401726,-119.616082
"244","TON - Tonasket Creek","Upper Columbia","Okanogan",48.941092,-119.422484
"245","AGC - Agency Creek, Lemhi R. Basin","Salmon","Lemhi",44.956739,-113.639543
"246","LLS - Lemhi Little Springs Instream","Salmon","Lemhi",44.780552,-113.545027
"247","MVF - Moving Falls Fish Ladder","Middle Columbia","Middle Columbia-Hood",45.572479,-121.657187
"248","M3R - 3R side channel Methow River","Upper Columbia","Methow",48.43475,-120.157037
"249","30M - Thirtymile Crk John Day Basin","John Day","Lower John Day",45.162073,-120.465021
"250","UGS - Upper Grande Ronde Starkey","Lower Snake","Upper Grande Ronde",45.248955,-118.388958
"251","WEH - Wells Dam Hatchery","Upper Columbia","Chief Joseph",47.945378,-119.86772
"252","GRS - Lower Granite Dam Spillway","Lower Snake","Lower Snake-Tucannon",46.658972,-117.430058
"253","WAN - Wanacut Creek","Upper Columbia","Okanogan",48.432259,-119.467687
"254","JPT - Juvenile Pond Touchet","Middle Columbia","Walla Walla",46.312881,-117.973529
"255","ICM - Middle Icicle Instream Array","Upper Columbia","Wenatchee",47.549657,-120.67971
"256","OKV - Vasuex Creek, BC, Canada","Upper Columbia","Okanogan",49.244904,-119.528391
"257","CWP - Chewuch Acclimation Pond","Upper Columbia","Methow",48.56511,-120.176618
"258","EBO - East Bank Hatchery Outfall","Upper Columbia","Upper Columbia-Entiat",47.534397,-120.290826
"259","WWB - Walla Walla River Barge Array","Middle Columbia","Walla Walla",46.06426,-118.859915
"260","MR1 - Minam River at river km 0.5","Lower Snake","Wallowa",45.619623,-117.72657
"261","IR4 - Imnaha Weir Downstream Array","Lower Snake","Imnaha",45.19446,-116.868774
"262","IR5 - Imnaha Weir Upstream Array","Lower Snake","Imnaha",45.193188,-116.868593
"263","IML - Imnaha River Weir Adult Ladder","Lower Snake","Imnaha",45.194276,-116.868663
"264","CEY - Cearley Creek Side Channel","Salmon","Upper Salmon",44.339059,-114.72164
"265","UMW - Umatilla R Recycled Water Fac","Middle Columbia","Umatilla",45.861949,-119.314651
"266","RSH - Ringold Springs Hatch. Outfall","Upper Columbia","Upper Columbia-Priest Rapids",46.510622,-119.260909
"267","SWC - Swale Creek Array","Middle Columbia","Klickitat",45.824582,-121.096904
"268","WEN - Wenaha River Mouth","Lower Snake","Lower Grande Ronde",45.946151,-117.454124
"269","WR2 - Wallowa River at rkm 32","Lower Snake","Wallowa",45.594466,-117.579223
"270","AH1 - Ahtanum at Lasalle HS","Yakima","Lower Yakima",46.547465,-120.495246
"271","RFL - Redfish Lake Creek","Salmon","Upper Salmon",44.164727,-114.905043
"272","BBA - Big Bear Creek Array","Clearwater","Clearwater",46.627882,-116.650795
"273","LKR - Little Klickitat River Array","Middle Columbia","Klickitat",45.844255,-121.059839
"274","PCA - Panther Creek Array","Salmon","Middle Salmon-Panther",45.295253,-114.358101
"275","S2I - Lemhi Sub-reach 2 SC Inlet","Salmon","Lemhi",45.109457,-113.742696
"276","S2O - Lemhi Sub-reach 2 SC Outlet","Salmon","Lemhi",45.111257,-113.746418
"277","GCM - Grouse Creek Mouth","Lower Snake","Imnaha",45.328017,-116.806641
"278","SM1 - Simcoe Creek at Stephensen Rd","Yakima","Lower Yakima",46.400434,-120.690033
"279","SND - Sandtrap Acclimation Site","Middle Columbia","Middle Columbia-Hood",45.515395,-121.566008
"280","CCU - Catherine Creek at Union","Lower Snake","Upper Grande Ronde",45.215252,-117.900689
"281","EPR - East Fork Potlatch Array","Clearwater","Clearwater",46.795091,-116.41088
"282","JDC - Cottonwood Creek, NF John Day","John Day","North Fork John Day",44.811143,-119.41956
"283","KLR - Klickitat Riv. Floating Array","Middle Columbia","Klickitat",45.720309,-121.255137
