"event_site_name","count","X","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude","dam","dam_abbr"
"ORB - Oasis Road Bridge",10,2348,"Middle Columbia","Walla Walla",46.072797,-118.816734,"in stream",NA
"PAHH - Pahsimeroi Hatchery",1,3504,"Salmon","Pahsimeroi",44.684139,-114.039471,"in stream",NA
"PRA - Priest Rapids Adult",24,76,"Upper Columbia","Upper Columbia-Priest Rapids",46.644339,-119.910442,"dam","PRA"
"PRO - Prosser Diversion Dam Combined",1,1033,"Yakima","Lower Yakima",46.212539,-119.772663,"in stream",NA
"PRV - Walla Walla R at Pierce RV Prk",14,4428,"Middle Columbia","Walla Walla",46.068014,-118.825796,"in stream",NA
"RCJ - Rock Creek John Day Basin",2,7156,"John Day","Lower John Day",45.57559,-120.37988,"in stream",NA
"RIA - Rock Island Adult",7,77,"Upper Columbia","Upper Columbia-Entiat",47.343278,-120.0933,"dam","RIS"
"RRF - Rocky Reach Fishway",1,5616,"Upper Columbia","Upper Columbia-Entiat",47.531519,-120.300387,"dam","RRE"
"SHERFT - Sherars Falls Fishway Trap, Deschutes River",3,924,"Deschutes","Lower Deschutes",45.2567,-121.0396,"in stream",NA
"SJ1 - SF John Day (Mid)",82,3102,"John Day","Upper John Day",44.422105,-119.540665,"in stream",NA
"SJ2 - SF John Day (Murderer's)",130,3009,"John Day","Upper John Day",44.314517,-119.539748,"in stream",NA
"SWT - Sweetwater Cr. near its mouth",2,1432,"Clearwater","Clearwater",46.369217,-116.795757,"in stream",NA
"TFH - Tucannon Fish Hatchery",1,7028,"Lower Snake","Lower Snake-Tucannon",46.309627,-117.657161,"in stream",NA
"The Dalles Adult Fishways (combined)",455,2,"Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685,"dam","TDA"
"TMA - 3-Mile Falls Dam Adult Fishway",2,223,"Middle Columbia","Umatilla",45.882124,-119.323066,"in stream",NA
"TMF - Three Mile Falls Dam Combined",42,112,"Middle Columbia","Umatilla",45.882018,-119.32442,"in stream",NA
"TMJ - 3-Mile Falls Dam Smolt Bypass",1,222,"Middle Columbia","Umatilla",45.882307,-119.325853,"in stream",NA
"TROU2C - Trout Creek, Deschutes River Watershed",1,3852,"Deschutes","Trout",44.776698,-120.762428,"in stream",NA
"TUCR - Tucannon River",1,7027,"Lower Snake","Lower Snake-Tucannon",46.395717,-117.711201,"in stream",NA
"TWX - Estuary Towed Array (Exp.)",5,176,"Lower Columbia","Lower Columbia-Clatskanie",46.142688,-123.335061,"in stream",NA
"UGR - Upper Grande Ronde at rkm 155",9,1340,"Lower Snake","Upper Grande Ronde",45.59352,-117.903379,"in stream",NA
"UM2 - Umatilla River Instream Array",1,884,"Middle Columbia","Umatilla",45.712494,-118.345278,"in stream",NA
"USI - Upper Salmon River at rkm 460",2,3509,"Salmon","Middle Salmon-Panther",44.889763,-113.964145,"in stream",NA
"WEA - Wells Dam, DCPUD Adult Ladders",1,5617,"Upper Columbia","Chief Joseph",47.947302,-119.864549,"dam","WEL"
"WHITEC - White Creek, Klickitat River Basin",1,2548,"Middle Columbia","Klickitat",46.123692,-121.072428,"in stream",NA
