"","tag_code","state","date_time","pathway"
"48","384.1B796A1F4A","mainstem, MCN to ICH or PRA",2012-10-05 17:38:52,"MCN (adult)"
"49","384.1B796A1F4A","mainstem, ICH to LGR",2012-10-08 02:26:02,"ICH (adult)"
"50","384.1B796A2327","mainstem, BON to MCN",2012-08-07 10:36:35,"BON (adult)"
"51","384.1B796A2327","mainstem, mouth to BON",NA,"implicit"
"52","384.1B796A2327","mainstem, BON to MCN",2012-08-07 22:02:59,"BON (adult)"
"53","384.1B796A2327","mainstem, MCN to ICH or PRA",2012-09-19 23:20:43,"MCN (adult)"
"54","384.1B796A2327","mainstem, ICH to LGR",2012-09-21 07:41:59,"ICH (adult)"
"55","384.1B796A2327","mainstem, upstream of LGR",2012-09-27 06:42:32,"LGR (adult)"
"56","384.1B796A2640","mainstem, BON to MCN",2012-08-13 06:00:35,"BON (adult)"
"57","384.1B796A2640","mainstem, MCN to ICH or PRA",2012-09-10 05:53:54,"MCN (adult)"
"58","384.1B796A2640","mainstem, ICH to LGR",2012-09-12 07:06:19,"ICH (adult)"
"59","384.1B796A2640","mainstem, upstream of LGR",2012-09-23 07:14:03,"LGR (adult)"
"60","384.1B796A2640","Salmon River",2013-03-26 15:10:52,"SAL_sites"
"62","384.1B796A2A13","mainstem, BON to MCN",2013-09-25 11:31:48,"BON (adult)"
"64","384.1B796A2A13","mainstem, MCN to ICH or PRA",2013-10-02 00:58:36,"MCN (adult)"
"65","384.1B796A2A13","mainstem, ICH to LGR",2013-10-04 06:30:02,"ICH (adult)"
"66","384.1B796A2F2B","mainstem, BON to MCN",2012-08-13 08:50:04,"BON (adult)"
"67","384.1B796A2F2B","mainstem, mouth to BON",NA,"implicit"
"68","384.1B796A2F2B","mainstem, BON to MCN",2012-08-13 23:32:23,"BON (adult)"
"69","384.1B796A2F2B","mainstem, MCN to ICH or PRA",2012-10-08 03:29:39,"MCN (adult)"
"70","384.1B796A2F2B","mainstem, ICH to LGR",2012-10-12 05:30:13,"ICH (adult)"
"71","384.1B796A2F2B","mainstem, upstream of LGR",2012-10-20 04:29:36,"LGR (adult)"
"72","384.1B796A2F2B","Salmon River",2013-03-26 09:31:15,"SAL_sites"
"75","384.1B796A3269","mainstem, BON to MCN",2012-09-16 00:53:11,"BON (adult)"
"76","384.1B796A3269","mainstem, MCN to ICH or PRA",2012-09-24 03:22:12,"MCN (adult)"
"77","384.1B796A3D09","mainstem, BON to MCN",2012-08-04 04:09:38,"BON (adult)"
"78","384.1B796A3D09","mainstem, MCN to ICH or PRA",2012-09-23 01:17:43,"MCN (adult)"
"79","384.1B796A3D09","mainstem, ICH to LGR",2012-09-29 02:33:08,"ICH (adult)"
"80","384.1B796A3D09","mainstem, upstream of LGR",2012-10-04 05:29:56,"LGR (adult)"
"81","384.1B796A3D09","Salmon River",2013-03-30 03:51:31,"SAL_sites"
"...82","384.1B796A3D09","mainstem, upstream of LGR",NA,"implicit"
"...83","384.1B796A3D09","mainstem, ICH to LGR",NA,"implicit"
"...84","384.1B796A3D09","mainstem, MCN to ICH or PRA",NA,"implicit"
"...85","384.1B796A3D09","mainstem, ICH to LGR",NA,"implicit"
"86","384.1B796A3D09","mainstem, MCN to ICH or PRA",NA,"implicit"
"87","384.1B796A3D09","mainstem, BON to MCN",NA,"implicit"
"88","384.1B796A3D09","mainstem, mouth to BON",2013-05-20 00:45:01,"BON_fallback_arrays"
"89","384.1B796A4E19","mainstem, BON to MCN",2012-07-25 09:18:12,"BON (adult)"
"90","384.1B796A4E19","mainstem, MCN to ICH or PRA",2012-08-10 01:30:23,"MCN (adult)"
"91","384.1B796A4E19","mainstem, ICH to LGR",2012-09-04 10:46:06,"ICH (adult)"
"92","384.1B796A4E19","mainstem, MCN to ICH or PRA",NA,"implicit"
"93","384.1B796A4E19","mainstem, ICH to LGR",2012-09-05 06:55:00,"ICH (adult)"
"94","384.1B796A4E19","mainstem, MCN to ICH or PRA",NA,"implicit"
"95","384.1B796A4E19","mainstem, ICH to LGR",2012-09-06 01:32:09,"ICH (adult)"
"96","384.1B796A4E19","mainstem, upstream of LGR",2012-09-10 10:02:12,"LGR (adult)"
"97","384.1B796A50A2","mainstem, BON to MCN",2012-07-23 03:35:59,"BON (adult)"
"98","384.1B796A50A2","mainstem, MCN to ICH or PRA",2012-09-19 00:47:08,"MCN (adult)"
"99","384.1B796A50A2","mainstem, ICH to LGR",2012-09-20 12:31:26,"ICH (adult)"
"100","384.1B796A50A2","mainstem, MCN to ICH or PRA",NA,"implicit"
"101","384.1B796A50A2","mainstem, ICH to LGR",2012-09-20 22:39:18,"ICH (adult)"
"102","384.1B796A50A2","mainstem, upstream of LGR",2012-09-26 00:45:54,"LGR (adult)"
"103","384.1B796A50A2","Salmon River",2013-03-14 14:03:10,"SAL_sites"
"104","384.1B796A5310","mainstem, BON to MCN",2012-07-26 02:39:36,"BON (adult)"
"105","384.1B796A5310","mainstem, MCN to ICH or PRA",2012-09-26 06:52:51,"MCN (adult)"
"106","384.1B796A5310","mainstem, ICH to LGR",2012-09-29 04:37:56,"ICH (adult)"
"107","384.1B796A5310","mainstem, upstream of LGR",2012-10-05 19:03:00,"LGR (adult)"
"108","384.1B796A5310","mainstem, ICH to LGR",NA,"implicit"
"109","384.1B796A5310","mainstem, upstream of LGR",2012-10-06 03:21:07,"LGR (adult)"
"110","384.1B796A55B3","mainstem, BON to MCN",2012-09-05 05:07:01,"BON (adult)"
"111","384.1B796A55B3","mainstem, MCN to ICH or PRA",2012-09-11 09:47:19,"MCN (adult)"
"112","384.1B796A55B3","mainstem, ICH to LGR",2012-09-13 05:23:59,"ICH (adult)"
"113","384.1B796A55B3","mainstem, upstream of LGR",2012-09-19 08:41:10,"LGR (adult)"
"114","384.1B796A55B3","Salmon River",2013-03-01 13:02:31,"SAL_sites"
"115","384.1B796A5993","mainstem, BON to MCN",2012-08-04 09:23:37,"BON (adult)"
"116","384.1B796A5993","mainstem, mouth to BON",NA,"implicit"
"117","384.1B796A5993","mainstem, BON to MCN",2012-08-05 01:19:00,"BON (adult)"
"118","384.1B796A5993","mainstem, MCN to ICH or PRA",2012-09-09 05:55:20,"MCN (adult)"
"119","384.1B796A5993","mainstem, ICH to LGR",2012-09-11 06:01:00,"ICH (adult)"
"120","384.1B796A5993","mainstem, upstream of LGR",2012-09-15 07:57:03,"LGR (adult)"
"121","384.1B796A5DA8","mainstem, BON to MCN",2012-08-13 11:12:42,"BON (adult)"
"122","384.1B796A5DA8","mainstem, mouth to BON",NA,"implicit"
"123","384.1B796A5DA8","mainstem, BON to MCN",2012-08-14 02:03:15,"BON (adult)"
"124","384.1B796A5DA8","mainstem, MCN to ICH or PRA",2012-09-24 02:13:32,"MCN (adult)"
"125","384.1B796A5DA8","mainstem, ICH to LGR",2012-09-26 02:28:36,"ICH (adult)"
"126","384.1B796A5DA8","mainstem, upstream of LGR",2012-10-03 02:17:50,"LGR (adult)"
"127","384.1B796A5DA8","Salmon River",2013-03-31 05:46:58,"SAL_sites"
"128","384.1B796A624C","mainstem, BON to MCN",2012-09-02 11:16:46,"BON (adult)"
"129","384.1B796A624C","mainstem, MCN to ICH or PRA",2012-09-10 11:39:08,"MCN (adult)"
"130","384.1B796A624C","mainstem, ICH to LGR",2012-09-13 09:11:19,"ICH (adult)"
"131","384.1B796A624C","mainstem, upstream of LGR",2012-09-20 07:56:38,"LGR (adult)"
"132","384.1B796A624C","Salmon River",2013-02-14 11:06:06,"SAL_sites"
"134","384.1B796A63E1","mainstem, BON to MCN",2012-07-28 09:57:16,"BON (adult)"
"135","384.1B796A63E1","mainstem, MCN to ICH or PRA",2012-09-06 09:18:45,"MCN (adult)"
"136","384.1B796A63E1","mainstem, ICH to LGR",2012-09-10 00:56:56,"ICH (adult)"
"137","384.1B796A63E1","mainstem, upstream of LGR",2012-09-21 03:43:17,"LGR (adult)"
"138","384.1B796A6553","mainstem, BON to MCN",2013-08-15 09:47:18,"BON (adult)"
"140","384.1B796A6553","mainstem, MCN to ICH or PRA",2013-09-03 04:08:16,"MCN (adult)"
"141","384.1B796A6553","mainstem, ICH to LGR",2013-09-05 02:23:33,"ICH (adult)"
"142","384.1B796A6553","mainstem, upstream of LGR",2013-09-18 01:58:22,"LGR (adult)"
"143","384.1B796A6798","mainstem, BON to MCN",2012-08-04 04:50:01,"BON (adult)"
"144","384.1B796A6798","mainstem, mouth to BON",NA,"implicit"
"145","384.1B796A6798","mainstem, BON to MCN",2012-10-15 09:27:13,"BON (adult)"
"146","384.1B796A6798","mainstem, mouth to BON",NA,"implicit"
"147","384.1B796A6798","mainstem, BON to MCN",2012-10-15 23:26:30,"BON (adult)"
"148","384.1B796A6798","mainstem, MCN to ICH or PRA",2012-10-22 06:33:03,"MCN (adult)"
"149","384.1B796A6798","mainstem, ICH to LGR",2012-10-26 05:01:29,"ICH (adult)"
"150","384.1B796A6798","mainstem, upstream of LGR",2012-11-01 05:03:53,"LGR (adult)"
"151","384.1B796A694A","mainstem, BON to MCN",2013-09-20 01:54:31,"BON (adult)"
"152","384.1B796A6BF2","mainstem, BON to MCN",2012-09-19 06:32:33,"BON (adult)"
"153","384.1B796A6BF2","mainstem, MCN to ICH or PRA",2012-09-25 11:46:30,"MCN (adult)"
"154","384.1B796A6BF2","mainstem, ICH to LGR",2012-09-27 06:06:52,"ICH (adult)"
"155","384.1B796A6BF2","mainstem, upstream of LGR",2012-10-03 01:23:23,"LGR (adult)"
"156","384.1B796A6F81","mainstem, BON to MCN",2014-08-06 05:14:37,"BON (adult)"
"158","384.1B796A6F81","mainstem, MCN to ICH or PRA",2014-10-09 09:48:43,"MCN (adult)"
"159","384.1B796A6F81","mainstem, ICH to LGR",2014-10-10 21:14:33,"ICH (adult)"
"162","384.1B796A6F81","mainstem, upstream of LGR",2014-10-15 01:36:56,"LGR (adult)"
"163","384.1B796A6F81","Salmon River",2015-02-20 18:15:28,"SAL_sites"
"167","384.1B796A7202","mainstem, BON to MCN",2012-09-10 03:55:19,"BON (adult)"
"168","384.1B796A7202","mainstem, MCN to ICH or PRA",2012-09-19 09:44:53,"MCN (adult)"
"169","384.1B796A7202","mainstem, ICH to LGR",2012-09-22 00:40:54,"ICH (adult)"
"170","384.1B796A7202","mainstem, upstream of LGR",2012-09-29 01:21:36,"LGR (adult)"
"171","384.1B796A7202","Salmon River",2013-03-28 10:11:49,"SAL_sites"
"172","384.1B796A7465","mainstem, BON to MCN",2013-07-29 07:09:25,"BON (adult)"
"174","384.1B796A7465","Deschutes River",2013-08-07 12:36:03,"DES_sites"
"177","384.1B796A7465","mainstem, BON to MCN",2013-09-16 08:49:31,"BON (adult)"
"179","384.1B796A7465","mainstem, MCN to ICH or PRA",2013-09-23 00:17:07,"MCN (adult)"
"180","384.1B796A7465","mainstem, ICH to LGR",2013-09-24 23:08:25,"ICH (adult)"
"181","384.1B796A7465","mainstem, upstream of LGR",2013-10-02 00:12:44,"LGR (adult)"
"182","384.1B796A7465","Salmon River",2014-03-29 17:59:50,"SAL_sites"
"184","384.1B796A7700","mainstem, BON to MCN",2013-08-26 00:00:28,"BON (adult)"
"185","384.1B796A7A39","mainstem, BON to MCN",2012-08-23 07:45:00,"BON (adult)"
"186","384.1B796A7A39","mainstem, MCN to ICH or PRA",2012-09-14 08:21:14,"MCN (adult)"
"187","384.1B796A7A39","mainstem, ICH to LGR",2012-09-16 06:21:53,"ICH (adult)"
"188","384.1B796A7A39","mainstem, upstream of LGR",2012-09-26 23:12:34,"LGR (adult)"
"189","384.1B796A8089","mainstem, BON to MCN",2012-08-04 08:13:30,"BON (adult)"
"190","384.1B796A8089","mainstem, MCN to ICH or PRA",2012-08-14 01:17:20,"MCN (adult)"
"191","384.1B796A8089","mainstem, ICH to LGR",2012-09-04 09:08:21,"ICH (adult)"
"192","384.1B796A8089","mainstem, upstream of LGR",2012-09-11 07:58:40,"LGR (adult)"
"193","384.1B796A8089","Salmon River",2013-04-03 06:46:42,"SAL_sites"
"194","384.1B796A8E5B","mainstem, BON to MCN",2012-09-24 12:14:30,"BON (adult)"
"195","384.1B796A9424","mainstem, BON to MCN",2012-08-26 06:08:30,"BON (adult)"
"196","384.1B796B7FA3","mainstem, BON to MCN",2012-09-26 10:15:16,"BON (adult)"
"197","384.1B796B7FA3","mainstem, MCN to ICH or PRA",2012-10-04 11:59:58,"MCN (adult)"
"198","384.1B796B7FA3","mainstem, BON to MCN",NA,"implicit"
"199","384.1B796B7FA3","mainstem, MCN to ICH or PRA",2012-10-04 19:37:17,"MCN (adult)"
"200","384.1B796B7FA3","mainstem, ICH to LGR",2012-10-12 01:46:49,"ICH (adult)"
"201","384.1B796B7FA3","mainstem, upstream of LGR",2012-10-16 13:06:14,"LGR (adult)"
"202","384.1B796B7FA3","Salmon River",2013-03-16 16:51:48,"SAL_sites"
"204","384.1B796D9305","mainstem, BON to MCN",2012-07-27 07:15:24,"BON (adult)"
"205","384.1B796D9305","mainstem, MCN to ICH or PRA",2012-09-19 00:26:33,"MCN (adult)"
"206","384.1B796D9305","mainstem, ICH to LGR",2012-09-20 09:02:59,"ICH (adult)"
"207","384.1B796D9305","mainstem, upstream of LGR",2012-09-26 23:01:56,"LGR (adult)"
"208","384.1B796D980A","mainstem, BON to MCN",2013-09-10 03:30:18,"BON (adult)"
"210","384.1B796D9A82","mainstem, BON to MCN",NA,"BON (adult)"
"211","384.1B796EECE9","mainstem, BON to MCN",2012-08-31 08:08:24,"BON (adult)"
"212","384.1B796EECE9","mainstem, MCN to ICH or PRA",2012-09-11 11:27:37,"MCN (adult)"
"213","384.1B796EECE9","mainstem, ICH to LGR",2012-09-14 03:07:15,"ICH (adult)"
"214","384.1B796EF845","mainstem, BON to MCN",2012-08-28 01:29:37,"BON (adult)"
"215","384.1B796EF845","mainstem, MCN to ICH or PRA",2012-09-03 03:35:59,"MCN (adult)"
"216","384.1B796EF845","mainstem, ICH to LGR",2012-09-05 09:19:46,"ICH (adult)"
"217","384.1B796EF845","mainstem, upstream of LGR",2012-09-11 06:07:50,"LGR (adult)"
"218","384.1B796EF845","Salmon River",2013-03-26 19:00:00,"SAL_sites"
"219","384.1B7972A49E","mainstem, BON to MCN",2016-07-31 07:37:13,"BON (adult)"
"221","384.1B7972A49E","mainstem, MCN to ICH or PRA",2016-10-18 05:28:19,"MCN (adult)"
"...222","384.1B7972A49E","mainstem, BON to MCN",NA,"implicit"
"223","384.1B7972A49E","John Day River",2017-03-07 01:03:15,"JDR_sites"
"233","384.36F2B32437","mainstem, BON to MCN",2016-09-02 12:24:06,"BON (adult)"
"234","384.36F2B32437","mainstem, mouth to BON",NA,"implicit"
"235","384.36F2B32437","mainstem, BON to MCN",2016-09-02 21:50:30,"BON (adult)"
"237","384.36F2B32437","mainstem, MCN to ICH or PRA",2016-10-08 03:07:16,"MCN (adult)"
"238","384.36F2B32437","mainstem, ICH to LGR",2016-10-09 09:30:38,"ICH (adult)"
"241","384.36F2B32437","mainstem, upstream of LGR",2016-10-14 07:22:17,"LGR (adult)"
"242","384.36F2B32437","Clearwater River",2017-02-18 06:12:02,"CLE_sites"
"244","384.36F2B34FEC","mainstem, BON to MCN",2014-09-07 03:43:41,"BON (adult)"
"246","384.36F2B34FEC","mainstem, MCN to ICH or PRA",2014-09-11 23:20:24,"MCN (adult)"
"247","384.36F2B34FEC","mainstem, PRA to RIS",2014-09-16 01:34:37,"PRA (adult)"
"248","384.36F2B34FEC","mainstem, RIS to RRE",2014-09-19 03:19:26,"RIS (adult)"
"249","384.36F2B34FEC","mainstem, RRE to WEL",2014-09-19 23:40:15,"RRE (adult)"
"250","384.36F2B34FEC","mainstem, upstream of WEL",2014-09-21 12:37:24,"WEL (adult)"
"251","384.36F2B34FEC","Methow River",2014-09-22 04:39:44,"MET_sites"
"252","384.36F2B3535E","mainstem, BON to MCN",2014-09-04 11:25:05,"BON (adult)"
"253","384.36F2B3535E","mainstem, mouth to BON",NA,"implicit"
"254","384.36F2B3535E","mainstem, BON to MCN",2014-09-04 23:04:55,"BON (adult)"
"256","384.36F2B3535E","mainstem, MCN to ICH or PRA",2014-09-10 09:53:50,"MCN (adult)"
"257","384.36F2B3535E","mainstem, PRA to RIS",2014-09-16 02:44:10,"PRA (adult)"
"258","384.36F2B3535E","mainstem, RIS to RRE",2014-09-19 05:35:45,"RIS (adult)"
"259","384.36F2B3535E","mainstem, RRE to WEL",2014-09-20 04:16:16,"RRE (adult)"
"260","384.36F2B3535E","mainstem, upstream of WEL",2014-09-21 14:26:50,"WEL (adult)"
"261","384.36F2B3535E","Methow River",2014-09-22 12:07:52,"MET_sites"
"262","384.36F2B35A3B","mainstem, BON to MCN",2015-08-01 08:02:29,"BON (adult)"
"263","384.36F2B364DB","mainstem, BON to MCN",2015-08-26 07:25:27,"BON (adult)"
"265","384.36F2B364DB","mainstem, MCN to ICH or PRA",2015-09-01 08:45:21,"MCN (adult)"
"266","384.36F2B364DB","mainstem, PRA to RIS",2015-09-06 08:01:57,"PRA (adult)"
"267","384.36F2B364DB","mainstem, RIS to RRE",2015-09-11 04:08:47,"RIS (adult)"
"268","384.36F2B364DB","mainstem, RRE to WEL",2015-09-12 00:04:13,"RRE (adult)"
"269","384.36F2B364DB","mainstem, upstream of WEL",2015-09-16 09:51:30,"WEL (adult)"
"270","384.36F2B364DB","Methow River",2015-09-20 02:58:24,"MET_sites"
"271","384.36F2B36BAC","mainstem, BON to MCN",2015-08-27 00:09:55,"BON (adult)"
"273","384.36F2B36BAC","mainstem, MCN to ICH or PRA",2015-09-13 22:32:53,"MCN (adult)"
"274","384.36F2B36BAC","mainstem, PRA to RIS",2015-09-19 11:58:42,"PRA (adult)"
"275","384.36F2B36BAC","mainstem, RIS to RRE",2015-09-27 00:01:01,"RIS (adult)"
"276","384.36F2B36BAC","mainstem, RRE to WEL",2015-09-28 05:44:42,"RRE (adult)"
"277","384.36F2B36BAC","mainstem, upstream of WEL",2015-09-30 10:30:43,"WEL (adult)"
"278","384.36F2B36BAC","Methow River",2015-10-08 08:40:37,"MET_sites"
"290","384.36F2B4855E","mainstem, BON to MCN",2015-08-27 03:28:20,"BON (adult)"
"292","384.36F2B4855E","mainstem, MCN to ICH or PRA",2015-09-13 02:34:25,"MCN (adult)"
"293","384.36F2B4855E","mainstem, PRA to RIS",2015-09-18 08:34:27,"PRA (adult)"
"294","384.36F2B4855E","mainstem, RIS to RRE",2015-09-22 00:51:02,"RIS (adult)"
"295","384.36F2B4855E","mainstem, RRE to WEL",2015-09-23 03:00:17,"RRE (adult)"
"296","384.36F2B4855E","mainstem, upstream of WEL",2015-09-25 10:02:25,"WEL (adult)"
"297","384.36F2B4855E","Methow River",2016-03-09 03:40:40,"MET_sites"
"299","384.36F2B48917","mainstem, BON to MCN",2015-08-28 00:02:34,"BON (adult)"
"301","384.36F2B48917","mainstem, MCN to ICH or PRA",2015-09-04 02:52:48,"MCN (adult)"
"302","384.36F2B48917","mainstem, PRA to RIS",2015-09-10 11:20:45,"PRA (adult)"
"303","384.36F2B48917","mainstem, RIS to RRE",2015-09-20 15:35:50,"RIS (adult)"
"304","384.36F2B48917","mainstem, RRE to WEL",2015-09-22 08:44:27,"RRE (adult)"
"305","384.36F2B48917","mainstem, upstream of WEL",2015-09-25 11:09:53,"WEL (adult)"
"306","384.36F2B48917","Methow River",2015-10-21 23:39:28,"MET_sites"
"309","384.36F2B48B05","mainstem, BON to MCN",2014-08-13 03:02:45,"BON (adult)"
"311","384.36F2B48B05","mainstem, MCN to ICH or PRA",2014-08-24 08:46:16,"MCN (adult)"
"312","384.36F2B48B05","mainstem, PRA to RIS",2014-08-30 09:59:23,"PRA (adult)"
"313","384.36F2B48DEA","mainstem, BON to MCN",2016-09-09 08:21:11,"BON (adult)"
"315","384.36F2B49138","mainstem, BON to MCN",2014-08-04 01:27:46,"BON (adult)"
"317","384.36F2B49138","Deschutes River",2014-08-11 06:15:04,"DES_sites"
"...318","384.36F2B49138","mainstem, BON to MCN",NA,"implicit"
"327","384.36F2B49138","mainstem, MCN to ICH or PRA",2014-09-01 11:31:43,"MCN (adult)"
"328","384.36F2B49138","mainstem, PRA to RIS",2014-09-06 12:57:40,"PRA (adult)"
"329","384.36F2B49138","mainstem, RIS to RRE",2014-09-11 04:45:52,"RIS (adult)"
"330","384.36F2B49138","mainstem, RRE to WEL",2014-09-13 01:59:50,"RRE (adult)"
"331","384.36F2B49138","mainstem, upstream of WEL",2014-09-15 01:26:58,"WEL (adult)"
"332","384.36F2B49138","Methow River",2015-03-02 04:00:00,"MET_sites"
"334","384.36F2B495D7","mainstem, BON to MCN",2015-09-08 01:13:14,"BON (adult)"
"336","384.36F2B495D7","mainstem, MCN to ICH or PRA",2015-09-14 06:47:12,"MCN (adult)"
"337","384.36F2B495D7","mainstem, PRA to RIS",2015-09-20 23:22:59,"PRA (adult)"
"338","384.36F2B495D7","mainstem, RIS to RRE",2015-09-25 09:12:50,"RIS (adult)"
"339","384.36F2B495D7","mainstem, RRE to WEL",2015-09-27 06:44:10,"RRE (adult)"
"340","384.36F2B495D7","mainstem, upstream of WEL",2015-10-01 09:22:16,"WEL (adult)"
"341","384.36F2B495D7","Methow River",2015-10-15 22:46:49,"MET_sites"
"...342","384.36F2B495D7","mainstem, upstream of WEL",NA,"implicit"
"...343","384.36F2B495D7","mainstem, RRE to WEL",NA,"implicit"
"346","384.36F2B495D7","mainstem, RIS to RRE",2016-05-06 03:49:49,"RRE_fallback_arrays"
"...347","384.36F2B495D7","mainstem, PRA to RIS",NA,"implicit"
"...348","384.36F2B495D7","mainstem, MCN to ICH or PRA",NA,"implicit"
"349","384.36F2B495D7","mainstem, BON to MCN",2016-05-13 15:01:09,"MCN_fallback_arrays"
"350","384.36F2B49C31","mainstem, BON to MCN",2014-07-07 11:24:54,"BON (adult)"
"352","384.36F2B49C31","mainstem, MCN to ICH or PRA",2014-07-18 02:09:42,"MCN (adult)"
"353","384.36F2B49C31","mainstem, PRA to RIS",2014-07-24 01:02:56,"PRA (adult)"
"...354","384.36F2B49C31","mainstem, RIS to RRE",NA,"implicit"
"355","384.36F2B49C31","mainstem, RRE to WEL",2014-08-01 10:31:49,"RRE (adult)"
"356","384.36F2B49C31","mainstem, upstream of WEL",2014-08-03 09:21:59,"WEL (adult)"
"357","384.36F2B4A316","mainstem, BON to MCN",2015-08-19 09:42:12,"BON (adult)"
"359","384.36F2B4A316","mainstem, MCN to ICH or PRA",2015-08-25 00:01:30,"MCN (adult)"
"360","384.36F2B4A316","mainstem, PRA to RIS",2015-08-30 01:34:55,"PRA (adult)"
"361","384.36F2B4A316","mainstem, RIS to RRE",2015-09-01 09:53:58,"RIS (adult)"
"362","384.36F2B4A316","mainstem, RRE to WEL",2015-09-02 07:27:35,"RRE (adult)"
"363","384.36F2B4A316","mainstem, upstream of WEL",2015-09-04 00:36:50,"WEL (adult)"
"364","384.36F2B4A316","Methow River",2015-09-09 22:10:45,"MET_sites"
"367","384.36F2B4D8D4","mainstem, BON to MCN",2015-08-05 08:40:58,"BON (adult)"
"369","384.36F2B4EBA1","mainstem, BON to MCN",2015-08-15 00:26:31,"BON (adult)"
"370","384.36F2B4EBA1","mainstem, mouth to BON",NA,"implicit"
"371","384.36F2B4EBA1","mainstem, BON to MCN",2015-08-15 07:18:40,"BON (adult)"
"375","384.36F2B4F550","mainstem, BON to MCN",2015-08-13 06:29:51,"BON (adult)"
"377","384.36F2B4F550","mainstem, MCN to ICH or PRA",2015-08-28 10:09:37,"MCN (adult)"
"378","384.36F2B4F550","mainstem, PRA to RIS",2015-09-04 08:46:32,"PRA (adult)"
"379","384.36F2B4F550","mainstem, RIS to RRE",2015-09-09 07:49:30,"RIS (adult)"
"380","384.36F2B4F550","mainstem, RRE to WEL",2015-09-11 06:31:07,"RRE (adult)"
"381","384.36F2B4F550","mainstem, upstream of WEL",2015-09-13 07:38:28,"WEL (adult)"
"382","384.36F2B50052","mainstem, BON to MCN",2015-08-17 11:18:09,"BON (adult)"
"384","384.36F2B50052","mainstem, MCN to ICH or PRA",2015-08-23 11:34:51,"MCN (adult)"
