"","event_site_name","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude"
"99","WSR - Warm Springs River PIT Array","Deschutes","Lower Deschutes",44.859752,-121.068348
"100","JOC - Joseph Creek ISA @ km 3","Lower Snake","Lower Grande Ronde",46.030237,-117.016408
"101","BHC - Bohannon Creek Lemhi R Basin","Salmon","Lemhi",45.112189,-113.746897
"102","LOOKGC - Lookingglass Creek","Lower Snake","Upper Grande Ronde",45.757199,-117.960012
"103","COTNWC - Cottonwood Creek","Clearwater","Clearwater",46.404878,-116.632417
"104","WR1 - Wallowa River at river km 14","Lower Snake","Wallowa",45.633679,-117.733757
"105","BCANF - Big Canyon Facility","Lower Snake","Wallowa",45.61904,-117.698633
"106","UGR - Upper Grande Ronde at rkm 155","Lower Snake","Upper Grande Ronde",45.59352,-117.903379
"107","LGRTAL - LGR - Release into the Tailrace within 0.5 km downstream of Dam","Lower Snake","Lower Snake-Tucannon",46.6605,-117.4283
"108","DRANOL - Drano Lake","Middle Columbia","Middle Columbia-Hood",45.712725,-121.635353
"109","MJ1 - Middle Fork John Day Array","John Day","Middle Fork John Day",44.741933,-118.851057
"110","TMF - Three Mile Falls Dam Combined","Middle Columbia","Umatilla",45.882018,-119.32442
"111","ENM - Middle Entiat River","Upper Columbia","Upper Columbia-Entiat",47.797049,-120.403073
"112","ENS - Upper Entiat River at rkm 35.7","Upper Columbia","Upper Columbia-Entiat",47.856847,-120.422479
"113","ENF - Upper Entiat River at rkm 40.6","Upper Columbia","Upper Columbia-Entiat",47.901735,-120.466191
"114","TUM - Tumwater Dam, Wenatchee River","Upper Columbia","Wenatchee",47.616653,-120.723184
"115","TUF - Tumwater Dam Adult Fishway","Upper Columbia","Wenatchee",47.616998,-120.722948
"116","UWE - Upper Wenatchee River","Upper Columbia","Wenatchee",47.796433,-120.663611
"117","WEJ - Wells Dam Bypass Bay Sample","Upper Columbia","Chief Joseph",47.946712,-119.866469
"118","LWE - Lower Wenatchee River","Upper Columbia","Wenatchee",47.464893,-120.350162
"119","CCW - Catherine Creek Ladder/Weir","Lower Snake","Upper Grande Ronde",45.190964,-117.828617
"120","WHS - Wildhorse Spring Creek","Upper Columbia","Okanogan",48.857063,-119.407315
"121","PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder","Upper Columbia","Upper Columbia-Priest Rapids",46.644339,-119.910442
"122","LRL - Lower Lochsa River Array Site","Clearwater","Lochsa",46.145727,-115.596497
"123","LRU - Lochsa River Upper Site","Clearwater","Lochsa",46.163821,-115.589663
"124","FISTRP - Fish Creek Trap","Clearwater","Lochsa",46.340115,-115.355127
"125","CATHEC - Catherine Creek","Lower Snake","Upper Grande Ronde",45.209666,-117.88785
"126","SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397)","Lower Snake","Hells Canyon",45.59521,-116.470141
"127","IR1 - Lower Imnaha River ISA @ km 7","Lower Snake","Imnaha",45.761052,-116.750231
"128","SALREF - East Fork Salmon River","Salmon","Upper Salmon",44.128783,-114.418674
"129","PRV - Walla Walla R at Pierce RV Prk","Middle Columbia","Walla Walla",46.068014,-118.825796
"130","BBT - Touchet River at Bolles Bridge","Middle Columbia","Walla Walla",46.2741,-118.220354
"131","IR2 - Lower Imnaha River ISA @ km 10","Lower Snake","Imnaha",45.742702,-116.764304
"132","MTR - Middle Tucannon River","Lower Snake","Lower Snake-Tucannon",46.505239,-118.016274
"133","LSHEEF - Little Sheep Facility","Lower Snake","Imnaha",45.477819,-116.930252
"134","BSC - Big Sheep Creek ISA at km 6","Lower Snake","Imnaha",45.506482,-116.850735
"135","PAT - Pattit Creek Instream Site","Middle Columbia","Walla Walla",46.327536,-117.974028
"136","LTR - Lower Tucannon River","Lower Snake","Lower Snake-Tucannon",46.544192,-118.162901
"137","PATAHC - Patah Creek - tributary to Tucannon River","Lower Snake","Lower Snake-Tucannon",46.472851,-117.545078
"138","HYC - Hayden Creek In-stream Array","Salmon","Lemhi",44.861654,-113.631937
"139","OXBO - Oxbow Hatchery (IDFG)","Middle Snake-Powder","Brownlee Reservoir",44.97254,-116.854655
"140","PCM - Pine Creek Mouth, Potlatch R.","Clearwater","Clearwater",46.630673,-116.596836
"141","HRM - Hood River Mouth","Middle Columbia","Middle Columbia-Hood",45.713986,-121.508462
"142","WALLOR - Wallowa River","Lower Snake","Wallowa",45.549218,-117.459059
"143","DBH - Buck Hollow Ck Deschutes Trib","Deschutes","Lower Deschutes",45.262308,-121.023275
"144","POTREF - East Fork Potlatch River","Clearwater","Clearwater",46.847724,-116.349116
"145","MTD - Mill Creek at The Dalles","Middle Columbia","Middle Columbia-Hood",45.595413,-121.204525
"146","CLWH - Clearwater Hatchery","Clearwater","Lower North Fork Clearwater",46.504699,-116.325927
"147","UTR - Upper Tucannon River","Lower Snake","Lower Snake-Tucannon",46.415922,-117.738342
"148","ACM - Asotin Creek near mouth","Lower Snake","Lower Snake-Asotin",46.341368,-117.055707
"149","ALPOWC - Alpowa Creek, lower Snake River","Lower Snake","Lower Snake-Tucannon",46.402354,-117.398266
"150","ASOTIC - Asotin Creek, Snake River above Clarkston, WA","Lower Snake","Lower Snake-Asotin",46.330643,-117.181953
"151","ACB - Asotin Cr. at Cloverland Brdg.","Lower Snake","Lower Snake-Asotin",46.325584,-117.108679
"152","JOSEPC - Joseph Creek, Grande Ronde River Basin","Lower Snake","Lower Grande Ronde",45.899793,-117.209152
"153","LRW - Lemhi River Weir","Salmon","Lemhi",44.86596,-113.624721
"154","NEALC - Neal Creek, tributary to Hood River (OR)","Middle Columbia","Middle Columbia-Hood",45.59497,-121.499429
"155","HAYDNC - Hayden Creek, Lemhi River Basin","Salmon","Lemhi",44.752766,-113.712983
"156","TUCR - Tucannon River","Lower Snake","Lower Snake-Tucannon",46.395717,-117.711201
"157","TFH - Tucannon Fish Hatchery","Lower Snake","Lower Snake-Tucannon",46.309627,-117.657161
"158","BIGBEC - Big Bear Creek, Potlatch River","Clearwater","Clearwater",46.730007,-116.621142
"159","CCA - Lower Charley Creek ISA","Lower Snake","Lower Snake-Asotin",46.288458,-117.282497
"160","LYFE - Lyons Ferry Hatchery","Lower Snake","Lower Snake",46.596918,-118.228727
"161","SUN - Sunnyside Instream Array","Yakima","Lower Yakima",46.496865,-120.442428
"162","MDR - McDonald Road Bridge","Middle Columbia","Walla Walla",46.04787,-118.5548
"163","ZEN - Secesh River at Zena Cr. Ranch","Salmon","South Fork Salmon",45.0333,-115.73302
"164","SFG - SF Salmon at Guard Station Br.","Salmon","South Fork Salmon",45.175659,-115.579712
"165","GEORGC - George Creek, Asotin Creek watershed","Lower Snake","Lower Snake-Asotin",46.192301,-117.198841
"166","IR3 - Upper Imnaha River ISA @ km 41","Lower Snake","Imnaha",45.489957,-116.804096
"167","LNR - Lower Naches River","Yakima","Naches",46.631484,-120.578716
"168","ESS - EFSF Salmon River at Parks Cr.","Salmon","South Fork Salmon",44.956205,-115.53315
"169","TRC - Trout Creek, Wind River","Middle Columbia","Middle Columbia-Hood",45.803735,-121.937104
"170","TC4 - Trout Creek at 43 Road Bridge","Middle Columbia","Middle Columbia-Hood",45.822305,-122.016555
"171","WIND2R - Wind River, Washington","Middle Columbia","Middle Columbia-Hood",45.840155,-121.942994
"172","WELLD1 - WEL - Release into the East Adult Fish Ladder","Upper Columbia","Chief Joseph",47.947302,-119.864549
"173","PRO - Prosser Diversion Dam, Yakima River","Yakima","Lower Yakima",46.212539,-119.772663
"174","TOP - Lower Toppenish Creek","Yakima","Lower Yakima",46.319264,-120.181823
"175","WRU - Upper Wind River (WA) rkm 30","Middle Columbia","Middle Columbia-Hood",45.863379,-121.967782
"176","HST - Touchet River at Harvey Shaw","Middle Columbia","Walla Walla",46.287439,-118.488939
"177","TOUCHR - Touchet River","Middle Columbia","Walla Walla",46.289755,-118.476573
"178","LOSTIW - Lostine River Weir","Lower Snake","Wallowa",45.543266,-117.4845
"179","TP2 - Toppenish Creek at Simcoe Ck","Yakima","Lower Yakima",46.378401,-120.622581
"180","GRAND1 - Grande Ronde River - mouth to Wallowa River (km 0-131)","Lower Snake","Lower Grande Ronde",45.980346,-117.389605
"181","SAT - Lower Satus Creek","Yakima","Lower Yakima",46.275188,-120.137698
"182","BGM - Burlingame Dam and Canal","Middle Columbia","Walla Walla",46.023149,-118.424443
"183","COC - Cow Creek ISA @ stream mouth","Lower Snake","Imnaha",45.76774,-116.744037
"184","FREEZC - Freezeout Creek - tributary to Imnaha River","Lower Snake","Imnaha",45.350411,-116.762169
"185","NFS - North Fork Salmon River","Salmon","Middle Salmon-Panther",45.408645,-113.992002
"186","15MILC - Fifteen Mile Creek, near The Dalles, Oregon","Middle Columbia","Middle Columbia-Hood",45.48169,-121.075606
"187","HS1 - Top of side channel near ENFH","Upper Columbia","Upper Columbia-Entiat",47.69844,-120.32123
"188","HS2 - Bottom side channel near ENFH","Upper Columbia","Upper Columbia-Entiat",47.697967,-120.32204
"189","HN1 - Top of Harrison side channel","Upper Columbia","Upper Columbia-Entiat",47.669771,-120.294569
"190","HN3 - Bottom Harrison Side Channel","Upper Columbia","Upper Columbia-Entiat",47.67061,-120.2899
"191","HN2 - Middle Harrison Side Channel","Upper Columbia","Upper Columbia-Entiat",47.67044,-120.2912
"192","DRY - Dryden Diversion Dam, Wenatchee River","Upper Columbia","Wenatchee",47.555383,-120.57352
"193","NAL - Lower Nason Creek","Upper Columbia","Wenatchee",47.802494,-120.713574
"194","NAU - Upper Nason Creek","Upper Columbia","Wenatchee",47.785981,-120.848546
"195","HOODR - Hood River","Middle Columbia","Middle Columbia-Hood",45.651225,-121.568384
"196","OMK - Omak Creek Instream Array","Upper Columbia","Okanogan",48.405363,-119.50143
"197","OMAKC - Omak Creek (tributary to Okanogan River)","Upper Columbia","Okanogan",48.353831,-119.288554
"198","MWC - Maxwell Canal","Middle Columbia","Umatilla",45.799487,-119.341847
"199","EFD - East Fork Diversion Fishway","Middle Columbia","Middle Columbia-Hood",45.509403,-121.56478
"200","FDD - Feed Diversion Dam","Middle Columbia","Umatilla",45.720695,-119.176819
"201","158 - Fifteenmile Ck at Eightmile Ck","Middle Columbia","Middle Columbia-Hood",45.606425,-121.08628
"202","HOODEF - East Fork Hood River","Middle Columbia","Middle Columbia-Hood",45.419619,-121.568095
"203","UMAR - Umatilla River","Middle Columbia","Umatilla",45.652406,-118.93596
"204","BIRCHC - Birch Creek, Umatilla River","Middle Columbia","Umatilla",45.575566,-118.807058
"205","NBA - Nursery Bridge Adult","Middle Columbia","Walla Walla",45.945399,-118.384451
"206","18N - 1890s Channel Methow River","Upper Columbia","Methow",48.373079,-120.12264
"207","ZSL - Zosel Dam Combined","Upper Columbia","Okanogan",48.933499,-119.419812
"208","ROZ - Roza Diversion Dam (Combined)","Yakima","Upper Yakima",46.749064,-120.465766
"209","ROZ - Roza Dam","Yakima","Upper Yakima",46.749064,-120.465766
"210","LOR - Lost River at rkm 0.81","Upper Columbia","Methow",48.655382,-120.505688
"211","EWC - Early Winters Creek rkm 0.36","Upper Columbia","Methow",48.599537,-120.442272
"212","SA1 - Salmon Creek Instream Array","Upper Columbia","Okanogan",48.378992,-119.590647
"213","GLC - Gold Creek, Methow River","Upper Columbia","Methow",48.188368,-120.097128
"214","HSL - Hancock Springs Lower","Upper Columbia","Methow",48.531648,-120.324021
"215","BEAV2C - Beaver Creek, Methow River","Upper Columbia","Methow",48.435095,-120.022301
"216","TWISPP - Twisp Acclimation Pond (WDFW)","Upper Columbia","Methow",48.380412,-120.244062
"217","WEL - Wells Dam","Upper Columbia","Chief Joseph",47.947302,-119.864549
"218","WELTAL - WEL - Release into the Tailrace within 0.5 km downstream of Dam","Upper Columbia","Chief Joseph",47.947302,-119.864549
"219","ORB - Oasis Road Bridge","Middle Columbia","Walla Walla",46.072797,-118.816734
"220","PWD - Powerdale Dam, Hood River","Middle Columbia","Middle Columbia-Hood",45.665,-121.523597
"221","HLX - Hemlock Dam Fish Ladder Exp.","Middle Columbia","Middle Columbia-Hood",45.802154,-121.932144
"222","CATHEW - Catherine Creek Weir","Lower Snake","Upper Grande Ronde",45.190964,-117.828617
"223","MRB - Methow River Basin","Upper Columbia","Methow",48.3148,-120.0883
"224","","","",NA,NA
"225","WELH - Wells Hatchery","Upper Columbia","Chief Joseph",47.946893,-119.870615
"226","CLC - Clear Creek near Kooskia NFH","Clearwater","Middle Fork Clearwater",46.132739,-115.950184
"227","PRD - Priest Rapids Dam","Upper Columbia","Upper Columbia-Priest Rapids",46.644339,-119.910442
"228","NMC - Ninemile Creek Instream Array","Upper Columbia","Okanogan",48.970542,-119.418187
"229","CHANDL - Chandler Canal (Prosser Dam) - headgate to diversion screen (km 000-002)","Yakima","Lower Yakima",46.214076,-119.765925
"230","RZF - Roza Dam Fishway","Yakima","Upper Yakima",46.74882,-120.465031
"231","PES - Peshastin Creek","Upper Columbia","Wenatchee",47.548491,-120.609887
"232","TAN - Taneum Creek Instream","Yakima","Upper Yakima",47.091769,-120.709136
"233","LMT - Lower Mainstem Teanaway River","Yakima","Upper Yakima",47.170655,-120.834851
"234","DWOR - Dworshak National Fish Hatchery","Clearwater","Clearwater",46.502001,-116.3235
"235","SFL - Shipherd Falls Ladder","Middle Columbia","Middle Columbia-Hood",45.737978,-121.805784
"236","WALLAR - Walla Walla River","Middle Columbia","Walla Walla",46.039827,-118.643627
"237","WSH - Warm Springs Hatchery","Deschutes","Lower Deschutes",44.860729,-121.245123
"238","WENATR - Wenatchee River","Upper Columbia","Wenatchee",47.584843,-120.677351
"239","KRS - SF Salmon River at Krassel Cr.","Salmon","South Fork Salmon",44.978472,-115.726994
"240","UM1 - Umatilla River USFWS","Middle Columbia","Umatilla",45.726045,-118.187571
"241","RAPH - Rapid River Hatchery","Salmon","Little Salmon",45.353681,-116.394575
"242","TROUTC - Trout Creek (trib. to Wind River, Wash.)","Middle Columbia","Middle Columbia-Hood",45.819871,-122.011317
"243","TAY - Big Creek at Taylor Ranch","Salmon","Lower Middle Fork Salmon",45.103947,-114.850008
"244","UM2 - Umatilla River Instream Array","Middle Columbia","Umatilla",45.712494,-118.345278
"245","TMJ - 3-Mile Falls Dam Smolt Bypass","Middle Columbia","Umatilla",45.882307,-119.325853
"246","TMA - 3-Mile Falls Dam Adult Fishway","Middle Columbia","Umatilla",45.882124,-119.323066
"247","LBEARC - Little Bear Creek, Potlatch River watershed","Clearwater","Clearwater",46.67401,-116.707271
"248","BIG2C - Big Creek, Middle Fork Salmon River","Salmon","Lower Middle Fork Salmon",45.157759,-115.12014
"249","MXWLCN - Maxwell Diversion Canal - headgate to diversion screen (km 000-002)","Middle Columbia","Umatilla",45.799623,-119.341995
"250","LMILIS - Little Miller Island, Columbia River","Middle Columbia","Middle Columbia-Hood",45.66185,-120.875171
"251","CHL - Lower Chiwawa River","Upper Columbia","Wenatchee",47.787548,-120.653864
"252","CHU - Upper Chiwawa River","Upper Columbia","Wenatchee",47.843795,-120.665435
"253","TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam","Upper Columbia","Wenatchee",47.616653,-120.723184
"254","HORS3C - Horse Creek, Imnaha River Basin","Lower Snake","Imnaha",45.549508,-116.727273
"255","TDLPI - Lone Pine Island and associated unnamed islands near The Dalles Dam","Middle Columbia","Middle Columbia-Hood",45.607805,-121.137127
"256","JUL - Potlatch River near Juliaetta","Clearwater","Clearwater",46.565323,-116.709318
"257","WW1 - Harris Bridge S F Walla Walla","Middle Columbia","Walla Walla",45.83676,-118.182603
"258","RPDTRP - Rapid River Smolt Trap","Salmon","Little Salmon",45.358413,-116.388038
"259","CRT - Crooked River Satellite Fac.","Clearwater","South Fork Clearwater",45.820931,-115.527782
"260","CROTRP - Crooked River Trap","Clearwater","South Fork Clearwater",45.821205,-115.527745
"261","CMP - Camp Creek at rkm 2 - Imnaha","Lower Snake","Imnaha",45.551819,-116.866939
"262","LGRRTR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Truck Transportation from the Facility","Lower Snake","Lower Snake-Tucannon",46.6605,-117.4283
"263","LGRRBR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Barge Transportation from the Facility","Lower Snake","Lower Snake-Tucannon",46.6605,-117.4283
"264","LAPC - Lapwai Creek","Clearwater","Clearwater",46.349988,-116.621868
"265","HLM - Potlatch River near Helmer","Clearwater","Clearwater",46.799006,-116.428412
"266","LBCWF - West Fork Little Bear Creek, Potlatch River watershed","Clearwater","Clearwater",46.738575,-116.77801
"267","TROU2C - Trout Creek, Deschutes River Watershed","Deschutes","Trout",44.776698,-120.762428
"268","BRIDGC - Bridge Creek, John Day River Basin","John Day","Lower John Day",44.592045,-120.20546
"269","FISHC - Fish Creek","Clearwater","Lochsa",46.328711,-115.48415
"270","DRYFBY - DRY - Release into the Forebay within 0.5 km upstream of Dam","Upper Columbia","Wenatchee",47.555383,-120.57352
"271","UCT - Upper Chiwawa Temporary Array","Upper Columbia","Wenatchee",47.936156,-120.755397
"272","CTWD3C - Cottonwood Creek, Grande Ronde River Basin","Lower Snake","Lower Grande Ronde",46.077183,-117.30984
"273","COPPEC - Coppei Creek - tributary to Touchet River","Middle Columbia","Walla Walla",46.238863,-118.139577
"274","TUCH - Tucannon River Hatchery","Lower Snake","Lower Snake-Tucannon",46.320108,-117.66284
"275","LWD - Lowden Diversion Dam","Middle Columbia","Walla Walla",46.043121,-118.525822
"276","LOOH - Lookingglass Hatchery","Lower Snake","Upper Grande Ronde",45.731538,-117.864406
"277","SWEETC - Sweetwater Creek, Lapwai Creek watershed","Clearwater","Clearwater",46.31885,-116.846653
"278","LBC - Libby Creek, Methow River","Upper Columbia","Methow",48.23025,-120.117672
"279","BVC - Beaver Creek, Methow River","Upper Columbia","Methow",48.358155,-120.040412
"280","JDARSF - South Fork John Day River","John Day","Upper John Day",44.158842,-119.512655
"281","GRAND2 - Grande Ronde River - Wallowa River to headwaters (km 131-325)","Lower Snake","Upper Grande Ronde",45.325636,-117.920526
"282","RCT - Roaring Creek Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.689304,-120.32198
"283","KEN - Kenney Creek In-stream Arrays","Salmon","Lemhi",45.02703,-113.65801
"284","BCP - Butcher Creek Acclimation Pond","Upper Columbia","Wenatchee",47.769549,-120.80235
