"","tag_code","event_site_name","start_time","end_time","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude"
"40","3D9.1BF1844A85","Bonneville Adult Fishways (combined)",2005-07-22 23:45:24,2005-07-23 00:48:17,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"41","3D9.1BF1929F02","Bonneville Adult Fishways (combined)",2006-08-11 22:34:33,2006-08-12 01:06:12,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"42","3D9.1BF1929F02","McNary Adult Fishways (combined)",2006-09-09 00:27:50,2006-09-09 01:39:45,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"43","3D9.1BF1929F02","McNary Adult Fishways (combined)",2006-09-26 23:18:54,2006-09-27 00:47:23,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"44","3D9.1BF1929F02","MCJ - McNary Dam Juvenile",2006-11-09 20:31:40,2006-11-09 20:31:50,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"45","3D9.1BF1929FF8","Bonneville Adult Fishways (combined)",2006-08-23 06:35:45,2006-08-23 07:34:10,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"46","3D9.1BF1929FF8","McNary Adult Fishways (combined)",2006-10-01 06:17:55,2006-10-01 07:33:52,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"47","3D9.1BF1929FF8","McNary Adult Fishways (combined)",2006-10-09 01:17:25,2006-10-09 02:26:40,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"48","3D9.1BF192A09F","Bonneville Adult Fishways (combined)",2006-08-17 22:49:43,2006-08-18 00:24:19,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"49","3D9.1BF192A09F","McNary Adult Fishways (combined)",2006-09-30 00:24:52,2006-09-30 01:27:41,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"50","3D9.1BF192A09F","MCJ - McNary Dam Juvenile",2006-11-11 07:20:55,2006-11-11 07:21:04,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"51","3D9.1BF192A09F","McNary Adult Fishways (combined)",2006-11-17 06:33:57,2006-11-17 07:53:52,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"52","3D9.1BF192A09F","ICH - Ice Harbor Dam (Combined)",2006-11-19 04:05:43,2006-11-19 04:11:11,"Lower Snake","Lower Snake",46.249527,-118.879964
"53","3D9.1BF192A2E2","Bonneville Adult Fishways (combined)",2006-07-26 04:00:36,2006-07-26 06:38:15,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"54","3D9.1BF192A2E2","McNary Adult Fishways (combined)",2006-11-09 07:44:24,2006-11-09 09:20:37,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"55","3D9.1BF192AC40","Bonneville Adult Fishways (combined)",2006-07-19 08:58:29,2006-07-19 09:06:03,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"56","3D9.1BF1943A21","Bonneville Adult Fishways (combined)",2007-08-11 02:23:12,2007-08-11 03:52:07,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"57","3D9.1BF1943A21","McNary Adult Fishways (combined)",2007-09-23 23:22:49,2007-09-24 00:10:21,"Middle Columbia","Middle Columbia-Lake Wallula",45.939935,-119.299824
"58","3D9.1BF1943A21","JD1 - John Day River, McDonald Ferry",2008-04-13 11:42:05,2008-04-13 11:42:24,"John Day","Lower John Day",45.59574,-120.410928
"59","3D9.1BF1957BBD","Bonneville Adult Fishways (combined)",2007-08-01 01:39:30,2007-08-01 04:46:03,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"60","3D9.1BF1957BBD","JD1 - John Day River, McDonald Ferry",2007-11-19 19:07:35,2007-11-19 19:08:22,"John Day","Lower John Day",45.59574,-120.410928
"61","3D9.1BF19594C6","Bonneville Adult Fishways (combined)",2008-08-26 00:44:39,2008-08-26 00:54:11,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"62","3D9.1BF19594C6","McNary Adult Fishways (combined)",2008-09-23 04:29:22,2008-09-23 05:55:47,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"63","3D9.1BF19594C6","BCC - BON PH2 Corner Collector",2009-05-08 04:25:13,2009-05-08 04:25:13,"Lower Columbia","Lower Columbia-Sandy",45.64814,-121.942544
"64","3D9.1BF1989388","Bonneville Adult Fishways (combined)",2007-07-21 18:55:14,2007-07-21 21:55:50,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"65","3D9.1BF1989388","McNary Adult Fishways (combined)",2007-10-24 02:49:22,2007-10-24 04:14:05,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"66","3D9.1BF1989388","McNary Adult Fishways (combined)",2007-10-28 06:46:39,2007-10-28 08:26:33,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"67","3D9.1BF1989388","JD1 - John Day River, McDonald Ferry",2008-03-17 22:21:54,2008-03-17 22:22:49,"John Day","Lower John Day",45.59574,-120.410928
"68","3D9.1BF19E70E6","Bonneville Adult Fishways (combined)",2007-08-18 02:08:10,2007-08-18 03:55:20,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"69","3D9.1BF19E70E6","McNary Adult Fishways (combined)",2007-09-18 02:08:21,2007-09-18 03:33:37,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"70","3D9.1BF19E70E6","McNary Adult Fishways (combined)",2007-09-30 03:42:31,2007-09-30 05:59:02,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"71","3D9.1BF19E70E6","JD1 - John Day River, McDonald Ferry",2008-02-18 08:41:06,2008-02-18 08:42:01,"John Day","Lower John Day",45.59574,-120.410928
"72","3D9.1BF19E834D","Bonneville Adult Fishways (combined)",2007-08-05 23:38:01,2007-08-06 01:04:36,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"73","3D9.1BF19E8ABB","Bonneville Adult Fishways (combined)",2007-08-02 00:09:39,2007-08-02 04:43:18,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"74","3D9.1BF19E8ABB","McNary Adult Fishways (combined)",2007-08-08 22:43:57,2007-08-08 22:44:05,"Middle Columbia","Middle Columbia-Lake Wallula",45.939935,-119.299824
"75","3D9.1BF19E8ABB","McNary Adult Fishways (combined)",2007-09-05 06:55:41,2007-09-05 09:52:59,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"76","3D9.1BF19E8ABB","PRA - Priest Rapids Adult",2007-09-26 03:26:35,2007-09-26 03:29:09,"Upper Columbia","Upper Columbia-Priest Rapids",46.644339,-119.910442
"77","3D9.1BF19E8ABB","RIA - Rock Island Adult",2007-10-04 00:55:20,2007-10-04 00:55:20,"Upper Columbia","Upper Columbia-Entiat",47.343278,-120.0933
"78","3D9.1BF19E909E","Bonneville Adult Fishways (combined)",2007-08-01 00:43:12,2007-08-01 02:09:21,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"79","3D9.1BF19E909E","McNary Adult Fishways (combined)",2007-09-24 05:10:55,2007-09-24 06:16:24,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"80","3D9.1BF19E909E","JDJ - John Day Dam Juvenile",2008-05-25 14:27:10,2008-05-25 14:28:29,"Middle Columbia","Middle Columbia-Hood",45.710014,-120.692581
"81","3D9.1BF19E9F17","Bonneville Adult Fishways (combined)",2008-07-11 10:54:36,2008-07-11 11:09:19,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"82","3D9.1BF19E9F17","Bonneville Adult Fishways (combined)",2008-07-11 21:44:05,2008-07-11 21:47:13,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"83","3D9.1BF19E9F17","McNary Adult Fishways (combined)",2008-07-28 07:04:02,2008-07-28 09:04:09,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"84","3D9.1BF19E9F17","ICH - Ice Harbor Dam (Combined)",2008-08-01 09:47:04,2008-08-01 09:49:12,"Lower Snake","Lower Snake",46.249527,-118.879964
"85","3D9.1BF19E9F17","Lower Granite Dam Adult Fishways (combined)",2008-09-23 03:34:45,2008-09-23 05:24:59,"Lower Snake","Lower Snake-Tucannon",46.65776,-117.433225
"86","3D9.1BF19EA50B","Bonneville Adult Fishways (combined)",2006-07-07 01:03:25,2006-07-07 02:44:10,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"87","3D9.1BF19EA50B","McNary Adult Fishways (combined)",2006-09-25 23:18:07,2006-09-26 00:51:07,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"88","3D9.1BF19EA50B","MCJ - McNary Dam Juvenile",2006-09-27 20:34:33,2006-09-27 20:34:43,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"89","3D9.1BF19EA50B","McNary Adult Fishways (combined)",2006-09-28 01:27:30,2006-09-28 03:02:57,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"90","3D9.1BF19EAD30","Bonneville Adult Fishways (combined)",2007-08-02 01:48:44,2007-08-02 02:57:01,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"91","3D9.1BF19EAD30","McNary Adult Fishways (combined)",2007-08-18 03:07:00,2007-08-18 04:37:28,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"92","3D9.1BF19EAD30","McNary Adult Fishways (combined)",2007-09-03 01:38:20,2007-09-03 02:54:38,"Middle Columbia","Middle Columbia-Lake Wallula",45.939935,-119.299824
"93","3D9.1BF19EAD30","JD1 - John Day River, McDonald Ferry",2008-02-11 01:27:10,2008-02-11 01:27:44,"John Day","Lower John Day",45.59574,-120.410928
"94","3D9.1BF19EB457","Bonneville Adult Fishways (combined)",2006-07-11 08:13:54,2006-07-11 08:26:19,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"95","3D9.1BF19EB457","Bonneville Adult Fishways (combined)",2006-07-11 22:49:22,2006-07-11 23:03:30,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"96","3D9.1BF19FA3B1","Bonneville Adult Fishways (combined)",2006-07-22 00:44:28,2006-07-22 02:24:10,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"97","3D9.1BF19FA3B1","McNary Adult Fishways (combined)",2006-07-30 05:40:41,2006-07-30 06:34:09,"Middle Columbia","Middle Columbia-Lake Wallula",45.939935,-119.299824
"98","3D9.1BF19FA3B1","McNary Adult Fishways (combined)",2006-08-06 02:28:00,2006-08-06 02:28:04,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"99","3D9.1BF19FA3B1","McNary Adult Fishways (combined)",2006-08-10 05:12:25,2006-08-10 05:12:30,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"100","3D9.1BF1A21585","Bonneville Adult Fishways (combined)",2006-08-18 04:58:39,2006-08-18 05:39:08,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"101","3D9.1BF1A21585","McNary Adult Fishways (combined)",2006-09-11 04:27:24,2006-09-11 06:01:06,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"102","3D9.1BF1A22BBA","Bonneville Adult Fishways (combined)",2005-08-05 03:47:34,2005-08-05 03:52:46,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"103","3D9.1BF1A22BBA","McNary Adult Fishways (combined)",2005-10-10 06:04:02,2005-10-10 07:25:04,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"104","3D9.1BF1A22EFA","Bonneville Adult Fishways (combined)",2006-08-10 01:30:25,2006-08-10 04:15:58,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"105","3D9.1BF1A22EFA","McNary Adult Fishways (combined)",2006-09-21 05:01:09,2006-09-21 05:54:36,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"106","3D9.1BF1A22EFA","ICH - Ice Harbor Dam (Combined)",2006-10-08 03:14:50,2006-10-08 03:20:58,"Lower Snake","Lower Snake",46.249527,-118.879964
"107","3D9.1BF1A22EFA","ICH - Ice Harbor Dam (Combined)",2006-10-11 16:06:54,2006-10-11 16:06:59,"Lower Snake","Lower Snake",46.249527,-118.879964
"108","3D9.1BF1A22EFA","MCJ - McNary Dam Juvenile",2006-11-02 08:18:20,2006-11-02 08:18:28,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"109","3D9.1BF1A22EFA","McNary Adult Fishways (combined)",2006-11-10 07:14:59,2006-11-10 07:36:40,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"110","3D9.1BF1A22EFA","McNary Adult Fishways (combined)",2006-11-10 22:55:58,2006-11-10 23:04:33,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"111","3D9.1BF1A22EFA","MCJ - McNary Dam Juvenile",2006-11-18 06:03:05,2006-11-18 06:03:16,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"112","3D9.1BF1A22EFA","TMF - Three Mile Falls Dam Combined",2007-01-08 04:00:38,2007-01-08 04:00:38,"Middle Columbia","Umatilla",45.882018,-119.32442
"113","3D9.1BF1A22EFA","MWC - Maxwell Canal",2007-05-02 12:29:58,2007-05-02 17:14:26,"Middle Columbia","Umatilla",45.799487,-119.341847
"114","3D9.1BF1A22EFA","TMF - Three Mile Falls Dam Combined",2007-05-07 16:58:13,2007-05-07 16:58:13,"Middle Columbia","Umatilla",45.882018,-119.32442
"115","3D9.1BF1A22EFA","BCC - BON PH2 Corner Collector",2007-05-12 02:22:45,2007-05-12 02:22:45,"Lower Columbia","Lower Columbia-Sandy",45.64814,-121.942544
"116","3D9.1BF1A28081","Bonneville Adult Fishways (combined)",2006-08-22 10:08:12,2006-08-22 10:27:09,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"117","3D9.1BF1A28081","Bonneville Adult Fishways (combined)",2006-08-23 00:46:44,2006-08-23 01:00:02,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"118","3D9.1BF1A2810B","Bonneville Adult Fishways (combined)",2005-07-26 00:01:16,2005-07-26 00:11:15,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"119","3D9.1BF1A291AF","Bonneville Adult Fishways (combined)",2006-07-13 10:22:11,2006-07-13 11:43:45,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"120","3D9.1BF1A291AF","McNary Adult Fishways (combined)",2006-07-19 08:22:33,2006-07-19 09:36:04,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"121","3D9.1BF1A291AF","McNary Adult Fishways (combined)",2006-08-11 22:32:53,2006-08-12 00:10:30,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"122","3D9.1BF1A291AF","MCJ - McNary Dam Juvenile",2006-09-15 05:22:23,2006-09-15 05:22:36,"Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"123","3D9.1BF1A291AF","McNary Adult Fishways (combined)",2006-09-15 07:25:58,2006-09-15 12:09:37,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"124","3D9.1BF1A2B736","Bonneville Adult Fishways (combined)",2006-07-11 02:55:39,2006-07-11 04:20:33,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"125","3D9.1BF1A2B736","McNary Adult Fishways (combined)",2006-07-22 05:17:52,2006-07-22 06:20:20,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"126","3D9.1BF1A2B736","ICH - Ice Harbor Dam (Combined)",2006-10-07 07:40:16,2006-10-07 07:44:38,"Lower Snake","Lower Snake",46.249527,-118.879964
"127","3D9.1BF1A2C34D","Bonneville Adult Fishways (combined)",2006-08-04 07:47:42,2006-08-04 10:24:53,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"128","3D9.1BF1A2C34D","B2J - Bonneville PH2 Juvenile",2006-09-26 12:55:47,2006-09-26 12:55:57,"Lower Columbia","Lower Columbia-Sandy",45.636816,-121.9653
"129","3D9.1BF1A2D61E","Bonneville Adult Fishways (combined)",2005-07-10 01:07:47,2005-07-10 03:09:56,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"130","3D9.1BF1A3361E","Bonneville Adult Fishways (combined)",2006-08-03 00:08:18,2006-08-03 02:11:09,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"131","3D9.1BF1A3361E","McNary Adult Fishways (combined)",2006-11-10 23:22:34,2006-11-11 00:49:42,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"132","3D9.1BF1A3361E","ICH - Ice Harbor Dam (Combined)",2006-11-14 10:31:39,2006-11-14 10:35:20,"Lower Snake","Lower Snake",46.249527,-118.879964
"133","3D9.1BF1A3361E","LTR - Lower Tucannon River",2006-11-29 05:21:34,2006-11-29 05:21:34,"Lower Snake","Lower Snake-Tucannon",46.544192,-118.162901
"134","3D9.1BF1A3361E","LTR - Lower Tucannon River",2007-01-05 23:32:16,2007-01-05 23:32:25,"Lower Snake","Lower Snake-Tucannon",46.544192,-118.162901
"135","3D9.1BF1A3361E","LTR - Lower Tucannon River",2007-01-06 22:54:12,2007-01-06 22:54:12,"Lower Snake","Lower Snake-Tucannon",46.544192,-118.162901
"136","3D9.1BF1A34ECF","Bonneville Adult Fishways (combined)",2005-06-30 22:43:17,2005-06-30 22:51:51,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"137","3D9.1BF1A34ECF","McNary Adult Fishways (combined)",2005-07-06 02:54:37,2005-07-06 04:23:31,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"138","3D9.1BF1A34ECF","ICH - Ice Harbor Dam (Combined)",2005-07-08 00:02:11,2005-07-08 00:03:11,"Lower Snake","Lower Snake",46.249527,-118.879964
"139","3D9.1BF1A34ECF","Lower Granite Dam Adult Fishways (combined)",2005-08-11 06:27:36,2005-08-11 06:29:44,"Lower Snake","Lower Snake-Tucannon",46.65776,-117.433225
"140","3D9.1BF1A34ECF","Lower Granite Dam Adult Fishways (combined)",2005-10-07 02:17:12,2005-10-07 04:06:19,"Lower Snake","Lower Snake-Tucannon",46.65776,-117.433225
"141","3D9.1BF1A34ECF","GRJ - Lower Granite Dam Juvenile",2006-05-09 07:08:27,2006-05-09 07:08:27,"Lower Snake","Lower Snake-Tucannon",46.660394,-117.436261
"142","3D9.1BF1A65398","Bonneville Adult Fishways (combined)",2006-07-02 04:37:39,2006-07-02 06:19:57,"Lower Columbia","Lower Columbia-Sandy",45.646047,-121.941241
"143","3D9.1BF1A6C2BF","Bonneville Adult Fishways (combined)",2008-07-23 08:54:33,2008-07-23 09:51:00,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"144","3D9.1BF1A6C2BF","McNary Adult Fishways (combined)",2008-09-18 03:57:47,2008-09-18 05:43:59,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"145","3D9.1BF1A6E8FF","Bonneville Adult Fishways (combined)",2006-07-10 23:45:22,2006-07-11 01:08:44,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"146","3D9.1BF1A7D081","Bonneville Adult Fishways (combined)",2005-08-05 00:37:28,2005-08-05 00:46:30,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"147","3D9.1BF1A7DDA0","Bonneville Adult Fishways (combined)",2006-08-19 17:58:05,2006-08-19 22:14:34,"Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"148","3D9.1BF1A7DDA0","JDJ - John Day Dam Juvenile",2007-05-02 13:41:44,2007-05-02 13:41:45,"Middle Columbia","Middle Columbia-Hood",45.710014,-120.692581
"149","3D9.1BF1A93586","Bonneville Adult Fishways (combined)",2007-07-20 06:07:22,2007-07-20 07:25:42,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
"150","3D9.1BF1A93586","McNary Adult Fishways (combined)",2007-07-28 00:52:09,2007-07-28 00:56:29,"Middle Columbia","Middle Columbia-Lake Wallula",45.928565,-119.296606
"151","3D9.1BF1A93586","JDJ - John Day Dam Juvenile",2007-08-04 14:35:16,2007-08-04 14:35:23,"Middle Columbia","Middle Columbia-Hood",45.710014,-120.692581
"152","3D9.1BF1B08040","Bonneville Adult Fishways (combined)",2006-08-15 09:16:23,2006-08-15 10:22:15,"Lower Columbia","Lower Columbia-Sandy",45.641509,-121.943902
