"Tag Code","Mark File Name","Site Name","First Time Value","Last Time Value","First Antenna Group Name","Last Antenna Group Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Release Site Name","Count","First Obs Date Max"
"3D6.000AC9EB34","OJD11199.UBA","BO2 - Bonneville Cascades Is. Ladder","7/17/2014 6:47:37 AM","7/17/2014 7:01:14 AM","WEIR 45","WEIR 52","7/18/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","1","07/17/2014"
"3D6.000AC9EB34","OJD11199.UBA","BO4 - Bonneville WA Ladder Slots","7/17/2014 8:37:33 AM","7/17/2014 8:42:33 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","7/18/2011","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","1","07/17/2014"
"3D9.1BF15BA444","WHW04105.MS1","BO2 - Bonneville Cascades Is. Ladder","8/4/2006 12:43:05 PM","8/4/2006 12:51:03 PM","WEIR 46","WEIR 52","4/14/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/04/2006"
"3D9.1BF15BA444","WHW04105.MS1","BO4 - Bonneville WA Ladder Slots","8/4/2006 3:29:37 PM","8/4/2006 3:32:08 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/14/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/04/2006"
"3D9.1BF15CB9FE","WHW03114.JD1","BO3 - Bonneville WA Shore Ladder/AFF","7/26/2005 6:29:13 AM","7/26/2005 6:57:48 AM","WEIR 34","WEIR 58","4/24/2003","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR1 - John Day River - mouth to North Fork John Day River (km 0-298)","1","07/26/2005"
"3D9.1BF15CB9FE","WHW03114.JD1","BO4 - Bonneville WA Ladder Slots","7/26/2005 7:32:25 AM","7/26/2005 7:38:20 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/24/2003","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR1 - John Day River - mouth to North Fork John Day River (km 0-298)","1","07/26/2005"
"3D9.1BF15DA5FD","WHW04112.MF1","BO4 - Bonneville WA Ladder Slots","7/10/2005 6:18:55 PM","7/10/2005 6:30:19 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/21/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/10/2005"
"3D9.1BF1629729","WHW04113.MS1","BO3 - Bonneville WA Shore Ladder/AFF","8/2/2006 4:36:34 AM","8/2/2006 5:23:44 AM","WEIR 34","WEIR 58","4/22/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/02/2006"
"3D9.1BF1629729","WHW04113.MS1","BO4 - Bonneville WA Ladder Slots","8/2/2006 6:02:02 AM","8/2/2006 6:08:35 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/22/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/02/2006"
"3D9.1BF17D16A9","WHW04062.MS1","BO2 - Bonneville Cascades Is. Ladder","8/3/2005 8:27:00 AM","8/3/2005 9:03:47 AM","WEIR 45","WEIR 52","3/2/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/03/2005"
"3D9.1BF17D16A9","WHW04062.MS1","BO4 - Bonneville WA Ladder Slots","8/3/2005 2:06:45 PM","8/3/2005 2:58:40 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","3/2/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/03/2005"
"3D9.1BF17D3FDE","WHW04107.MS1","BO3 - Bonneville WA Shore Ladder/AFF","7/17/2005 9:13:21 AM","7/17/2005 9:28:05 AM","WEIR 34","WEIR 37","4/16/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/17/2005"
"3D9.1BF17D3FDE","WHW04107.MS1","BO4 - Bonneville WA Ladder Slots","7/17/2005 12:05:14 PM","7/17/2005 12:17:03 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/16/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/17/2005"
"3D9.1BF18350F3","WHW04065.MS1","BO3 - Bonneville WA Shore Ladder/AFF","8/6/2005 8:36:35 AM","8/6/2005 9:45:06 AM","WEIR 34","WEIR 59","3/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/06/2005"
"3D9.1BF18350F3","WHW04065.MS1","BO4 - Bonneville WA Ladder Slots","8/6/2005 12:55:49 PM","8/6/2005 1:07:41 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","3/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/06/2005"
"3D9.1BF1844A85","WHW04118.MF1","BO3 - Bonneville WA Shore Ladder/AFF","7/23/2005 6:45:24 AM","7/23/2005 7:13:57 AM","WEIR 34","WEIR 59","4/27/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/23/2005"
"3D9.1BF1844A85","WHW04118.MF1","BO4 - Bonneville WA Ladder Slots","7/23/2005 7:41:47 AM","7/23/2005 7:48:17 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/27/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/23/2005"
"3D9.1BF1929F02","WHW04363.SF1","BO3 - Bonneville WA Shore Ladder/AFF","8/12/2006 5:34:33 AM","8/12/2006 6:20:19 AM","WEIR 34","WEIR 59","12/28/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/12/2006"
"3D9.1BF1929F02","WHW04363.SF1","BO4 - Bonneville WA Ladder Slots","8/12/2006 7:52:57 AM","8/12/2006 8:06:12 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","12/28/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/12/2006"
"3D9.1BF1929FF8","WHW04365.SF1","BO1 - Bonneville Bradford Is. Ladder","8/23/2006 1:35:45 PM","8/23/2006 2:34:10 PM","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","12/30/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/23/2006"
"3D9.1BF192A09F","WHW05059.SF1","BO3 - Bonneville WA Shore Ladder/AFF","8/18/2006 5:49:43 AM","8/18/2006 6:28:28 AM","WEIR 34","WEIR 59","2/28/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/18/2006"
"3D9.1BF192A09F","WHW05059.SF1","BO4 - Bonneville WA Ladder Slots","8/18/2006 7:15:27 AM","8/18/2006 7:24:19 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","2/28/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/18/2006"
"3D9.1BF192A2E2","WHW05059.SF1","BO1 - Bonneville Bradford Is. Ladder","7/26/2006 11:00:36 AM","7/26/2006 1:38:15 PM","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","2/28/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","07/26/2006"
"3D9.1BF192AC40","WHW05001.SF1","BO4 - Bonneville WA Ladder Slots","7/19/2006 3:58:29 PM","7/19/2006 4:06:03 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","1/1/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","07/19/2006"
"3D9.1BF1943A21","WHW04229.BC1","BO3 - Bonneville WA Shore Ladder/AFF","8/11/2007 9:23:12 AM","8/11/2007 10:01:47 AM","WEIR 34","WEIR 59","8/16/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","08/11/2007"
"3D9.1BF1943A21","WHW04229.BC1","BO4 - Bonneville WA Ladder Slots","8/11/2007 10:47:24 AM","8/11/2007 10:52:07 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","8/16/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","08/11/2007"
"3D9.1BF1957BBD","WHW06126.MF1","BO3 - Bonneville WA Shore Ladder/AFF","8/1/2007 8:39:30 AM","8/1/2007 9:27:41 AM","WEIR 34","WEIR 58","5/6/2006","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","08/01/2007"
"3D9.1BF1957BBD","WHW06126.MF1","BO4 - Bonneville WA Ladder Slots","8/1/2007 11:41:12 AM","8/1/2007 11:46:03 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","5/6/2006","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","08/01/2007"
"3D9.1BF19594C6","WHW05302.SF2","BO1 - Bonneville Bradford Is. Ladder","8/26/2008 7:44:39 AM","8/26/2008 7:54:11 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","10/29/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/26/2008"
"3D9.1BF1989388","WHW05238.MC1","BO3 - Bonneville WA Shore Ladder/AFF","7/22/2007 1:55:14 AM","7/22/2007 3:04:39 AM","WEIR 35","WEIR 59","8/26/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFMC - Murderers Creek, South Fork John Day River","1","07/22/2007"
"3D9.1BF1989388","WHW05238.MC1","BO4 - Bonneville WA Ladder Slots","7/22/2007 4:48:13 AM","7/22/2007 4:55:50 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","8/26/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFMC - Murderers Creek, South Fork John Day River","1","07/22/2007"
"3D9.1BF19E70E6","WHW04242.BC1","BO3 - Bonneville WA Shore Ladder/AFF","8/18/2007 9:08:10 AM","8/18/2007 9:44:24 AM","WEIR 34","WEIR 56","8/29/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","08/18/2007"
"3D9.1BF19E70E6","WHW04242.BC1","BO4 - Bonneville WA Ladder Slots","8/18/2007 10:48:42 AM","8/18/2007 10:55:20 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","8/29/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","08/18/2007"
"3D9.1BF19E834D","WHW04238.SF1","BO3 - Bonneville WA Shore Ladder/AFF","8/6/2007 6:38:01 AM","8/6/2007 6:44:22 AM","WEIR 35","WEIR 37","8/25/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/06/2007"
"3D9.1BF19E834D","WHW04238.SF1","BO4 - Bonneville WA Ladder Slots","8/6/2007 7:58:03 AM","8/6/2007 8:04:36 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","8/25/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/06/2007"
"3D9.1BF19E8ABB","WHW04243.BC1","BO1 - Bonneville Bradford Is. Ladder","8/2/2007 7:09:39 AM","8/2/2007 11:43:18 AM","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","8/30/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","08/02/2007"
"3D9.1BF19E909E","WHW04241.BC1","BO3 - Bonneville WA Shore Ladder/AFF","8/1/2007 7:43:12 AM","8/1/2007 8:17:31 AM","WEIR 34","WEIR 59","8/28/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","08/01/2007"
"3D9.1BF19E909E","WHW04241.BC1","BO4 - Bonneville WA Ladder Slots","8/1/2007 9:05:37 AM","8/1/2007 9:09:21 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","8/28/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","08/01/2007"
"3D9.1BF19E9F17","WHW04228.BC1","BO2 - Bonneville Cascades Is. Ladder","7/11/2008 5:54:36 PM","7/11/2008 6:09:19 PM","WEIR 45","WEIR 52","8/15/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","07/11/2008"
"3D9.1BF19E9F17","WHW04228.BC1","BO4 - Bonneville WA Ladder Slots","7/12/2008 4:44:05 AM","7/12/2008 4:47:13 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","8/15/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFBC - Black Canyon Creek, South Fork John Day River","1","07/12/2008"
"3D9.1BF19EA50B","WHW04256.MC1","BO1 - Bonneville Bradford Is. Ladder","7/7/2006 8:03:25 AM","7/7/2006 9:44:10 AM","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","9/12/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFMC - Murderers Creek, South Fork John Day River","1","07/07/2006"
"3D9.1BF19EAD30","WHW04231.SF1","BO1 - Bonneville Bradford Is. Ladder","8/2/2007 8:48:44 AM","8/2/2007 9:57:01 AM","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","8/18/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/02/2007"
"3D9.1BF19EB457","WHW04239.MC1","BO2 - Bonneville Cascades Is. Ladder","7/11/2006 3:13:54 PM","7/11/2006 3:26:19 PM","WEIR 45","WEIR 52","8/26/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFMC - Murderers Creek, South Fork John Day River","1","07/11/2006"
"3D9.1BF19EB457","WHW04239.MC1","BO4 - Bonneville WA Ladder Slots","7/12/2006 5:49:22 AM","7/12/2006 6:03:30 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","8/26/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFMC - Murderers Creek, South Fork John Day River","1","07/12/2006"
"3D9.1BF19FA3B1","WHW05014.SF1","BO3 - Bonneville WA Shore Ladder/AFF","7/22/2006 7:44:28 AM","7/22/2006 8:19:43 AM","WEIR 37","WEIR 57","1/14/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","07/22/2006"
"3D9.1BF19FA3B1","WHW05014.SF1","BO4 - Bonneville WA Ladder Slots","7/22/2006 9:06:12 AM","7/22/2006 9:24:10 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","1/14/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","07/22/2006"
"3D9.1BF1A21585","WHW04131.SF1","BO1 - Bonneville Bradford Is. Ladder","8/18/2006 11:58:39 AM","8/18/2006 12:39:08 PM","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","5/10/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/18/2006"
"3D9.1BF1A22BBA","WHW04131.SF1","BO1 - Bonneville Bradford Is. Ladder","8/5/2005 10:47:34 AM","8/5/2005 10:52:46 AM","RIGHT BRANCH WEIR 43","RIGHT BRANCH WEIR 50","5/10/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/05/2005"
"3D9.1BF1A22EFA","WHW04131.SF1","BO1 - Bonneville Bradford Is. Ladder","8/10/2006 8:30:25 AM","8/10/2006 11:15:58 AM","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","5/10/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARSF - South Fork John Day River","1","08/10/2006"
"3D9.1BF1A28081","WHW04127.MS1","BO2 - Bonneville Cascades Is. Ladder","8/22/2006 5:08:12 PM","8/22/2006 5:27:09 PM","WEIR 45","WEIR 52","5/6/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/22/2006"
"3D9.1BF1A28081","WHW04127.MS1","BO4 - Bonneville WA Ladder Slots","8/23/2006 7:46:44 AM","8/23/2006 8:00:02 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","5/6/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/23/2006"
"3D9.1BF1A2810B","WHW04126.MS1","BO1 - Bonneville Bradford Is. Ladder","7/26/2005 7:01:16 AM","7/26/2005 7:11:15 AM","LEFT BRANCH WEIR 43","LEFT BRANCH WEIR 50","5/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/26/2005"
"3D9.1BF1A291AF","WHW04126.MS1","BO3 - Bonneville WA Shore Ladder/AFF","7/13/2006 5:22:11 PM","7/13/2006 6:04:23 PM","WEIR 34","WEIR 59","5/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/13/2006"
"3D9.1BF1A291AF","WHW04126.MS1","BO4 - Bonneville WA Ladder Slots","7/13/2006 6:33:00 PM","7/13/2006 6:43:45 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","5/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/13/2006"
"3D9.1BF1A2B736","WHW04126.MF1","BO1 - Bonneville Bradford Is. Ladder","7/11/2006 9:55:39 AM","7/11/2006 11:20:33 AM","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","5/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/11/2006"
"3D9.1BF1A2C34D","WHW04128.MS1","BO2 - Bonneville Cascades Is. Ladder","8/4/2006 2:47:42 PM","8/4/2006 3:01:42 PM","WEIR 45","WEIR 52","5/7/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/04/2006"
"3D9.1BF1A2C34D","WHW04128.MS1","BO4 - Bonneville WA Ladder Slots","8/4/2006 5:02:06 PM","8/4/2006 5:24:53 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","5/7/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/04/2006"
"3D9.1BF1A2D61E","WHW04113.MF1","BO3 - Bonneville WA Shore Ladder/AFF","7/10/2005 8:07:47 AM","7/10/2005 8:39:02 AM","WEIR 34","WEIR 59","4/22/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/10/2005"
"3D9.1BF1A2D61E","WHW04113.MF1","BO4 - Bonneville WA Ladder Slots","7/10/2005 10:00:50 AM","7/10/2005 10:09:56 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/22/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDARMF - Middle Fork John Day River","1","07/10/2005"
"3D9.1BF1A3361E","WHW04121.MS1","BO3 - Bonneville WA Shore Ladder/AFF","8/3/2006 7:08:18 AM","8/3/2006 7:48:32 AM","WEIR 34","WEIR 58","4/30/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/03/2006"
"3D9.1BF1A3361E","WHW04121.MS1","BO4 - Bonneville WA Ladder Slots","8/3/2006 9:01:40 AM","8/3/2006 9:11:09 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/30/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/03/2006"
"3D9.1BF1A34ECF","WHW04126.MS1","BO4 - Bonneville WA Ladder Slots","7/1/2005 5:43:17 AM","7/1/2005 5:51:51 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","5/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/01/2005"
"3D9.1BF1A65398","WHW04121.MS1","BO2 - Bonneville Cascades Is. Ladder","7/2/2006 11:37:39 AM","7/2/2006 11:48:07 AM","WEIR 45","WEIR 52","4/30/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/02/2006"
"3D9.1BF1A65398","WHW04121.MS1","BO4 - Bonneville WA Ladder Slots","7/2/2006 1:13:11 PM","7/2/2006 1:19:57 PM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","4/30/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/02/2006"
"3D9.1BF1A6C2BF","WHW05180.MC1","BO1 - Bonneville Bradford Is. Ladder","7/23/2008 3:54:33 PM","7/23/2008 4:51:00 PM","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS","6/29/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JSFMC - Murderers Creek, South Fork John Day River","1","07/23/2008"
"3D9.1BF1A6E8FF","WHW04127.MS1","BO3 - Bonneville WA Shore Ladder/AFF","7/11/2006 6:45:22 AM","7/11/2006 7:12:29 AM","WEIR 34","WEIR 59","5/6/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/11/2006"
"3D9.1BF1A6E8FF","WHW04127.MS1","BO4 - Bonneville WA Ladder Slots","7/11/2006 7:56:12 AM","7/11/2006 8:08:44 AM","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS","5/6/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","07/11/2006"
"3D9.1BF1A7D081","WHW04126.MS1","BO1 - Bonneville Bradford Is. Ladder","8/5/2005 7:37:28 AM","8/5/2005 7:46:30 AM","RIGHT BRANCH WEIR 43","RIGHT BRANCH WEIR 50","5/5/2004","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","1","08/05/2005"
