mrr_code|mrr_rkm|mrr_name|mrr_type|mrr_typedesc|mrr_huc8|mrr_huc8name|mrr_huc6|mrr_huc6name
OXBH|*|Oxbox Hatchery, Cascade Locks, OR (ODFW)|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070105|Middle Columbia-Hood|170701|Middle Columbia
AHSH|*|Astoria High School Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080006|Lower Columbia|170800|Lower Columbia
SWSP|*|Sweetwater Springs Rearing Facility|Acclimation Pond|Acclimation pond or facility.|17060306|Clearwater|170603|Clearwater
WHSH|*|Warrenton (OR) High School Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080006|Lower Columbia|170800|Lower Columbia
ROBU|*|Round Butte Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070306|Lower Deschutes|170703|Deschutes
EAGL|*|Eagle Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17050114|Lower Boise|170501|Middle Snake-Boise
EBNK|*|East Bank Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17020010|Upper Columbia-Entiat|170200|Upper Columbia
NISP|*|Niagara Springs Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17040212|Upper Snake-Rock|170402|Upper Snake
UMAH|*|Umatilla Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
OASP|*|Oak Springs Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070306|Lower Deschutes|170703|Deschutes
CASS|*|Cassimer Bar Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17020006|Okanogan|170200|Upper Columbia
OXBO|*|Oxbow Hatchery (IDFG)|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17050201|Brownlee Reservoir|170502|Middle Snake-Powder
WILH|*|Willamette Hatchery (ODFW) at Oakridge|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17090001|Middle Fork Willamette|170900|Willamette
MERH|*|Merwin Hatchery (WDFW)|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080002|Lewis|170800|Lower Columbia
COLR2|000|Columbia River - Three Tree Point, WA to Lewis River (km 49-140)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
COLR9|000|Columbia River - Grand Coulee Dam to East Arrow Park, CAN (km 960-1359)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17020001|Franklin D. Roosevelt Lake|170200|Upper Columbia
COLR10|000|Columbia River - East Arrow Park to Revelstoke (km 1359 - 1476)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17020021|Upper Arrow Lake-Columbia River|170200|Upper Columbia
COLR6|000|Columbia River - Snake River to Lower Crab Creek (km 522-661)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17020016|Upper Columbia-Priest Rapids|170200|Upper Columbia
COLR4|000|Columbia River - Bonneville Dam to John Day Dam (km 234-347)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17070105|Middle Columbia-Hood|170701|Middle Columbia
COLR5|000|Columbia River - John Day Dam to Snake River (km 347-522)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
COLR8|000|Columbia River - Chelan Falls, WA to Grand Coulee Dam (km 809-960)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17020005|Chief Joseph|170200|Upper Columbia
COLR7|000|Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17020010|Upper Columbia-Entiat|170200|Upper Columbia
COLR1|000|Columbia River - mouth to Three Tree Point, WA (km 0-49)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17080006|Lower Columbia|170800|Lower Columbia
COLR3|000|Columbia River - Lewis River to Bonneville Dam (km 140-234)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17080001|Lower Columbia-Sandy|170800|Lower Columbia
WLCHIS|000.050|Welch Island, Lower Columbia|Other|Other physical or geographical feature.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
CHINOR|006|Chinook River, Washington (Columbia River Estuary)|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
SERH|006.006|Sea Resources Hatchery (Chinook River, Washington)|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080006|Lower Columbia|170800|Lower Columbia
ESANIS|008|East Sand Island, Columbia River|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17080006|Lower Columbia|170800|Lower Columbia
YOUNGB|008|Youngs Bay, tributary to the Columbia River|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
LEWCLK|008.003|Lewis and Clark River, tributary to Youngs Bay|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
ASMEBR|012|Astoria-Megler Bridge |Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17080006|Lower Columbia|170800|Lower Columbia
MEGC|013|Megler Creek, tributary to Columbia River|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
SKIPAW|013|Skipanon Waterway|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
SKIPAR|013.003|Skipanon River|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
GRAYSR|032|Grays River, Washington, lower Columbia River|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
BEAR3C|033|Bear Creek, Columbia River Estuary, Oregon|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
RICEIS|034|Rice Island|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17080006|Lower Columbia|170800|Lower Columbia
DEEPR|035|Deep River, tributary to Columbia River|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
DRNP|035.002|Deep River Net Pens (Deep River, Washington)|Acclimation Pond|Acclimation pond or facility.|17080006|Lower Columbia|170800|Lower Columbia
RSSNIS|036|Russian Island, Columbia River Estuary|Other|Other physical or geographical feature.|17080006|Lower Columbia|170800|Lower Columbia
MLRSNI|038|Miller Sands Island, Columbia River Estuary|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17080006|Lower Columbia|170800|Lower Columbia
BIG1C|043|Big Creek, lower Columbia River near Knappa, OR|River|Entire river or stream.|17080006|Lower Columbia|170800|Lower Columbia
BIGC|043.006|Big Creek Hatchery (ODFW) near Knappa|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080006|Lower Columbia|170800|Lower Columbia
WOODIS|047|Woody Island, Columbia River Estuary|Other|Other physical or geographical feature.|17080006|Lower Columbia|170800|Lower Columbia
BLNDSL|047|Blind Slough Net Pens (Oregon side of Columbia River Estuary)|Acclimation Pond|Acclimation pond or facility.|17080006|Lower Columbia|170800|Lower Columbia
SBSLMA|055|Steamboat Slough Marsh, Lower Columbia|Other|Other physical or geographical feature.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
ELRH|058.019|Elochoman River Hatchery (Elochoman River, Washington)|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
TENNAI|060|Tenasillahe Island, lower Columbia River|Other|Other physical or geographical feature.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
WALLIS|080|Wallace Island, lower Columbia River near Clatskanie, OR|Other|Other physical or geographical feature.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
ABERC|087|Abernathy Creek, Lower Columbia River, Washington|River|Entire river or stream.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
MILL4C|087|Mill Creek, Lower Columbia River, Washington|River|Entire river or stream.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
ABEH|087.005|Abernathy SCTC|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
GERMC|090|Germany Creek, Lower Columbia River, Washington|River|Entire river or stream.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
COWLR2|111|Cowlitz River - Cispus River to Clear Fork (km 135-202)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17080004|Upper Cowlitz|170800|Lower Columbia
COWLR1|111|Cowlitz River - mouth to Cispus River (km 0-135)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17080005|Lower Cowlitz|170800|Lower Columbia
COWEER|111.002|Coweeman River, tributary to Cowlitz River|River|Entire river or stream.|17080005|Lower Cowlitz|170800|Lower Columbia
TURNCR|111.002.015|Turner Creek, tributary to Coweeman River|River|Entire river or stream.|17080005|Lower Cowlitz|170800|Lower Columbia
COWEAP|111.002.021|Coweeman Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17080005|Lower Cowlitz|170800|Lower Columbia
TOUTLR|111.032|Toutle River|River|Entire river or stream.|17080005|Lower Cowlitz|170800|Lower Columbia
TOUTNF|111.032.028|North Fork Toutle River|River|Entire river or stream.|17080005|Lower Cowlitz|170800|Lower Columbia
GREENR|111.032.028.018|Green River, trib. to NF Toutle River|River|Entire river or stream.|17080005|Lower Cowlitz|170800|Lower Columbia
TOUT|111.032.028.018.001|North Toutle Hatchery, WDFW|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080005|Lower Cowlitz|170800|Lower Columbia
COWT|111.071|Cowlitz Trout Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080005|Lower Cowlitz|170800|Lower Columbia
BAD|111.080|Barrier Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17080005|Lower Cowlitz|170800|Lower Columbia
COWS|111.080|Cowlitz Salmon Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080005|Lower Cowlitz|170800|Lower Columbia
MFDLBN|111.085|Mayfield Dam North Louver Bay|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
MFDLBS|111.085|Mayfield Dam South Louver Bay|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
MFDFTF|111.085|Mayfield Dam Entrance to Counting House Raceways|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
MFD|111.085|Mayfield Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17080005|Lower Cowlitz|170800|Lower Columbia
MFDSEP|111.085|Mayfield Dam Secondary Separator Downwell|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
CFDTAL|111.133|CFD - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
CFDSF2|111.133|CFD - Release directly into spillway flume 2|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
CFDSF3|111.133|CFD - Release directly into spillway flume 3|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
CFDNSC|111.133|CFD - Release into North Shore Collector Flume|Intra-Dam Release Site|Specific release site within a dam location.|17080005|Lower Cowlitz|170800|Lower Columbia
CFD|111.133|Cowlitz Falls Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17080005|Lower Cowlitz|170800|Lower Columbia
CISPUR|111.135|Cispus River - tributary to Cowlitz River|River|Entire river or stream.|17080004|Upper Cowlitz|170800|Lower Columbia
KALAMR|118|Kalama River|River|Entire river or stream.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
KALA|118.017|Kalama Falls Hatchery, WDFW|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
MULTCH|139|Multnomah Channel, Columbia River|River|Entire river or stream.|17090012|Lower Willamette|170900|Willamette
LILYSL|139.000|Lily Slough, Lower Columbia|Other|Other physical or geographical feature.|17090012|Lower Willamette|170900|Willamette
CUNNSL|139.000|Cunningham Slough|River|Entire river or stream.|17090012|Lower Willamette|170900|Willamette
SCAPPB|139.003|Scappoose Bay, Oregon|River|Entire river or stream.|17090012|Lower Willamette|170900|Willamette
SCAPPC|139.003.004|Scappoose Creek|River|Entire river or stream.|17090012|Lower Willamette|170900|Willamette
NSCAPC|139.003.004.009|North Scappoose Creek|River|Entire river or stream.|17090012|Lower Willamette|170900|Willamette
MULTMA|139.125|Multnomah Channel Marsh, Lower Wilamette|Other|Other physical or geographical feature.|17090012|Lower Willamette|170900|Willamette
GEECR|140|Gee Creek, Washington, lower Columbia River|River|Entire river or stream.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
LEWISR|140|Lewis River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
LEWIEF|140.006|East Fork Lewis River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
MASON|140.006.009|Mason Creek, tributary to East Fork Lewis River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
TSUGCR|140.006.009.005|Tusgawa Creek, tributary to Mason Creek|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
ROCKC|140.006.042|Rock Creek, tributary to East Fork Lewis River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
LEWISP|140.014|Lewis River Release Pond|Acclimation Pond|Acclimation pond or facility.|17080002|Lewis|170800|Lower Columbia
LEWH|140.025|Lewis River Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17080002|Lewis|170800|Lower Columbia
CEDARC|140.025|Cedar Creek, tributary to Lewis River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
MHPTAL|140.031|MHP - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17080002|Lewis|170800|Lower Columbia
MHP|140.031|Merwin Hydroelectric Project|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17080002|Lewis|170800|Lower Columbia
MHPFBY|140.031|MHP - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17080002|Lewis|170800|Lower Columbia
SHPTAL|140.070|SHP - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17080002|Lewis|170800|Lower Columbia
SHPFBY|140.070|SHP - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17080002|Lewis|170800|Lower Columbia
SHP|140.070|Swift Hydroelectric Project|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17080002|Lewis|170800|Lower Columbia
DRIFTC|140.079|Drift Creek - tributary to Lewis River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
MUDDYR|140.087|Muddy River - tributary to Lewis River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
CLEA3C|140.087.007|Clear Creek - tributary to Muddy River|River|Entire river or stream.|17080002|Lewis|170800|Lower Columbia
CLEARP|140.087.007.002|Clear Creek Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17080002|Lewis|170800|Lower Columbia
MUDDYP|140.087.008|Muddy River Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17080002|Lewis|170800|Lower Columbia
CRABP|140.104|Crab Creek Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17080002|Lewis|170800|Lower Columbia
CAMPSL|148|Campbell Slough, Lower Columbia|River|Entire river or stream.|17080003|Lower Columbia-Clatskanie|170800|Lower Columbia
WILLR3|163|Willamette River - Santiam River to the confluence of the Middle and Coast forks of the Willamette River (km 175-301)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17090003|Upper Willamette|170900|Willamette
WILLR1|163|Willamette River - mouth to Willamette Falls (km 0-43)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17090012|Lower Willamette|170900|Willamette
WILLR2|163|Willamette River - Willamette Falls to Santiam River (km 43-175)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17090007|Middle Willamette|170900|Willamette
TRYOC|163.032|Tryon Creek, tributary to Willamette River|River|Entire river or stream.|17090012|Lower Willamette|170900|Willamette
CLCKMS|163.040|Clackamas River|River|Entire river or stream.|17090011|Clackamas|170900|Willamette
EAGL2C|163.040.026|Eagle Creek, Clackamas River Basin|River|Entire river or stream.|17090011|Clackamas|170900|Willamette
EAG2NF|163.040.026.010|North Fork Eagle Creek, Clackamas River Basin|River|Entire river or stream.|17090011|Clackamas|170900|Willamette
EAGH|163.040.026.016|Eagle Creek National Fish Hatchery, Clackamas River Basin|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17090011|Clackamas|170900|Willamette
PINHC|163.040.109|Pinhead Creek - Clackamas Subbasin|River|Entire river or stream.|17090011|Clackamas|170900|Willamette
LASTC|163.040.109.002|Last Creek - Clackamas Subbasin|River|Entire river or stream.|17090011|Clackamas|170900|Willamette
CUBC|163.040.120|Cub Creek - Clackamas Subbasin|River|Entire river or stream.|17090011|Clackamas|170900|Willamette
BERRYC|163.040.120.006|Berry Creek - Clackamas Subbasin|River|Entire river or stream.|17090011|Clackamas|170900|Willamette
SULSEP|163.043|SUL - Release into the Flume downsteam of the Collection/Bypass Gate or into the Separator|Intra-Dam Release Site|Specific release site within a dam location.|17090007|Middle Willamette|170900|Willamette
SULFDS|163.043|SUL - Release above the Fish Diversion Screen|Intra-Dam Release Site|Specific release site within a dam location.|17090007|Middle Willamette|170900|Willamette
SULBPS|163.043|SUL - Release into the PIT-Tag Diversion System between the Diversion Gate and the furthest downstream PIT-Tag Detector|Intra-Dam Release Site|Specific release site within a dam location.|17090007|Middle Willamette|170900|Willamette
SULBYP|163.043|SUL - Release into the Facility Bypass Flume/Pipe|Intra-Dam Release Site|Specific release site within a dam location.|17090007|Middle Willamette|170900|Willamette
SULFBY|163.043|SUL - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090007|Middle Willamette|170900|Willamette
SUL|163.043|Sullivan Hydroelectric Plant, Willamette Falls|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17090007|Middle Willamette|170900|Willamette
SULTRB|163.043|SUL - Release into Turbine(s)|Intra-Dam Release Site|Specific release site within a dam location.|17090007|Middle Willamette|170900|Willamette
MOLALR|163.057|Molalla River|River|Entire river or stream.|17090009|Molalla-Pudding|170900|Willamette
MOLRNF|163.057.041|North Fork Molalla River|River|Entire river or stream.|17090009|Molalla-Pudding|170900|Willamette
TBRKFK|163.057.061|Table Rock Fork, tributary to Molalla River|River|Entire river or stream.|17090009|Molalla-Pudding|170900|Willamette
SANTIR|163.174|Santiam River, Oregon|River|Entire river or stream.|17090005|North Santiam|170900|Willamette
SSANTR|163.174.019|South Santiam River, Oregon|River|Entire river or stream.|17090006|South Santiam|170900|Willamette
NSANTR|163.174.019|North Santiam River, Oregon|River|Entire river or stream.|17090005|North Santiam|170900|Willamette
LEBFBY|163.174.019.032|LEB - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090006|South Santiam|170900|Willamette
LEBLDS|163.174.019.032|LEB - Release into the south ladder trap.|Intra-Dam Release Site|Specific release site within a dam location.|17090006|South Santiam|170900|Willamette
LEB|163.174.019.032|Lebanon Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17090006|South Santiam|170900|Willamette
LNSANR|163.174.019.044|Little North Santiam River|River|Entire river or stream.|17090005|North Santiam|170900|Willamette
FOS|163.174.019.060|Foster Dam, South Santiam River|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17090006|South Santiam|170900|Willamette
FOSTAL|163.174.019.060|FOS - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090006|South Santiam|170900|Willamette
FOSFBY|163.174.019.060|FOS - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090006|South Santiam|170900|Willamette
MSANTR|163.174.019.064|Middle Santiam River, Oregon|River|Entire river or stream.|17090006|South Santiam|170900|Willamette
MINTO|163.174.019.069|Minto Fish Facility|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17090005|North Santiam|170900|Willamette
BCLTAL|163.174.019.073|BCL - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090005|North Santiam|170900|Willamette
BCLFBY|163.174.019.073|BCL - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090005|North Santiam|170900|Willamette
BCL|163.174.019.073|Big Cliff Dam - North Santiam River|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17090005|North Santiam|170900|Willamette
DET|163.174.019.078|Detroit Dam (USACE), North Santiam River|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17090005|North Santiam|170900|Willamette
DETTAL|163.174.019.078|DET - Release into the Tailrace within 0.5km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090005|North Santiam|170900|Willamette
DETFBY|163.174.019.078|DET - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090005|North Santiam|170900|Willamette
BREITR|163.174.019.088|Breitenbush River, North Santiam River Basin|River|Entire river or stream.|17090005|North Santiam|170900|Willamette
MARIOC|163.174.019.115|Marion Creek, tributary to North Santiam River|River|Entire river or stream.|17090005|North Santiam|170900|Willamette
MARI|163.174.019.115.001|Marion Forks Fish Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17090005|North Santiam|170900|Willamette
CALAPR|163.192|Calapooia River|River|Entire river or stream.|17090003|Upper Willamette|170900|Willamette
MCKER|163.282|McKenzie River|River|Entire river or stream.|17090004|Mckenzie|170900|Willamette
MCKE|163.282.053|McKenzie Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17090004|Mckenzie|170900|Willamette
LEATAL|163.282.056|LEA - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090004|Mckenzie|170900|Willamette
LEA|163.282.056|Leaburg Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17090004|Mckenzie|170900|Willamette
LEABYP|163.282.056|LEA - Release into the Facility Bypass Flume/Pipe|Intra-Dam Release Site|Specific release site within a dam location.|17090004|Mckenzie|170900|Willamette
LEAFBY|163.282.056|LEA - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090004|Mckenzie|170900|Willamette
LEAB|163.282.056|Leaburg Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17090004|Mckenzie|170900|Willamette
MCKESF|163.282.090|South Fork McKenzie River|River|Entire river or stream.|17090004|Mckenzie|170900|Willamette
CGR|163.282.090.007|Cougar Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17090004|Mckenzie|170900|Willamette
CGRTAL|163.282.090.007|CGR - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090004|Mckenzie|170900|Willamette
EFHORC|163.282.101|East Fork Horse Creek, McKenzie River Basin|Archaic|Site codes that were in use at one time, but have been retired and replaced by one or more new site codes.|17090004|Mckenzie|170900|Willamette
HORS2C|163.282.101|Horse Creek, upper McKenzie River Basin|River|Entire river or stream.|17090004|Mckenzie|170900|Willamette
WILRMF|163.301|Middle Fork Willamette River|River|Entire river or stream.|17090001|Middle Fork Willamette|170900|Willamette
FALTAL|163.301.013|FAL - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17090001|Middle Fork Willamette|170900|Willamette
