"event_site_name","count","event_type_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent","dam","dam_abbr"
"BMT - Big Meadow Temporary Array",7,"Observation","01","01","Single Antenna","Single Antenna",100,NA,"in stream",NA
"BO1 - Bonneville Bradford Is. Ladder",8221,"Observation","22","01","B-BRANCH WEIR 44","VERTICAL SLOT DETECTORS",110,NA,"in stream",NA
"BO2-BO3-BO4",11725,"Observation","BO3-17","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA,"in stream",NA
"BPC - Bonaparte Creek Instream Array",2,"Observation","C3","C1","Three Antenna Series","Three Antenna Series",100,NA,"in stream",NA
"BR0 - Bridge Creek Gauge",46,"Observation","B2","B2","Downstream","Downstream",100,NA,"in stream",NA
"BR1 - Bridge Creek Kiosk",17,"Observation","F2","F1","Downstream","Upstream",100,NA,"in stream",NA
"BR2 - Bridge Creek Gable",16,"Observation","F4","F4","Downstream Bridge Creek","Downstream Bridge Creek",90,NA,"in stream",NA
"BR3 - Bridge Creek Ranch",8,"Observation","F4","F2","Downstream","Upstream",100,NA,"in stream",NA
"BSC - Big Sheep Creek ISA at km 6",150,"Observation","A4","A1","DOWNSTREAM RIGHT","UPSTREAM LEFT",100,NA,"in stream",NA
"BVC - Beaver Creek, Methow River",2,"Observation","B5","B2","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"CCA - Lower Charley Creek ISA",20,"Observation","02","01","Downstream Antenna","Upstream Antenna",90,NA,"in stream",NA
"CCT - Chikamin Creek Temporary Array",4,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"CHL - Lower Chiwawa River",117,"Observation","86","86","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA,"in stream",NA
"CHM - Chumstick Creek",23,"Observation","F3","F2","DOWNSTREAM ANTENNA","MIDDLE ANTENNA",100,NA,"in stream",NA
"CHP - Chiwawa Acc. Pond",3,"Observation","01","01","POND 2","POND 2",110,NA,"in stream",NA
"CHU - Upper Chiwawa River",67,"Observation","92","92","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"CHW - Chiwaukum Creek",20,"Observation","04","01","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"CLC - Clear Creek near Kooskia NFH",9,"Observation","04","03","Clear Creek Array","Clear Creek Array",100,NA,"in stream",NA
"CMP - Camp Creek at rkm 2 - Imnaha",1,"Observation","C2","C4","Upstream Array","Downstream Array",100,NA,"in stream",NA
"COP - Lower Coppei Instream Array",1,"Observation","02","02","Downstream Array","Downstream Array",100,NA,"in stream",NA
"CRT - Crooked River Satellite Fac.",1,"Observation","A1","A2","ADULT RETURN LADDER","ADULT RETURN LADDER",100,NA,"in stream",NA
"CRW - Chewuch River above Winthrop",51,"Observation","06","06","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA,"in stream",NA
"DBH - Buck Hollow Ck Deschutes Trib",6,"Observation","96","95","Downstream","Middle",100,NA,"in stream",NA
"DBO - Bakeoven Ck Deschutes Trib",9,"Observation","A6","A4","Downstream","Upstream",100,NA,"in stream",NA
"DRM - Deschutes River mouth",292,"Observation","0A","04","Downstream Array","Upstream Array",100,NA,"in stream",NA
"DSF - Deschutes Sherars Falls",13,"Observation","02","01","Main Fishway","Main Fishway",100,NA,"in stream",NA
"DWL - Dworshak NFH adult trap",203,"Observation","A1","A2","UPSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA,"in stream",NA
"ENA - Upper Entiat River at rkm 17.1",71,"Observation","41","41","UPSTREAM ANTENNA ARRAY","UPSTREAM ANTENNA ARRAY",100,NA,"in stream",NA
"ENF - Upper Entiat River at rkm 40.6",16,"Observation","81","81","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"ENL - Lower Entiat River",242,"Observation","22","22","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"ENM - Middle Entiat River",89,"Observation","55","53","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"ENS - Upper Entiat River at rkm 35.7",32,"Observation","66","62","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"ESS - EFSF Salmon River at Parks Cr.",13,"Observation","A4","B1","UPPER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA,"in stream",NA
"EVL - Eagle Valley Ranch - Lower",1,"Observation","04","01","Downstream Array","Upstream Array",100,NA,"in stream",NA
"EVU - Eagle Valley Ranch - Upper",2,"Observation","06","03","Downstream Array","Upstream Array",100,NA,"in stream",NA
"EWC - Early Winters Creek rkm 0.36",4,"Observation","B5","B3","Downstream Array","Upstream Array",100,NA,"in stream",NA
"FDC - Feed Canal",2,"Observation","B3","B3","DIVERSION SCREEN","DIVERSION SCREEN",100,NA,"in stream",NA
"FDD - Feed Diversion Dam",85,"Observation","B1","B2","UPPER DAM NOTCH","LOWER DAM NOTCH",100,NA,"in stream",NA
"FST - Foster Creek",1,"Observation","A1","A1","Single Antenna","Single Antenna",100,NA,"in stream",NA
"GLC - Gold Creek, Methow River",22,"Observation","E5","E4","LOWER IN-STREAM ARRAY","MIDDLE IN-STREAM ARRAY",110,NA,"in stream",NA
"GOA - Little Goose Fish Ladder",357,"Observation","02","01","Counting Window","Counting Window",100,NA,"dam","LGO"
"GOJ - Little Goose Dam Juvenile",176,"Observation","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",150,NA,"in stream",NA
"GRA - Lower Granite Dam Adult",9051,"Observation","12","02","ISO WEST","WEIR 733",140,NA,"in stream",NA
"GRJ - Lower Granite Dam Juvenile",189,"Observation","F1","F2","ADULT FISH RETURN","ADULT FISH RETURN",140,NA,"in stream",NA
"GRS - Lower Granite Dam Spillway",1,"Observation","09","09","Downstream","Downstream",100,NA,"in stream",NA
"HLM - Potlatch River near Helmer",31,"Observation","A1","A3","UPPER LEFT 20-FT ANTENNA","LOWER LEFT 20-FT ANTENNA",100,NA,"in stream",NA
"HN2 - Middle Harrison Side Channel",1,"Observation","08","08","Pass Through Antenna","Pass Through Antenna",100,NA,"in stream",NA
"HN3 - Bottom Harrison Side Channel",1,"Observation","09","09","Pass Through Antenna","Pass Through Antenna",100,NA,"in stream",NA
"HRM - Hood River Mouth",125,"Observation","F2","F2","UPSTREAM","UPSTREAM",100,NA,"in stream",NA
"HSM - Hancock Springs Middle",5,"Observation","B2","B2","Hancock Springs 02","Hancock Springs 02",100,NA,"in stream",NA
"HST - Touchet River at Harvey Shaw",4,"Observation","01","01","Upstream Array","Upstream Array",100,NA,"in stream",NA
"HSU - Hancock Springs Upper",6,"Observation","A1","A2","Hancock Springs 01","Hancock Springs 01",100,NA,"in stream",NA
"HYC - Hayden Creek In-stream Array",49,"Observation","A6","A3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",120,NA,"in stream",NA
"ICB - Ice Harbor Bypass",62,"Observation","A1","A4","FULL FLOW BYPASS","FULL FLOW BYPASS",100,NA,"in stream",NA
"ICH1 - Ice Harbor Dam North Ladder",1320,"Observation","10","0A","RIGHT LADDER WEIR 435 [S/O]","RIGHT LADDER WEIR 438 [S/O]",100,NA,"in stream",NA
"ICH2 - Ice Harbor Dam South Ladder",8511,"Observation","07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA,"in stream",NA
"ICL - Lower Icicle Instream Array",24,"Observation","B4","B4","INSTREAM ARRAY","INSTREAM ARRAY",100,NA,"in stream",NA
"IR1 - Lower Imnaha River ISA @ km 7",353,"Observation","B3","B3","STREAM CENTER RIGHT","STREAM CENTER RIGHT",100,NA,"in stream",NA
"IR2 - Lower Imnaha River ISA @ km 10",379,"Observation","A5","A4","STREAM BANK RIGHT","STREAM CENTER RIGHT",100,NA,"in stream",NA
"IR3 - Upper Imnaha River ISA @ km 41",47,"Observation","C4","C4","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA,"in stream",NA
"JD1 - John Day River, McDonald Ferry",300,"Observation","05","02","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"JDJ - John Day Dam Juvenile",160,"Observation","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",160,NA,"in stream",NA
"JOC - Joseph Creek ISA @ km 3",22,"Observation","A4","A2","DOWNSTREAM LEFT","UPSTREAM CENTER",100,NA,"in stream",NA
"JOH - Johnson Creek",5,"Observation","A1","A1","Single Antenna","Single Antenna",100,NA,"in stream",NA
"John Day Dam Adult Fishways (combined)",39,"Observation","07","04","WEIR 246","WEIR 181",100,NA,"dam","JDA"
"JUL - Potlatch River near Juliaetta",35,"Observation","A6","A1","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA,"in stream",NA
"KCB - Kiwanis Camp Bridge, Mill C",1,"Observation","02","02","COIL 2","COIL 2",100,NA,"in stream",NA
"KHS - Big Bear Cr. @ Kendrick HS",25,"Observation","A3","A5","UPPER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",110,NA,"in stream",NA
"KRS - SF Salmon River at Krassel Cr.",27,"Observation","A3","A3","IN-RIVER PASS-OVER MUX ARRAY","IN-RIVER PASS-OVER MUX ARRAY",110,NA,"in stream",NA
"LAP - Lapwai Creek, near its mouth",25,"Observation","A1","A1","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"LBC - Libby Creek, Methow River",4,"Observation","C4","C4","SINGLE IN-STREAM ANTENNA","SINGLE IN-STREAM ANTENNA",100,NA,"in stream",NA
"LBT - Little Bridge Creek (Twisp R.)",2,"Observation","02","01","Downstream","Upstream",100,NA,"in stream",NA
"LC1 - Lower Lolo Creek at rkm 21",25,"Observation","B4","B4","SINGLE ARRAY","SINGLE ARRAY",100,NA,"in stream",NA
"LC2 - Upper Lolo Creek at rkm 25",20,"Observation","A1","A1","SINGLE ARRAY","SINGLE ARRAY",100,NA,"in stream",NA
"LFF - Lyle Falls Fishway",2,"Observation","03","01","BYPASS CHANNEL","BYPASS CHANNEL",100,NA,"in stream",NA
"LLC - Loup Loup Creek Instream Array",4,"Observation","D3","D3","Three Antenna Series","Three Antenna Series",100,NA,"in stream",NA
"LLR - Lower Lemhi River",115,"Observation","A6","A3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",110,NA,"in stream",NA
"LMA - Lower Monumental Adult Ladders",404,"Observation","04","03","Right Ladder","Right Ladder",100,NA,"dam","LMO"
"LMJ - Lower Monumental Dam Juvenile",93,"Observation","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA,"in stream",NA
"LMR - Lower Methow River at Pateros",666,"Observation","A3","A3","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA,"in stream",NA
"LMT - Lower Mainstem Teanaway River",3,"Observation","B6","B3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"LRL - Lower Lochsa River Array Site",2,"Observation","A1","A1","Instream Array","Instream Array",100,NA,"in stream",NA
"LRW - Lemhi River Weir",26,"Observation","A1","A1","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA,"in stream",NA
"LTP - Lower Twisp Acclimation Pond",1,"Observation","03","03","DOWNSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA,"in stream",NA
"LTR - Lower Tucannon River",545,"Observation","C4","C3","DWNSTRM RIGHT IN-STREAM ARRAY","UPSTREAM LEFT IN-STREAM ARRAY",120,NA,"in stream",NA
"LWD - Lowden Diversion Dam",6,"Observation","12","12","FISH LADDER ENTRANCE","FISH LADDER ENTRANCE",100,NA,"in stream",NA
"LWE - Lower Wenatchee River",226,"Observation","C6","B5","DOWNSTREAM ANTENNA ARRAY","UPSTREAM ANTENNA ARRAY",110,NA,"in stream",NA
"LWL - Ltl. White Salmon NFH returns",2,"Observation","02","02","DOWNSTREAM","DOWNSTREAM",100,NA,"in stream",NA
"LWN - Little Wenatchee River",4,"Observation","B4","B1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"MAD - Mad River, Entiat River Basin",92,"Observation","35","35","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA,"in stream",NA
"MC1 - McNary Oregon Shore Ladder",10913,"Observation","12","03","WEIR 279","WEIR 288",100,NA,"in stream",NA
"MC2 - McNary Washington Shore Ladder",3231,"Observation","12","01","WEIR 302","COUNTING WINDOW",120,NA,"in stream",NA
"MCD - Mill Creek Diversion Project",29,"Observation","A2","02","DIVISION WORKS FISH LADDER","DIVERSION DAM FISH LADDER",160,NA,"in stream",NA
"MCJ - McNary Dam Juvenile",186,"Observation","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",160,NA,"in stream",NA
"MCL - Lower Mission Creek Instream",24,"Observation","B4","B1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"MDR - McDonald Road Bridge",4,"Observation","01","01","Single Array","Single Array",100,NA,"in stream",NA
"MIS - Mission Creek",4,"Observation","C2","C2","DOWNSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA,"in stream",NA
"MJ1 - Middle Fork John Day Array",44,"Observation","A1","A1","Upstream Array","Upstream Array",110,NA,"in stream",NA
"MRC - Methow River at Carlton",3,"Observation","06","06","Single Array","Single Array",100,NA,"in stream",NA
"MRT - Methow River at Twisp",26,"Observation","02","02","Upstream array","Upstream array",120,NA,"in stream",NA
"MRW - Methow River at Winthrop",24,"Observation","B3","B6","UPSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA,"in stream",NA
"MSH - Methow Fish Hatchery Outfall",10,"Observation","03","03","DOWNSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA,"in stream",NA
"MTR - Middle Tucannon River",160,"Observation","B2","B2","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"MVP - Mid-Valley Acclimation Pond",2,"Observation","03","03","DOWNSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA,"in stream",NA
"MWC - Maxwell Canal",13,"Observation","A1","B1","HEADGATE","DIVERSION SCREEN",100,NA,"in stream",NA
"MWE - Middle Wenatchee River",12,"Observation","75","72","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA,"in stream",NA
"MWF - Whitefish SC in Methow River",2,"Observation","E1","E1","Upper Site - Upper Array","Upper Site - Upper Array",100,NA,"in stream",NA
"NAL - Lower Nason Creek",134,"Observation","65","61","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"NAU - Upper Nason Creek",119,"Observation","44","41","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"NBA - Nursery Bridge Adult",70,"Observation","02","02","EAST [NEW] LADDER","EAST [NEW] LADDER",150,NA,"in stream",NA
"NFT - North Fork Teanaway River",2,"Observation","F3","F1","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"NFW - North Fork Walla Walla River",6,"Observation","03","03","INSTREAM ARRAY","INSTREAM ARRAY",100,NA,"in stream",NA
"OKC - Okanagan Channel at VDS-3",1,"Observation","A3","A3","CHANNEL-WIDTH ARRAY","CHANNEL-WIDTH ARRAY",100,NA,"in stream",NA
"OKL - Lower Okanogan Instream Array",12,"Observation","0C","06","Downstream Array","Upstream Array",100,NA,"in stream",NA
"OMK - Omak Creek Instream Array",245,"Observation","A2","A2","UPSTREAM ARRAY","UPSTREAM ARRAY",110,NA,"in stream",NA
"ORB - Oasis Road Bridge",298,"Observation","B5","B3","PASS-THROUGH [DOWNSTREAM] 5","PASS-THROUGH [DOWNSTREAM] 3",130,NA,"in stream",NA
"PD1 - Top of Chelan PUD side channel",2,"Observation","04","04","PASS THROUGH ANTENNA","PASS THROUGH ANTENNA",100,NA,"in stream",NA
"PD2 - Bot of Chelan PUD side channel",2,"Observation","03","03","PASS THROUGH ANTENNA","PASS THROUGH ANTENNA",100,NA,"in stream",NA
"PES - Peshastin Creek",22,"Observation","16","11","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"PRA1 - Priest Rapids Adult West Ladder",677,"Observation","07","06","RIGHT [WEST] LADDER WEIR 5","RIGHT [WEST] LADDER WEIR 3",110,NA,"in stream",NA
"PRA2 - Priest Rapids Adult East Ladder",1964,"Observation","A1","02","LEFT [EAST] LADDER ADULT TRAP","LEFT [EAST] LADDER WEIR 3",110,NA,"in stream",NA
"PRO - Prosser Diversion Dam Combined",51,"Observation","02","01","LEFT BANK LDR COUNTING WINDOW","LEFT BANK LDR COUNTING WINDOW",110,NA,"in stream",NA
"PRV - Walla Walla R at Pierce RV Prk",92,"Observation","A1","A1","ARRAY","ARRAY",100,NA,"in stream",NA
"RCL - Rock Creek (WA) at rkm 5",7,"Observation","A5","A6","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA,"in stream",NA
"RCS - Rock Creek (WA) at rkm 14",5,"Observation","B6","B6","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA,"in stream",NA
"RCT - Roaring Creek Temporary Array",31,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"RFP - Rolfing Acclimation Pond",3,"Observation","03","01","POND EXIT","POND EXIT",110,NA,"in stream",NA
"RIA1 - Rock Island Adult Left Ladder",70,"Observation","04","02","LEFT LADDER BAFFLE 2","LEFT LADDER BAFFLE 4",100,NA,"in stream",NA
"RIA2 - Rock Island Adult Middle Ladder",1781,"Observation","0B","0C","RIGHT LADDER BAFFLE 2","RIGHT LADDER BAFFLE 2",100,NA,"in stream",NA
"RIA3 - Rock Island Adult Right Ladder",370,"Observation","09","09","RIGHT LADDER BAFFLE 4","RIGHT LADDER BAFFLE 4",100,NA,"in stream",NA
"ROZ - Roza Diversion Dam (Combined)",20,"Observation","01","01","UPSTREAM WEIR","UPSTREAM WEIR",110,NA,"in stream",NA
"RRF - Rocky Reach Fishway",2190,"Observation","03","01","WEIR 4","WEIR 6",100,NA,"dam","RRE"
"RRJ - Rocky Reach Dam Juvenile",250,"Observation","B5","B6","DSM BYPASS SURFACE COLLECTOR","DSM BYPASS SURFACE COLLECTOR",150,NA,"in stream",NA
"RZF - Roza Dam Fishway",1,"Observation","03","01","DOWNSTREAM WEIR","UPSTREAM WEIR",100,NA,"in stream",NA
"SAT - Lower Satus Creek",9,"Observation","13","12","Downstream","Upstream",100,NA,"in stream",NA
"SC1 - Lower SF Clearwater R at rkm 1",286,"Observation","B2","B2","INSTREAM ARRAY","INSTREAM ARRAY",100,NA,"in stream",NA
"SC2 - Lower SF Clearwater R at rkm 2",168,"Observation","A1","A1","INSTREAM ARRAY","INSTREAM ARRAY",100,NA,"in stream",NA
"SCP - Spring Creek Acclimation Pond",68,"Observation","F3","F1","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",110,NA,"in stream",NA
"SFG - SF Salmon at Guard Station Br.",30,"Observation","A1","A1","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA,"in stream",NA
"SHK - Shitike Creek PIT Array",6,"Observation","02","02","PIT Tag Array","PIT Tag Array",100,NA,"in stream",NA
"SJ1 - SF John Day (Mid)",11,"Observation","E1","E1","Upstream","Upstream",100,NA,"in stream",NA
"SJ2 - SF John Day (Murderer's)",30,"Observation","D6","D6","Murderers Creek","Murderers Creek",100,NA,"in stream",NA
"SR1 - Top of Entiat R side channel",1,"Observation","02","02","SINGLE ANTENNA","SINGLE ANTENNA",100,NA,"in stream",NA
"SR2 - Bot of Entiat R side channel",4,"Observation","01","01","SINGLE ANTENNA","SINGLE ANTENNA",100,NA,"in stream",NA
"STL - Sawtooth Hatchery Adult Trap",202,"Observation","A3","A1","KEYWAY 1 - ORIFICE","KEYWAY 3 - ORIFICE",100,NA,"in stream",NA
"SUN - Sunnyside Instream Array",2,"Observation","08","08","Upstream Array","Upstream Array",100,NA,"in stream",NA
"SWK - Lower Swauk Creek",2,"Observation","C3","C3","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA,"in stream",NA
"SWT - Sweetwater Cr. near its mouth",7,"Observation","B2","B1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"TAN - Taneum Creek Instream",2,"Observation","03","03","Single Antenna","Single Antenna",120,NA,"in stream",NA
"TAY - Big Creek at Taylor Ranch",6,"Observation","B4","B4","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA,"in stream",NA
"TCT - Tronsen Creek Temporary Array",1,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"TFH - Tucannon Fish Hatchery",82,"Observation","0C","0C","Downstream Array D","Downstream Array D",110,NA,"in stream",NA
"The Dalles Adult Fishways (combined)",1426,"Observation","02","01","Counting Window","Counting Window",100,NA,"dam","TDA"
"TLT - Tillicum Creek Temporary Array",19,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"TMF - Three Mile Falls Dam Combined",221,"Observation","01","01","ADULT FISH LADDER","ADULT FISH LADDER",100,NA,"in stream",NA
"TNK - Tunk Creek Instream Array",2,"Observation","A1","A1","Single Antenna","Single Antenna",100,NA,"in stream",NA
"TOP - Lower Toppenish Creek",28,"Observation","26","23","Downstream","Upstream",100,NA,"in stream",NA
"TR1 - Lower Trout Cr - Deschutes",132,"Observation","04","04","Middle Array","Middle Array",100,NA,"in stream",NA
"TR2 - Trout/Antelope Cr - Deschutes",68,"Observation","F3","F1","Trout C. Array","Trout C. Array",100,NA,"in stream",NA
"TUF - Tumwater Dam Adult Fishway",614,"Observation","A2","A1","WEIR 14","WEIR 17",100,NA,"in stream",NA
"TWR - Lwr Twisp Rvr near MSRF Ponds",111,"Observation","B3","B3","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"TWX - Estuary Towed Array (Exp.)",16,"Observation","C6","C3","MATRIX TRAWL [CURRENT]","MATRIX TRAWL [CURRENT]",170,NA,"in stream",NA
"TY1 - Low Flow Top of Tyee Channel",1,"Observation","14","14","Low Flow Top","Low Flow Top",100,NA,"in stream",NA
"UCT - Upper Chiwawa Temporary Array",12,"Observation","F1","F1","Instream Array","Instream Array",100,NA,"in stream",NA
"UGR - Upper Grande Ronde at rkm 155",14,"Observation","A5","A5","SINGLE ARRAY","SINGLE ARRAY",100,NA,"in stream",NA
"UMF - Umatilla R below Feed Dam",1,"Observation","02","02","Streamwidth array","Streamwidth array",100,NA,"in stream",NA
"UMR - Upper Mad Rv. Temporary Array",5,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"UPT - Upper Peshastin Temporary Arr.",3,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"URT - Upper Roaring Temporary Array",12,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"USE - Upper Salmon River at rkm 437",84,"Observation","B6","B6","ARRAY","ARRAY",100,NA,"in stream",NA
"USI - Upper Salmon River at rkm 460",34,"Observation","A1","A1","ARRAY","ARRAY",100,NA,"in stream",NA
"UTR - Upper Tucannon River",103,"Observation","A1","A1","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"UWE - Upper Wenatchee River",69,"Observation","B5","B5","IN-STREAM ARRAY","IN-STREAM ARRAY",110,NA,"in stream",NA
"VC1 - Valley Creek, Upstream Site",43,"Observation","04","04","Downstream Array","Downstream Array",110,NA,"in stream",NA
"VC2 - Valley Creek, Downstream Site",63,"Observation","02","02","SPEEDBUMP ANTENNA ARRAY","SPEEDBUMP ANTENNA ARRAY",110,NA,"in stream",NA
"WEA1 - Wells Dam, DCPUD Left Adult Ladder",891,"Observation","03","01","LEFT LADDER POOL 67","LEFT LADDER POOL 68",120,NA,"in stream",NA
"WEA2 - Wells Dam, DCPUD Right Adult Ladder",799,"Observation","08","06","RIGHT LADDER POOL 67","RIGHT LADDER POOL 68",120,NA,"in stream",NA
"WFC - Wolf Creek, Methow River",3,"Observation","11","11","SINGLE IN-STREAM ANTENNA","SINGLE IN-STREAM ANTENNA",100,NA,"in stream",NA
"WPC - Wimpey Creek, Lemhi R. Basin",1,"Observation","01","01","Upstream Array","Upstream Array",100,NA,"in stream",NA
"WPT - White Pine Temporary Array",1,"Observation","01","01","Instream Array","Instream Array",100,NA,"in stream",NA
"WSH - Warm Springs Hatchery",31,"Observation","02","02","ADULT FISHWAY","ADULT FISHWAY",100,NA,"in stream",NA
"WSR - Warm Springs River PIT Array",9,"Observation","01","04","PIT Tag Array","PIT Tag Array",100,NA,"in stream",NA
"WTL - White River, Wenatchee Basin",6,"Observation","B6","B6","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"WW1 - Harris Bridge S F Walla Walla",4,"Observation","02","01","RIGHT","LEFT",130,NA,"in stream",NA
"WW2 - SF Walla Walla at Bear Creek",2,"Observation","02","02","RIGHT","RIGHT",110,NA,"in stream",NA
"YFK - Yankee Fork Salmon River",22,"Observation","A4","A2","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"YHC - Yellowhawk Creek",13,"Observation","A1","A1","INSTREAM ANTENNA AT HEADGATE","INSTREAM ANTENNA AT HEADGATE",100,NA,"in stream",NA
