"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Site Basin Name","Event Site Info Name","Event Site Info Code","Event Site Code Value","Event Site Subbasin Code","Event Site Subbasin Name","Event Site RKM Value","Event Site RKM Total","CTH Count"
"384.3B2399307E","Observation","TD1 - The Dalles East Fish Ladder","8/5/2014","","","Middle Columbia","The Dalles East Fish Ladder","TD1","TD1","17070105","Middle Columbia-Hood","308","308","8"
"3D6.000AC9D32D","Mark","JDARMF - Middle Fork John Day River","7/13/2011","JDARMF - Middle Fork John Day River","7/13/2011","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D6.000AC9D32D","Observation","BO2 - Bonneville Cascades Is. Ladder","8/7/2014","","","Lower Columbia","Bonneville Cascades Is. Ladder","BO2","BO2","17080001","Lower Columbia-Sandy","234","234","1"
"3D6.000AC9D32D","Observation","BO4 - Bonneville WA Ladder Slots","8/8/2014","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","1"
"3D6.000AC9D32D","Observation","TD1 - The Dalles East Fish Ladder","8/10/2014","","","Middle Columbia","The Dalles East Fish Ladder","TD1","TD1","17070105","Middle Columbia-Hood","308","308","2"
"3D6.000AC9D32D","Recapture","JDARMF - Middle Fork John Day River","8/29/2011","JDARMF - Middle Fork John Day River","8/29/2011","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D6.000AC9D32D","Recapture","JDARMF - Middle Fork John Day River","10/6/2011","JDARMF - Middle Fork John Day River","10/6/2011","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D6.000AC9D32D","Recapture","JDARMF - Middle Fork John Day River","8/5/2012","JDARMF - Middle Fork John Day River","8/5/2012","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D6.000AC9D32D","Recapture","JDARMF - Middle Fork John Day River","4/24/2013","JDARMF - Middle Fork John Day River","4/24/2013","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D6.000AC9D33B","Mark","CAMP2C - Camp Creek, Middle Fork John Day River","7/8/2011","CAMP2C - Camp Creek, Middle Fork John Day River","7/8/2011","John Day","Camp Creek, Middle Fork John Day River","CAMP2C","CAMP2C","17070203","Middle Fork John Day","351.298.052.076","777","1"
"3D6.000AC9D33B","Observation","BO2 - Bonneville Cascades Is. Ladder","7/26/2014","","","Lower Columbia","Bonneville Cascades Is. Ladder","BO2","BO2","17080001","Lower Columbia-Sandy","234","234","12"
"3D6.000AC9D33B","Observation","BO4 - Bonneville WA Ladder Slots","7/27/2014","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","6"
"3D6.000AC9D33B","Observation","DRM - Deschutes River mouth","8/4/2014","","","Deschutes","Deschutes River mouth","DRM","DRM","17070306","Lower Deschutes","328.001","329","2"
"3D6.000AC9D33B","Observation","DRM - Deschutes River mouth","9/24/2014","","","Deschutes","Deschutes River mouth","DRM","DRM","17070306","Lower Deschutes","328.001","329","1"
"3D6.000AC9D33B","Observation","JD1 - John Day River, McDonald Ferry","12/22/2014","","","John Day","John Day River, McDonald Ferry","JD1","JD1","17070204","Lower John Day","351.032","383","3"
"3D6.000AC9D33B","Observation","MJ1 - Middle Fork John Day Array","3/8/2015","","","John Day","Middle Fork John Day Array","MJ1","MJ1","17070203","Middle Fork John Day","351.298.052.068","769","2"
"3D6.000AC9D33B","Observation","TD2 - The Dalles North Fish Ladder","8/1/2014","","","Middle Columbia","The Dalles North Fish Ladder","TD2","TD2","17070105","Middle Columbia-Hood","308","308","7"
"3D6.000AC9D33B","Recapture","CAMP2C - Camp Creek, Middle Fork John Day River","10/11/2011","CAMP2C - Camp Creek, Middle Fork John Day River","10/11/2011","John Day","Camp Creek, Middle Fork John Day River","CAMP2C","CAMP2C","17070203","Middle Fork John Day","351.298.052.076","777","1"
"3D6.000AC9D33B","Recapture","CAMP2C - Camp Creek, Middle Fork John Day River","10/13/2011","CAMP2C - Camp Creek, Middle Fork John Day River","10/13/2011","John Day","Camp Creek, Middle Fork John Day River","CAMP2C","CAMP2C","17070203","Middle Fork John Day","351.298.052.076","777","1"
"3D6.000AC9D579","Mark","JDARMF - Middle Fork John Day River","7/12/2011","JDARMF - Middle Fork John Day River","7/12/2011","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D6.000AC9D579","Observation","BO2 - Bonneville Cascades Is. Ladder","7/28/2014","","","Lower Columbia","Bonneville Cascades Is. Ladder","BO2","BO2","17080001","Lower Columbia-Sandy","234","234","9"
"3D6.000AC9D579","Observation","BO4 - Bonneville WA Ladder Slots","7/28/2014","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","5"
"3D6.000AC9D579","Observation","MC1 - McNary Oregon Shore Ladder","9/16/2014","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","12"
"3D6.000AC9D579","Observation","MJ1 - Middle Fork John Day Array","3/11/2015","","","John Day","Middle Fork John Day Array","MJ1","MJ1","17070203","Middle Fork John Day","351.298.052.068","769","2"
"3D6.000AC9D579","Observation","MJ1 - Middle Fork John Day Array","3/26/2015","","","John Day","Middle Fork John Day Array","MJ1","MJ1","17070203","Middle Fork John Day","351.298.052.068","769","2"
"3D6.000AC9D579","Observation","TD1 - The Dalles East Fish Ladder","9/10/2014","","","Middle Columbia","The Dalles East Fish Ladder","TD1","TD1","17070105","Middle Columbia-Hood","308","308","2"
"3D6.000AC9EA4D","Mark","JDARMF - Middle Fork John Day River","7/25/2011","JDARMF - Middle Fork John Day River","7/25/2011","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D6.000AC9EA4D","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/27/2013","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","18"
"3D6.000AC9EA4D","Observation","BO4 - Bonneville WA Ladder Slots","7/27/2013","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","6"
"3D6.000AC9EA4D","Observation","JDJ - John Day Dam Juvenile","5/22/2014","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","6"
"3D6.000AC9EA4D","Observation","MC1 - McNary Oregon Shore Ladder","9/25/2013","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","15"
"3D6.000AC9EA4D","Observation","MCJ - McNary Dam Juvenile","11/22/2013","","","Middle Columbia","McNary Dam Juvenile","MCJ","MCJ","17070101","Middle Columbia-Lake Wallula","470","470","5"
"3D6.000AC9EA4D","Observation","MJ1 - Middle Fork John Day Array","4/17/2014","","","John Day","Middle Fork John Day Array","MJ1","MJ1","17070203","Middle Fork John Day","351.298.052.068","769","1"
"3D6.000AC9EA4D","Observation","MJ1 - Middle Fork John Day Array","5/17/2014","","","John Day","Middle Fork John Day Array","MJ1","MJ1","17070203","Middle Fork John Day","351.298.052.068","769","2"
"3D6.000AC9EA4D","Observation","TD1 - The Dalles East Fish Ladder","9/21/2013","","","Middle Columbia","The Dalles East Fish Ladder","TD1","TD1","17070105","Middle Columbia-Hood","308","308","3"
"3D6.000AC9EB34","Mark","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","7/18/2011","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","7/18/2011","John Day","Vinegar Creek, tributary to Middle Fork John Day River","VNGRC","VNGRC","17070203","Middle Fork John Day","351.298.052.103","804","1"
"3D6.000AC9EB34","Observation","BO2 - Bonneville Cascades Is. Ladder","7/17/2014","","","Lower Columbia","Bonneville Cascades Is. Ladder","BO2","BO2","17080001","Lower Columbia-Sandy","234","234","11"
"3D6.000AC9EB34","Observation","BO4 - Bonneville WA Ladder Slots","7/17/2014","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","7"
"3D6.000AC9EB34","Observation","JDJ - John Day Dam Juvenile","6/3/2012","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","12"
"3D6.000AC9EB34","Recapture","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","8/28/2011","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","8/28/2011","John Day","Vinegar Creek, tributary to Middle Fork John Day River","VNGRC","VNGRC","17070203","Middle Fork John Day","351.298.052.103","804","1"
"3D6.000AC9EB34","Recapture","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","10/3/2011","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River","10/3/2011","John Day","Vinegar Creek, tributary to Middle Fork John Day River","VNGRC","VNGRC","17070203","Middle Fork John Day","351.298.052.103","804","1"
"3D9.1BF15BA444","Mark","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","4/14/2004","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","4/14/2004","John Day","John Day River - North Fork John Day River to headwaters (km 298-454)","JDAR2","JDAR2","17070201","Upper John Day","351","351","1"
"3D9.1BF15BA444","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2006","","","Lower Columbia","Bonneville Cascades Is. Ladder","BO2","BO2","17080001","Lower Columbia-Sandy","234","234","9"
"3D9.1BF15BA444","Observation","BO4 - Bonneville WA Ladder Slots","8/4/2006","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","5"
"3D9.1BF15BA444","Observation","MC1 - McNary Oregon Shore Ladder","9/13/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","10"
"3D9.1BF15BA444","Observation","MCJ - McNary Dam Juvenile","11/14/2006","","","Middle Columbia","McNary Dam Juvenile","MCJ","MCJ","17070101","Middle Columbia-Lake Wallula","470","470","4"
"3D9.1BF15CB9FE","Mark","JDAR1 - John Day River - mouth to North Fork John Day River (km 0-298)","4/24/2003","JDAR1 - John Day River - mouth to North Fork John Day River (km 0-298)","4/24/2003","John Day","John Day River - mouth to North Fork John Day River (km 0-298)","JDAR1","JDAR1","17070204","Lower John Day","351","351","1"
"3D9.1BF15CB9FE","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/26/2005","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","16"
"3D9.1BF15CB9FE","Observation","BO4 - Bonneville WA Ladder Slots","7/26/2005","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","4"
"3D9.1BF15CB9FE","Observation","JDJ - John Day Dam Juvenile","5/16/2003","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
"3D9.1BF15CB9FE","Observation","TWX - Estuary Towed Array (Exp.)","5/20/2003","","","Lower Columbia","Estuary Towed Array (Exp.)","TWX","TWX","17080003","Lower Columbia-Clatskanie","075","75","1"
"3D9.1BF15DA5FD","Mark","JDARMF - Middle Fork John Day River","4/21/2004","JDARMF - Middle Fork John Day River","4/21/2004","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D9.1BF15DA5FD","Observation","BO4 - Bonneville WA Ladder Slots","7/10/2005","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","4"
"3D9.1BF1629729","Mark","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","4/22/2004","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","4/22/2004","John Day","John Day River - North Fork John Day River to headwaters (km 298-454)","JDAR2","JDAR2","17070201","Upper John Day","351","351","1"
"3D9.1BF1629729","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/2/2006","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","13"
"3D9.1BF1629729","Observation","BO4 - Bonneville WA Ladder Slots","8/2/2006","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","4"
"3D9.1BF1629729","Observation","JDJ - John Day Dam Juvenile","5/24/2004","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
"3D9.1BF17D16A9","Mark","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","3/2/2004","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","3/2/2004","John Day","John Day River - North Fork John Day River to headwaters (km 298-454)","JDAR2","JDAR2","17070201","Upper John Day","351","351","1"
"3D9.1BF17D16A9","Observation","BO2 - Bonneville Cascades Is. Ladder","8/3/2005","","","Lower Columbia","Bonneville Cascades Is. Ladder","BO2","BO2","17080001","Lower Columbia-Sandy","234","234","12"
"3D9.1BF17D16A9","Observation","BO4 - Bonneville WA Ladder Slots","8/3/2005","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","4"
"3D9.1BF17D16A9","Observation","MC2 - McNary Washington Shore Ladder","10/24/2005","","","Middle Columbia","McNary Washington Shore Ladder","MC2","MC2","17070101","Middle Columbia-Lake Wallula","470","470","14"
"3D9.1BF17D3FDE","Mark","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","4/16/2004","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","4/16/2004","John Day","John Day River - North Fork John Day River to headwaters (km 298-454)","JDAR2","JDAR2","17070201","Upper John Day","351","351","1"
"3D9.1BF17D3FDE","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/17/2005","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","4"
"3D9.1BF17D3FDE","Observation","BO4 - Bonneville WA Ladder Slots","7/17/2005","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","4"
"3D9.1BF18350F3","Mark","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","3/5/2004","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)","3/5/2004","John Day","John Day River - North Fork John Day River to headwaters (km 298-454)","JDAR2","JDAR2","17070201","Upper John Day","351","351","1"
"3D9.1BF18350F3","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/6/2005","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","19"
"3D9.1BF18350F3","Observation","BO4 - Bonneville WA Ladder Slots","8/6/2005","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","5"
"3D9.1BF1844A85","Mark","JDARMF - Middle Fork John Day River","4/27/2004","JDARMF - Middle Fork John Day River","4/27/2004","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D9.1BF1844A85","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/23/2005","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","19"
"3D9.1BF1844A85","Observation","BO4 - Bonneville WA Ladder Slots","7/23/2005","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","6"
"3D9.1BF1929F02","Mark","JDARSF - South Fork John Day River","12/28/2004","JDARSF - South Fork John Day River","12/28/2004","John Day","South Fork John Day River","JDARSF","JDARSF","17070201","Upper John Day","351.341","692","1"
"3D9.1BF1929F02","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/12/2006","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","20"
"3D9.1BF1929F02","Observation","BO4 - Bonneville WA Ladder Slots","8/12/2006","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","6"
"3D9.1BF1929F02","Observation","JDJ - John Day Dam Juvenile","5/3/2005","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
"3D9.1BF1929F02","Observation","MC1 - McNary Oregon Shore Ladder","9/9/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","13"
"3D9.1BF1929F02","Observation","MC1 - McNary Oregon Shore Ladder","9/27/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","15"
"3D9.1BF1929F02","Observation","MCJ - McNary Dam Juvenile","11/10/2006","","","Middle Columbia","McNary Dam Juvenile","MCJ","MCJ","17070101","Middle Columbia-Lake Wallula","470","470","4"
"3D9.1BF1929FF8","Mark","JDARSF - South Fork John Day River","12/30/2004","JDARSF - South Fork John Day River","12/30/2004","John Day","South Fork John Day River","JDARSF","JDARSF","17070201","Upper John Day","351.341","692","1"
"3D9.1BF1929FF8","Observation","BO1 - Bonneville Bradford Is. Ladder","8/23/2006","","","Lower Columbia","Bonneville Bradford Is. Ladder","BO1","BO1","17080001","Lower Columbia-Sandy","234","234","14"
"3D9.1BF1929FF8","Observation","JDJ - John Day Dam Juvenile","5/8/2005","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
"3D9.1BF1929FF8","Observation","MC1 - McNary Oregon Shore Ladder","10/1/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","15"
"3D9.1BF1929FF8","Observation","MC1 - McNary Oregon Shore Ladder","10/9/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","11"
"3D9.1BF1929FF8","Recapture","JDARSF - South Fork John Day River","4/29/2005","JDARSF - South Fork John Day River","4/29/2005","John Day","South Fork John Day River","JDARSF","JDARSF","17070201","Upper John Day","351.341","692","1"
"3D9.1BF192A09F","Mark","JDARSF - South Fork John Day River","2/28/2005","JDARSF - South Fork John Day River","2/28/2005","John Day","South Fork John Day River","JDARSF","JDARSF","17070201","Upper John Day","351.341","692","1"
"3D9.1BF192A09F","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/18/2006","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","17"
"3D9.1BF192A09F","Observation","BO4 - Bonneville WA Ladder Slots","8/18/2006","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","8"
"3D9.1BF192A09F","Observation","ICH - Ice Harbor Dam (Combined)","11/19/2006","","","Lower Snake","Ice Harbor Dam (Combined)","ICH","ICH","17060110","Lower Snake","522.016","538","6"
"3D9.1BF192A09F","Observation","JDJ - John Day Dam Juvenile","4/30/2005","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
"3D9.1BF192A09F","Observation","MC1 - McNary Oregon Shore Ladder","9/30/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","13"
"3D9.1BF192A09F","Observation","MC1 - McNary Oregon Shore Ladder","11/17/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","14"
"3D9.1BF192A09F","Observation","MCJ - McNary Dam Juvenile","11/11/2006","","","Middle Columbia","McNary Dam Juvenile","MCJ","MCJ","17070101","Middle Columbia-Lake Wallula","470","470","4"
"3D9.1BF192A2E2","Mark","JDARSF - South Fork John Day River","2/28/2005","JDARSF - South Fork John Day River","2/28/2005","John Day","South Fork John Day River","JDARSF","JDARSF","17070201","Upper John Day","351.341","692","1"
"3D9.1BF192A2E2","Observation","BO1 - Bonneville Bradford Is. Ladder","7/26/2006","","","Lower Columbia","Bonneville Bradford Is. Ladder","BO1","BO1","17080001","Lower Columbia-Sandy","234","234","15"
"3D9.1BF192A2E2","Observation","MC1 - McNary Oregon Shore Ladder","11/9/2006","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","22"
"3D9.1BF192AC40","Mark","JDARSF - South Fork John Day River","1/1/2005","JDARSF - South Fork John Day River","1/1/2005","John Day","South Fork John Day River","JDARSF","JDARSF","17070201","Upper John Day","351.341","692","1"
"3D9.1BF192AC40","Observation","BO4 - Bonneville WA Ladder Slots","7/19/2006","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","7"
"3D9.1BF192AC40","Observation","JDJ - John Day Dam Juvenile","5/2/2005","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
"3D9.1BF1943A21","Mark","JSFBC - Black Canyon Creek, South Fork John Day River","8/16/2004","JSFBC - Black Canyon Creek, South Fork John Day River","8/16/2004","John Day","Black Canyon Creek, South Fork John Day River","JSFBC","JSFBC","17070201","Upper John Day","351.341.023","715","1"
"3D9.1BF1943A21","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/11/2007","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","18"
"3D9.1BF1943A21","Observation","BO4 - Bonneville WA Ladder Slots","8/11/2007","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","5"
"3D9.1BF1943A21","Observation","JD1 - John Day River, McDonald Ferry","4/13/2008","","","John Day","John Day River, McDonald Ferry","JD1","JD1","17070204","Lower John Day","351.032","383","7"
"3D9.1BF1943A21","Observation","MC2 - McNary Washington Shore Ladder","9/24/2007","","","Middle Columbia","McNary Washington Shore Ladder","MC2","MC2","17070101","Middle Columbia-Lake Wallula","470","470","18"
"3D9.1BF1957BBD","Mark","JDARMF - Middle Fork John Day River","5/6/2006","JDARMF - Middle Fork John Day River","5/6/2006","John Day","Middle Fork John Day River","JDARMF","JDARMF","17070203","Middle Fork John Day","351.298.052","701","1"
"3D9.1BF1957BBD","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/1/2007","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","20"
"3D9.1BF1957BBD","Observation","BO4 - Bonneville WA Ladder Slots","8/1/2007","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","8"
"3D9.1BF1957BBD","Observation","JD1 - John Day River, McDonald Ferry","11/20/2007","","","John Day","John Day River, McDonald Ferry","JD1","JD1","17070204","Lower John Day","351.032","383","10"
"3D9.1BF1957BBD","Observation","JDJ - John Day Dam Juvenile","5/15/2006","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
"3D9.1BF19594C6","Mark","JDARSF - South Fork John Day River","10/29/2005","JDARSF - South Fork John Day River","10/29/2005","John Day","South Fork John Day River","JDARSF","JDARSF","17070201","Upper John Day","351.341","692","1"
"3D9.1BF19594C6","Observation","BCC - BON PH2 Corner Collector","5/8/2009","","","Lower Columbia","BON PH2 Corner Collector","BCC","BCC","17080001","Lower Columbia-Sandy","234","234","1"
"3D9.1BF19594C6","Observation","BO1 - Bonneville Bradford Is. Ladder","8/26/2008","","","Lower Columbia","Bonneville Bradford Is. Ladder","BO1","BO1","17080001","Lower Columbia-Sandy","234","234","5"
"3D9.1BF19594C6","Observation","MC1 - McNary Oregon Shore Ladder","9/23/2008","","","Middle Columbia","McNary Oregon Shore Ladder","MC1","MC1","17070101","Middle Columbia-Lake Wallula","470","470","18"
"3D9.1BF1989388","Mark","JSFMC - Murderers Creek, South Fork John Day River","8/26/2005","JSFMC - Murderers Creek, South Fork John Day River","8/26/2005","John Day","Murderers Creek, South Fork John Day River","JSFMC","JSFMC","17070201","Upper John Day","351.341.027","719","1"
"3D9.1BF1989388","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/22/2007","","","Lower Columbia","Bonneville WA Shore Ladder/AFF","BO3","BO3","17080001","Lower Columbia-Sandy","234","234","17"
"3D9.1BF1989388","Observation","BO4 - Bonneville WA Ladder Slots","7/22/2007","","","Lower Columbia","Bonneville WA Ladder Slots","BO4","BO4","17080001","Lower Columbia-Sandy","234","234","8"
"3D9.1BF1989388","Observation","JD1 - John Day River, McDonald Ferry","3/18/2008","","","John Day","John Day River, McDonald Ferry","JD1","JD1","17070204","Lower John Day","351.032","383","13"
"3D9.1BF1989388","Observation","JDJ - John Day Dam Juvenile","4/29/2006","","","Middle Columbia","John Day Dam Juvenile","JDJ","JDJ","17070105","Middle Columbia-Hood","347","347","8"
