"Interrogation Site Code","Interrogation Site Name","Interrogation Site Long Name","Int Site Start Date","Int Site End Date","Int Site Active","Site Type Name","Interrogation Site Subbasin Code","Interrogation Site Subbasin Name","Interrogation Site Location Start","Interrogation Site Location End","Interrogation Site Location Latitude","Interrogation Site Location Longitude","Interrogation Site Location RKM","Interrogation Site Location RKM Total","Data Steward Name","Steward Email","Steward Phone","Steward Organization","Interrogation Site Basin Name","New Metric"
"3D1","Top of 3D Side Channel","3D1 - Top of 3D Side Channel","3/27/2013","3/7/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","3/7/2017","47.892100","-120.450200","778.043","821","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"3D2","Middle-1 of 3D Side Channel","3D2 - Middle-1 of 3D Side Channel","3/27/2013","1/3/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","1/3/2017","47.891860","-120.448000","778.043","821","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"3D3","Middle-2 of 3D Side Channel","3D3 - Middle-2 of 3D Side Channel","3/27/2013","1/6/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","1/6/2017","47.891920","-120.447700","778.043","821","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"3D4","Bottom of 3D Side Channel","3D4 - Bottom of 3D Side Channel","3/27/2013","1/13/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","1/13/2017","47.890430","-120.447500","778.043","821","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"85M","Eightmile Ck at Fivemile Ck","85M - Eightmile Ck at Fivemile Ck","3/20/2011","","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","3/20/2011","","45.593295","-121.080635","309.004.002","315","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Middle Columbia","1"
"AB1","Abernathy Creek FWS Tech Cntr.","AB1 - Abernathy Creek FWS Tech Cntr.","9/24/2001","5/5/2017","0","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","9/24/2001","5/5/2017","46.226350","-123.147773","087.005","92","Doug Peterson","doug_peterson@fws.gov","360-425-6072","USFWS","Lower Columbia","1"
"AB2","Abernathy Creek Farmers Bridge","AB2 - Abernathy Creek Farmers Bridge","9/24/2001","11/6/2006","0","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","9/24/2001","11/6/2006","46.212653","-123.147325","087.003","90","Unknown Contact","","","","Lower Columbia","1"
"AB3","Lower Abernathy Creek","AB3 - Lower Abernathy Creek","4/1/2009","7/2/2019","0","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","4/1/2009","7/2/2019","46.194136","-123.166929","087.001","88","Doug Peterson","doug_peterson@fws.gov","360-425-6072","USFWS","Lower Columbia","1"
"AB4","Abernathy Creek Hatch Channel","AB4 - Abernathy Creek Hatch Channel","4/13/2005","4/3/2019","0","Monitored Fish Release","17080003","Lower Columbia-Clatskanie","4/13/2005","4/3/2019","46.226340","-123.148890","087.005","92","Doug Peterson","doug_peterson@fws.gov","360-425-6072","USFWS","Lower Columbia","1"
"ACB","Asotin Cr. at Cloverland Brdg.","ACB - Asotin Cr. at Cloverland Brdg.","7/30/2009","","1","Instream Remote Detection System","17060103","Lower Snake-Asotin","7/30/2009","","46.325584","-117.108679","522.234.005","761","Steve Bennett","bennett.ecological@gmail.com","435-757-5668","ELR","Lower Snake","1"
"ACM","Asotin Creek near mouth","ACM - Asotin Creek near mouth","8/1/2011","","1","Instream Remote Detection System","17060103","Lower Snake-Asotin","8/1/2011","","46.341368","-117.055707","522.234.001","757","Steve Bennett","bennett.ecological@gmail.com","435-757-5668","ELR","Lower Snake","1"
"AEN","Aeneas Creek Temporary Array","AEN - Aeneas Creek Temporary Array","3/1/2014","","1","Instream Remote Detection System","17020006","Okanogan","3/1/2014","","48.658578","-119.476197","858.086.001","945","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"AFC","No./So. Fk Asotin Cr. Jct. ISA","AFC - No./So. Fk Asotin Cr. Jct. ISA","7/30/2009","","1","Instream Remote Detection System","17060103","Lower Snake-Asotin","7/30/2009","","46.272487","-117.292147","522.234.025","781","Steve Bennett","bennett.ecological@gmail.com","435-757-5668","ELR","Lower Snake","1"
"AGC","Agency Creek, Lemhi R. Basin","AGC - Agency Creek, Lemhi R. Basin","10/21/2013","11/6/2016","0","Instream Remote Detection System","17060204","Lemhi","10/21/2013","11/6/2016","44.956739","-113.639543","522.303.416.039.001","1281","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"AH1","Ahtanum at Lasalle HS","AH1 - Ahtanum at Lasalle HS","11/15/2018","","1","Instream Remote Detection System","17030003","Lower Yakima","11/15/2018","","46.547465","-120.495246","539.172.004","715","Tim Resseguie","rest@yakamafish-nsn.gov","509-945-7409","YINN","Yakima","1"
"ANR","Antoine Creek at AV Ranch","ANR - Antoine Creek at AV Ranch","3/16/2021","","1","Instream Remote Detection System","17020006","Okanogan","3/16/2021","","48.746841","-119.369198","858.099.005","962","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"ANT","Antoine Creek Instream Array","ANT - Antoine Creek Instream Array","11/9/2009","","1","Instream Remote Detection System","17020006","Okanogan","11/9/2009","","48.758345","-119.408420","858.099.000","957","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"B1J","BONNEVILLE PH1 JUVENILE","B1J - BONNEVILLE PH1 JUVENILE","2/20/2003","7/31/2003","0","Juvenile Fish Bypass Facility","17080001","Lower Columbia-Sandy","2/20/2003","7/31/2003","45.641462","-121.946125","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"B2A","BONNEVILLE ADULT WA SHORE","B2A - BONNEVILLE ADULT WA SHORE","4/20/1998","12/6/2002","0","Adult Fishway","17080001","Lower Columbia-Sandy","4/20/1998","12/6/2002","45.649788","-121.936531","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"B2J","Bonneville PH2 Juvenile","B2J - Bonneville PH2 Juvenile","4/1/1996","","1","Juvenile Fish Bypass Facility","17080001","Lower Columbia-Sandy","4/1/1996","","45.636816","-121.965300","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BBA","Big Bear Creek Array","BBA - Big Bear Creek Array","3/2/2018","","1","Instream Remote Detection System","17060306","Clearwater","3/2/2018","","46.627882","-116.650795","522.224.024.023.002","795","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","Clearwater","1"
"BBP","Blackbird Pond Accl. Site","BBP - Blackbird Pond Accl. Site","3/15/2012","6/30/2017","0","Monitored Fish Release","17020011","Wenatchee","3/15/2012","6/30/2017","47.588592","-120.664375","754.040","794","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"BBT","Touchet River at Bolles Bridge","BBT - Touchet River at Bolles Bridge","11/1/2011","","1","Instream Remote Detection System","17070102","Walla Walla","11/1/2011","","46.274100","-118.220354","509.035.065","609","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Middle Columbia","1"
"BC1","Birch Creek Taylor Lane","BC1 - Birch Creek Taylor Lane","10/1/2019","2/8/2020","0","Instream Remote Detection System","17070103","Umatilla","10/1/2019","2/8/2020","45.652919","-118.879302","465.077.000","542","Joshua Hanson","josh.hanson@odfw.oregon.gov","541-429-7267","ODFW","Middle Columbia","1"
"BCA","Blue Creek Instream Array","BCA - Blue Creek Instream Array","3/1/2012","","1","Instream Remote Detection System","17010307","Lower Spokane","3/1/2012","","47.892815","-118.139816","1020.023.001","1044","Casey Flanagan","caseyf@spokanetribe.com","509-626-4408","SPOKAN","Spokane","1"
"BCC","BON PH2 Corner Collector","BCC - BON PH2 Corner Collector","4/8/2006","","1","Juvenile Fish Bypass Facility","17080001","Lower Columbia-Sandy","4/8/2006","","45.648140","-121.942544","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BCP","Butcher Creek Acclimation Pond","BCP - Butcher Creek Acclimation Pond","1/1/2003","","1","Monitored Fish Release","17020011","Wenatchee","1/1/2003","","47.769549","-120.802350","754.089.013","856","Jeffrey Caisman","caij@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"BDP","Biddle Acclimation Pond","BDP - Biddle Acclimation Pond","3/1/2010","5/29/2018","0","Monitored Fish Release","17020008","Methow","3/1/2010","5/29/2018","48.488820","-120.247937","843.085.002","930","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"BGM","Burlingame Dam and Canal","BGM - Burlingame Dam and Canal","10/30/2006","","1","Instream Remote Detection System","17070102","Walla Walla","10/30/2006","","46.023149","-118.424443","509.059","568","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"BHC","Bohannon Creek Lemhi R Basin","BHC - Bohannon Creek Lemhi R Basin","10/6/2011","","1","Instream Remote Detection System","17060204","Lemhi","10/6/2011","10/16/2013","45.117770","-113.741300","522.303.416.017.001","1259","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"BHC","Bohannon Creek Lemhi R Basin","BHC - Bohannon Creek Lemhi R Basin","10/6/2011","","1","Instream Remote Detection System","17060204","Lemhi","10/16/2013","","45.112189","-113.746897","522.303.416.017.001","1259","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"BHL","Adult Fishway at BONH","BHL - Adult Fishway at BONH","7/13/2011","12/2/2014","0","Hatchery Returns","17080001","Lower Columbia-Sandy","7/13/2011","12/2/2014","45.632678","-121.957909","232.001","233","Howard Takata","howard.k.takata@state.or.us","971-673-6065","ODFW","Lower Columbia","1"
"BMT","Big Meadow Temporary Array","BMT - Big Meadow Temporary Array","3/1/2011","5/16/2014","0","Instream Remote Detection System","17020011","Wenatchee","3/1/2011","5/16/2014","47.867619","-120.696425","754.077.014.001","846","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"BO1","Bonneville Bradford Is. Ladder","BO1 - Bonneville Bradford Is. Ladder","3/7/2002","","1","Adult Fishway","17080001","Lower Columbia-Sandy","3/7/2002","","45.641509","-121.943902","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BO2","Bonneville Cascades Is. Ladder","BO2 - Bonneville Cascades Is. Ladder","3/13/2002","","1","Adult Fishway","17080001","Lower Columbia-Sandy","3/13/2002","","45.646047","-121.941241","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BO3","Bonneville WA Shore Ladder/AFF","BO3 - Bonneville WA Shore Ladder/AFF","12/6/2002","","1","Adult Fishway","17080001","Lower Columbia-Sandy","12/6/2002","","45.649788","-121.936531","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BO4","Bonneville WA Ladder Slots","BO4 - Bonneville WA Ladder Slots","2/28/2005","","1","Adult Fishway","17080001","Lower Columbia-Sandy","2/28/2005","","45.649788","-121.936531","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BPC","Bonaparte Creek Instream Array","BPC - Bonaparte Creek Instream Array","1/17/2013","","1","Instream Remote Detection System","17020006","Okanogan","1/17/2013","","48.704819","-119.445464","858.092.001","951","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"BR0","Bridge Creek Gauge","BR0 - Bridge Creek Gauge","7/17/2012","","1","Instream Remote Detection System","17070204","Lower John Day","7/17/2012","","44.727230","-120.302200","351.218.002","571","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","John Day","1"
"BR1","Bridge Creek Kiosk","BR1 - Bridge Creek Kiosk","7/17/2012","","1","Instream Remote Detection System","17070204","Lower John Day","7/17/2012","","44.654323","-120.251131","351.218.014","583","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","John Day","1"
"BR2","Bridge Creek Gable","BR2 - Bridge Creek Gable","7/17/2012","3/28/2018","0","Instream Remote Detection System","17070204","Lower John Day","7/17/2012","3/28/2018","44.592430","-120.208100","351.218.022","591","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","John Day","1"
"BR3","Bridge Creek Ranch","BR3 - Bridge Creek Ranch","7/17/2012","11/6/2018","0","Instream Remote Detection System","17070204","Lower John Day","7/17/2012","11/6/2018","44.585170","-120.183700","351.218.027","596","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","John Day","1"
"BRC","Bear Valley Adult Video Weir","BRC - Bear Valley Adult Video Weir","6/28/2012","","1","Instream Remote Detection System","17060205","Upper Middle Fork Salmon","6/28/2012","","44.427939","-115.284171","522.303.319.170.006","1320","Kurt Tardy","ktardy@sbtribes.com","208-239-4562","SHOBAN","Salmon","1"
"BSC","Big Sheep Creek ISA at km 6","BSC - Big Sheep Creek ISA at km 6","10/1/2010","","1","Instream Remote Detection System","17060102","Imnaha","10/1/2010","","45.506482","-116.850735","522.308.032.006","868","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Lower Snake","1"
"BSH","Big Sheep Crk. Upper Columbia ","BSH - Big Sheep Crk. Upper Columbia ","9/28/2011","","1","Instream Remote Detection System","17020001","Franklin D. Roosevelt Lake","9/28/2011","","48.940974","-117.770226","1180.001","1181","Charles Lee","charles.lee@dfw.wa.gov","509-892-1001 x303","WDFW","Upper Columbia","1"
"BTC","Big Timber Creek","BTC - Big Timber Creek","1/20/2010","10/15/2013","0","Instream Remote Detection System","17060204","Lemhi","1/20/2010","10/15/2013","44.688110","-113.370410","522.303.416.089.001","1331","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"BTL","Lower Big Timber, Lemhi Basin","BTL - Lower Big Timber, Lemhi Basin","10/16/2013","","1","Instream Remote Detection System","17060204","Lemhi","10/16/2013","","44.697568","-113.374118","522.303.416.089.001","1331","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"BTM","Big Timber Creek - Middle","BTM - Big Timber Creek - Middle","3/19/2015","5/18/2018","0","Instream Remote Detection System","17060204","Lemhi","3/19/2015","5/18/2018","44.660444","-113.377624","522.303.416.089.005","1335","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"BTU","Big Timber Creek - Upper","BTU - Big Timber Creek - Upper","8/18/2015","8/1/2018","0","Instream Remote Detection System","17060204","Lemhi","8/18/2015","8/1/2018","44.613860","-113.397036","522.303.416.089.011","1341","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"BVC","Beaver Creek, Methow River","BVC - Beaver Creek, Methow River","1/1/2009","","1","Instream Remote Detection System","17020008","Methow","1/1/2009","3/3/2015","48.358155","-120.040412","843.057.003","903","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"BVC","Beaver Creek, Methow River","BVC - Beaver Creek, Methow River","1/1/2009","","1","Instream Remote Detection System","17020008","Methow","3/3/2015","","48.331298","-120.057397","843.057.001","901","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"BVJ","BONNEVILLE DAM DMS1 SUBSAMPLE","BVJ - BONNEVILLE DAM DMS1 SUBSAMPLE","5/1/1992","2/20/2003","0","Juvenile Fish Bypass Facility","17080001","Lower Columbia-Sandy","5/1/1992","2/20/2003","45.641418","-121.946237","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BVP","Beaver Creek Acclimation Pond","BVP - Beaver Creek Acclimation Pond","1/1/2006","","1","Monitored Fish Release","17020011","Wenatchee","1/1/2006","","47.768224","-120.648222","754.075.001","830","Jeffrey Caisman","caij@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"BVT","Beaver Creek Temporary Array","BVT - Beaver Creek Temporary Array","3/1/2011","8/7/2014","0","Instream Remote Detection System","17020011","Wenatchee","3/1/2011","8/7/2014","47.764831","-120.656264","754.075.001","830","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"BVX","Bonneville PH1 Juvenile (Exp.)","BVX - Bonneville PH1 Juvenile (Exp.)","4/26/1996","2/20/2003","0","Juvenile Fish Bypass Facility","17080001","Lower Columbia-Sandy","4/26/1996","2/20/2003","45.641418","-121.945961","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"BWL","Bonneville WA Shore Ladder","BWL - Bonneville WA Shore Ladder","3/23/2001","12/3/2002","0","Adult Fishway","17080001","Lower Columbia-Sandy","3/23/2001","12/3/2002","45.649788","-121.936531","234","234","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Columbia","1"
"CAC","Canyon Creek ISA @ km 1","CAC - Canyon Creek ISA @ km 1","11/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","11/1/2010","6/8/2018","44.692005","-113.354711","522.303.416.090.001","1332","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"CAC","Canyon Creek ISA @ km 1","CAC - Canyon Creek ISA @ km 1","11/1/2010","","1","Instream Remote Detection System","17060204","Lemhi","6/8/2018","","44.691090","-113.365281","522.303.416.090.001","1332","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"CAL","Carson NFH Adult Return Ladder","CAL - Carson NFH Adult Return Ladder","3/25/2010","","1","Hatchery Returns","17070105","Middle Columbia-Hood","3/25/2010","","45.867910","-121.974702","251.028.000","279","Rikeem Sholes","rikeem_sholes@fws.gov","504-982-5075","USFWS","Middle Columbia","1"
"CAP","Carlton Acc. Pond","CAP - Carlton Acc. Pond","1/1/1995","5/8/2014","0","Monitored Fish Release","17020008","Methow","1/1/1995","5/8/2014","48.343361","-120.088760","843.058","901","Eric Lauver","elauver@gcpud.org","509-797-5175","GPUD","Upper Columbia","1"
"CBL","Clear Branch below the Dam","CBL - Clear Branch below the Dam","5/3/2016","11/12/2019","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","5/3/2016","11/12/2019","45.461796","-121.652918","273.023.015.001","312","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","Middle Columbia","1"
"CBS","Clear Branch Dam spillway","CBS - Clear Branch Dam spillway","4/4/2017","7/1/2020","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","4/4/2017","7/1/2020","45.460357","-121.657972","273.023.015.001","312","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","Middle Columbia","1"
"CCA","Lower Charley Creek ISA","CCA - Lower Charley Creek ISA","8/7/2009","","1","Instream Remote Detection System","17060103","Lower Snake-Asotin","8/7/2009","","46.288458","-117.282497","522.234.022.001","779","Steve Bennett","bennett.ecological@gmail.com","435-757-5668","ELR","Lower Snake","1"
"CCC","Carrolls Channel, Lwr Col Riv","CCC - Carrolls Channel, Lwr Col Riv","5/1/2010","7/21/2010","0","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","5/1/2010","7/21/2010","46.058223","-122.868197","115","115","Doug Peterson","doug_peterson@fws.gov","360-425-6072","USFWS","Lower Columbia","1"
"CCM","Chumstick Creek at Merry","CCM - Chumstick Creek at Merry","4/2/2013","5/17/2014","0","Instream Remote Detection System","17020011","Wenatchee","4/2/2013","5/17/2014","47.716742","-120.632689","754.037.015","806","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"CCP","Catherine Creek Acc. Pond","CCP - Catherine Creek Acc. Pond","1/1/2000","4/16/2014","0","Monitored Fish Release","17060104","Upper Grande Ronde","1/1/2000","4/16/2014","45.122647","-117.693448","522.271.232.048","1073","Mike McLean","MikeMcLean@ctuir.org","541-429-7960","CTUIR","Lower Snake","1"
"CCS","Chumstick Creek at Sunitsch","CCS - Chumstick Creek at Sunitsch","4/2/2013","5/17/2014","0","Instream Remote Detection System","17020011","Wenatchee","4/2/2013","5/17/2014","47.672270","-120.641600","754.037.008","799","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"CCT","Chikamin Creek Temporary Array","CCT - Chikamin Creek Temporary Array","3/1/2011","5/30/2013","0","Instream Remote Detection System","17020011","Wenatchee","3/1/2011","5/30/2013","47.908611","-120.722258","754.077.023.001","855","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"CCU","Catherine Creek at Union","CCU - Catherine Creek at Union","12/19/2018","","1","Instream Remote Detection System","17060104","Upper Grande Ronde","12/19/2018","","45.215252","-117.900689","522.271.232.025","1050","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Lower Snake","1"
"CCW","Catherine Creek Ladder/Weir","CCW - Catherine Creek Ladder/Weir","3/2/2015","","1","Adult Fishway","17060104","Upper Grande Ronde","3/2/2015","","45.190964","-117.828617","522.271.232.032","1057","Joseph Feldhaus","joseph.feldhaus@odfw.oregon.gov","541-962-3724","ODFW","Lower Snake","1"
"CDP","Cushman Dam Project","CDP - Cushman Dam Project","5/4/2015","","1","Juvenile Fish Bypass Facility","17110017","Skokomish","5/4/2015","","47.397547","-123.201129","***","0","Scott Gibson","SGibson@ci.tacoma.wa.us","253-779-7535","TPU","Puget Sound","1"
"CEY","Cearley Creek Side Channel","CEY - Cearley Creek Side Channel","1/1/2016","11/20/2018","0","Instream Remote Detection System","17060201","Upper Salmon","1/1/2016","11/20/2018","44.339059","-114.721640","522.303.591.009","1425","Evelyn Galloway","egalloway@sbtribes.com","208-251-1283","SHOBAN","Salmon","1"
"CFD","Cowlitz Falls Dam","CFD - Cowlitz Falls Dam","4/26/2013","","1","Juvenile Fish Bypass Facility","17080005","Lower Cowlitz","4/26/2013","","46.466947","-122.110367","111.133","244","Gabe McGuire","gmcguire@cityoftacoma.org","","TPU","Lower Columbia","1"
"CFF","Castile Falls Fishway","CFF - Castile Falls Fishway","8/5/2011","","1","Adult Fishway","17070106","Klickitat","8/5/2011","","46.258257","-121.244490","290.103","393","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Middle Columbia","1"
"CFJ","Clark Flat Acc. Pond","CFJ - Clark Flat Acc. Pond","3/15/1999","","1","Monitored Fish Release","17030001","Upper Yakima","3/15/1999","","47.104300","-120.722700","539.270","809","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Yakima","1"
"CGJ","Cougar Dam PFFC","CGJ - Cougar Dam PFFC","4/22/2014","3/31/2016","0","Instream Juvenile Fish Trap","17090004","Mckenzie","4/22/2014","3/31/2016","44.127172","-122.244598","163.282.090.007","542","Gabriel Hansen","ghansen@usgs.gov","509-538-2299 x271","USGS","Willamette","1"
"CHL","Lower Chiwawa River","CHL - Lower Chiwawa River","3/3/2008","","1","Instream Remote Detection System","17020011","Wenatchee","3/3/2008","","47.787548","-120.653864","754.077.001","832","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"CHM","Chumstick Creek","CHM - Chumstick Creek","2/28/2011","","1","Instream Remote Detection System","17020011","Wenatchee","2/28/2011","","47.604850","-120.648606","754.037.000","791","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"CHN","CHALLIS DIVERSION NORTH","CHN - CHALLIS DIVERSION NORTH","9/1/1991","10/27/1993","0","Instream Remote Detection System","17060201","Upper Salmon","9/1/1991","10/27/1993","44.460306","-114.213817","","0","Unknown Contact","","","","Salmon","1"
