"day","year","temp","date"
178,1998,14.617,"1998-06-27"
179,1998,15.106,"1998-06-28"
180,1998,15.374,"1998-06-29"
181,1998,15.171,"1998-06-30"
182,1998,15.459,"1998-07-01"
183,1998,15.815,"1998-07-02"
184,1998,15.863,"1998-07-03"
185,1998,NA,"1998-07-04"
186,1998,NA,"1998-07-05"
187,1998,16.194,"1998-07-06"
188,1998,16.451,"1998-07-07"
189,1998,16.193,"1998-07-08"
190,1998,16.594,"1998-07-09"
191,1998,17.19,"1998-07-10"
192,1998,17.019,"1998-07-11"
193,1998,16.6,"1998-07-12"
194,1998,16.819,"1998-07-13"
195,1998,16.694,"1998-07-14"
196,1998,16.51,"1998-07-15"
197,1998,16.41,"1998-07-16"
198,1998,16.813,"1998-07-17"
199,1998,17.204,"1998-07-18"
200,1998,17.502,"1998-07-19"
201,1998,17.681,"1998-07-20"
202,1998,17.865,"1998-07-21"
203,1998,18.169,"1998-07-22"
204,1998,18.327,"1998-07-23"
205,1998,18.447,"1998-07-24"
206,1998,18.609,"1998-07-25"
207,1998,18.815,"1998-07-26"
208,1998,18.806,"1998-07-27"
209,1998,18.85,"1998-07-28"
210,1998,18.852,"1998-07-29"
211,1998,18.838,"1998-07-30"
212,1998,19.012,"1998-07-31"
213,1998,19.225,"1998-08-01"
214,1998,19.512,"1998-08-02"
215,1998,19.706,"1998-08-03"
216,1998,19.387,"1998-08-04"
217,1998,19.432,"1998-08-05"
218,1998,19.244,"1998-08-06"
219,1998,19.558,"1998-08-07"
220,1998,19.748,"1998-08-08"
221,1998,19.773,"1998-08-09"
222,1998,19.571,"1998-08-10"
223,1998,19.831,"1998-08-11"
224,1998,19.929,"1998-08-12"
225,1998,20.188,"1998-08-13"
226,1998,20.264,"1998-08-14"
227,1998,20.287,"1998-08-15"
228,1998,20.275,"1998-08-16"
229,1998,20.069,"1998-08-17"
230,1998,19.917,"1998-08-18"
231,1998,19.975,"1998-08-19"
232,1998,19.796,"1998-08-20"
233,1998,19.829,"1998-08-21"
234,1998,19.894,"1998-08-22"
235,1998,20.021,"1998-08-23"
236,1998,20.101,"1998-08-24"
237,1998,20.26,"1998-08-25"
238,1998,20.289,"1998-08-26"
239,1998,20.303,"1998-08-27"
240,1998,20.264,"1998-08-28"
241,1998,20.63,"1998-08-29"
242,1998,20.754,"1998-08-30"
243,1998,20.774,"1998-08-31"
244,1998,20.778,"1998-09-01"
245,1998,NA,"1998-09-02"
246,1998,NA,"1998-09-03"
247,1998,NA,"1998-09-04"
248,1998,NA,"1998-09-05"
249,1998,NA,"1998-09-06"
250,1998,NA,"1998-09-07"
251,1998,NA,"1998-09-08"
252,1998,NA,"1998-09-09"
253,1998,NA,"1998-09-10"
254,1998,NA,"1998-09-11"
255,1998,NA,"1998-09-12"
256,1998,NA,"1998-09-13"
257,1998,NA,"1998-09-14"
258,1998,NA,"1998-09-15"
259,1998,NA,"1998-09-16"
260,1998,NA,"1998-09-17"
261,1998,NA,"1998-09-18"
262,1998,NA,"1998-09-19"
263,1998,NA,"1998-09-20"
264,1998,NA,"1998-09-21"
265,1998,NA,"1998-09-22"
266,1998,NA,"1998-09-23"
267,1998,NA,"1998-09-24"
268,1998,NA,"1998-09-25"
269,1998,NA,"1998-09-26"
270,1998,NA,"1998-09-27"
271,1998,NA,"1998-09-28"
272,1998,NA,"1998-09-29"
273,1998,NA,"1998-09-30"
274,1998,NA,"1998-10-01"
275,1998,NA,"1998-10-02"
276,1998,NA,"1998-10-03"
277,1998,NA,"1998-10-04"
278,1998,NA,"1998-10-05"
279,1998,NA,"1998-10-06"
280,1998,NA,"1998-10-07"
281,1998,NA,"1998-10-08"
282,1998,NA,"1998-10-09"
283,1998,NA,"1998-10-10"
284,1998,NA,"1998-10-11"
285,1998,NA,"1998-10-12"
286,1998,NA,"1998-10-13"
287,1998,NA,"1998-10-14"
288,1998,NA,"1998-10-15"
289,1998,NA,"1998-10-16"
290,1998,NA,"1998-10-17"
291,1998,NA,"1998-10-18"
292,1998,NA,"1998-10-19"
293,1998,NA,"1998-10-20"
294,1998,NA,"1998-10-21"
295,1998,NA,"1998-10-22"
296,1998,NA,"1998-10-23"
297,1998,NA,"1998-10-24"
298,1998,NA,"1998-10-25"
299,1998,NA,"1998-10-26"
300,1998,NA,"1998-10-27"
301,1998,NA,"1998-10-28"
302,1998,NA,"1998-10-29"
303,1998,NA,"1998-10-30"
304,1998,NA,"1998-10-31"
305,1998,NA,"1998-11-01"
306,1998,NA,"1998-11-02"
307,1998,NA,"1998-11-03"
308,1998,NA,"1998-11-04"
309,1998,NA,"1998-11-05"
310,1998,NA,"1998-11-06"
311,1998,NA,"1998-11-07"
312,1998,NA,"1998-11-08"
313,1998,NA,"1998-11-09"
314,1998,NA,"1998-11-10"
315,1998,NA,"1998-11-11"
316,1998,NA,"1998-11-12"
317,1998,NA,"1998-11-13"
318,1998,NA,"1998-11-14"
319,1998,NA,"1998-11-15"
320,1998,NA,"1998-11-16"
321,1998,NA,"1998-11-17"
322,1998,NA,"1998-11-18"
323,1998,NA,"1998-11-19"
324,1998,NA,"1998-11-20"
325,1998,NA,"1998-11-21"
326,1998,NA,"1998-11-22"
327,1998,NA,"1998-11-23"
328,1998,NA,"1998-11-24"
329,1998,NA,"1998-11-25"
330,1998,NA,"1998-11-26"
331,1998,NA,"1998-11-27"
332,1998,NA,"1998-11-28"
333,1998,NA,"1998-11-29"
334,1998,NA,"1998-11-30"
335,1998,NA,"1998-12-01"
336,1998,NA,"1998-12-02"
337,1998,NA,"1998-12-03"
338,1998,NA,"1998-12-04"
339,1998,NA,"1998-12-05"
340,1998,NA,"1998-12-06"
341,1998,NA,"1998-12-07"
342,1998,NA,"1998-12-08"
343,1998,NA,"1998-12-09"
344,1998,NA,"1998-12-10"
345,1998,NA,"1998-12-11"
346,1998,NA,"1998-12-12"
347,1998,NA,"1998-12-13"
348,1998,NA,"1998-12-14"
349,1998,NA,"1998-12-15"
350,1998,NA,"1998-12-16"
351,1998,NA,"1998-12-17"
352,1998,NA,"1998-12-18"
353,1998,NA,"1998-12-19"
354,1998,NA,"1998-12-20"
355,1998,NA,"1998-12-21"
356,1998,NA,"1998-12-22"
357,1998,NA,"1998-12-23"
358,1998,NA,"1998-12-24"
359,1998,NA,"1998-12-25"
360,1998,NA,"1998-12-26"
361,1998,NA,"1998-12-27"
362,1998,NA,"1998-12-28"
363,1998,NA,"1998-12-29"
364,1998,NA,"1998-12-30"
365,1998,NA,"1998-12-31"
1,1999,NA,"1999-01-01"
2,1999,NA,"1999-01-02"
3,1999,NA,"1999-01-03"
4,1999,NA,"1999-01-04"
5,1999,NA,"1999-01-05"
6,1999,NA,"1999-01-06"
7,1999,NA,"1999-01-07"
8,1999,NA,"1999-01-08"
9,1999,NA,"1999-01-09"
10,1999,NA,"1999-01-10"
11,1999,NA,"1999-01-11"
12,1999,NA,"1999-01-12"
13,1999,NA,"1999-01-13"
14,1999,NA,"1999-01-14"
15,1999,NA,"1999-01-15"
16,1999,NA,"1999-01-16"
17,1999,NA,"1999-01-17"
18,1999,NA,"1999-01-18"
19,1999,NA,"1999-01-19"
20,1999,NA,"1999-01-20"
21,1999,NA,"1999-01-21"
22,1999,NA,"1999-01-22"
23,1999,NA,"1999-01-23"
24,1999,NA,"1999-01-24"
25,1999,NA,"1999-01-25"
26,1999,NA,"1999-01-26"
27,1999,NA,"1999-01-27"
28,1999,NA,"1999-01-28"
29,1999,NA,"1999-01-29"
30,1999,NA,"1999-01-30"
31,1999,NA,"1999-01-31"
32,1999,NA,"1999-02-01"
33,1999,NA,"1999-02-02"
34,1999,NA,"1999-02-03"
35,1999,NA,"1999-02-04"
36,1999,NA,"1999-02-05"
37,1999,NA,"1999-02-06"
38,1999,NA,"1999-02-07"
39,1999,NA,"1999-02-08"
40,1999,NA,"1999-02-09"
41,1999,NA,"1999-02-10"
42,1999,NA,"1999-02-11"
43,1999,NA,"1999-02-12"
44,1999,NA,"1999-02-13"
45,1999,NA,"1999-02-14"
46,1999,NA,"1999-02-15"
47,1999,NA,"1999-02-16"
48,1999,NA,"1999-02-17"
49,1999,NA,"1999-02-18"
50,1999,NA,"1999-02-19"
51,1999,NA,"1999-02-20"
52,1999,NA,"1999-02-21"
53,1999,NA,"1999-02-22"
54,1999,NA,"1999-02-23"
55,1999,NA,"1999-02-24"
56,1999,NA,"1999-02-25"
57,1999,NA,"1999-02-26"
58,1999,NA,"1999-02-27"
59,1999,NA,"1999-02-28"
60,1999,NA,"1999-03-01"
61,1999,NA,"1999-03-02"
62,1999,NA,"1999-03-03"
63,1999,NA,"1999-03-04"
64,1999,NA,"1999-03-05"
65,1999,NA,"1999-03-06"
66,1999,NA,"1999-03-07"
67,1999,NA,"1999-03-08"
68,1999,NA,"1999-03-09"
69,1999,NA,"1999-03-10"
70,1999,NA,"1999-03-11"
71,1999,NA,"1999-03-12"
72,1999,NA,"1999-03-13"
73,1999,NA,"1999-03-14"
74,1999,NA,"1999-03-15"
75,1999,NA,"1999-03-16"
76,1999,NA,"1999-03-17"
77,1999,NA,"1999-03-18"
78,1999,NA,"1999-03-19"
79,1999,NA,"1999-03-20"
80,1999,NA,"1999-03-21"
81,1999,NA,"1999-03-22"
82,1999,NA,"1999-03-23"
83,1999,NA,"1999-03-24"
84,1999,NA,"1999-03-25"
85,1999,NA,"1999-03-26"
86,1999,NA,"1999-03-27"
87,1999,NA,"1999-03-28"
88,1999,NA,"1999-03-29"
89,1999,NA,"1999-03-30"
90,1999,NA,"1999-03-31"
91,1999,NA,"1999-04-01"
92,1999,NA,"1999-04-02"
93,1999,NA,"1999-04-03"
94,1999,NA,"1999-04-04"
95,1999,NA,"1999-04-05"
96,1999,NA,"1999-04-06"
97,1999,NA,"1999-04-07"
98,1999,NA,"1999-04-08"
99,1999,NA,"1999-04-09"
100,1999,NA,"1999-04-10"
101,1999,NA,"1999-04-11"
102,1999,NA,"1999-04-12"
103,1999,NA,"1999-04-13"
104,1999,NA,"1999-04-14"
105,1999,NA,"1999-04-15"
106,1999,NA,"1999-04-16"
107,1999,NA,"1999-04-17"
108,1999,NA,"1999-04-18"
109,1999,NA,"1999-04-19"
110,1999,NA,"1999-04-20"
111,1999,NA,"1999-04-21"
112,1999,NA,"1999-04-22"
113,1999,NA,"1999-04-23"
114,1999,NA,"1999-04-24"
115,1999,NA,"1999-04-25"
116,1999,NA,"1999-04-26"
117,1999,NA,"1999-04-27"
118,1999,7.733,"1999-04-28"
119,1999,7.875,"1999-04-29"
120,1999,8.075,"1999-04-30"
121,1999,8.239,"1999-05-01"
122,1999,8.333,"1999-05-02"
123,1999,8.4,"1999-05-03"
124,1999,8.461,"1999-05-04"
125,1999,8.475,"1999-05-05"
126,1999,8.75,"1999-05-06"
127,1999,8.793,"1999-05-07"
128,1999,8.978,"1999-05-08"
129,1999,9.092,"1999-05-09"
130,1999,9.275,"1999-05-10"
131,1999,9.333,"1999-05-11"
132,1999,9.4,"1999-05-12"
133,1999,9.404,"1999-05-13"
134,1999,9.7,"1999-05-14"
135,1999,9.938,"1999-05-15"
136,1999,9.971,"1999-05-16"
137,1999,9.958,"1999-05-17"
138,1999,9.963,"1999-05-18"
139,1999,10.103,"1999-05-19"
140,1999,10.194,"1999-05-20"
141,1999,10.397,"1999-05-21"
142,1999,10.7,"1999-05-22"
143,1999,10.883,"1999-05-23"
144,1999,10.532,"1999-05-24"
145,1999,11.004,"1999-05-25"
146,1999,10.545,"1999-05-26"
147,1999,10,"1999-05-27"
148,1999,10,"1999-05-28"
149,1999,10,"1999-05-29"
150,1999,10,"1999-05-30"
151,1999,10.217,"1999-05-31"
152,1999,10.261,"1999-06-01"
153,1999,10,"1999-06-02"
154,1999,10.391,"1999-06-03"
155,1999,11,"1999-06-04"
156,1999,11.021,"1999-06-05"
157,1999,11.238,"1999-06-06"
158,1999,11.517,"1999-06-07"
159,1999,11.738,"1999-06-08"
160,1999,11.803,"1999-06-09"
161,1999,12.319,"1999-06-10"
162,1999,12.238,"1999-06-11"
163,1999,12,"1999-06-12"
164,1999,12.917,"1999-06-13"
165,1999,13,"1999-06-14"
166,1999,13.311,"1999-06-15"
167,1999,13.479,"1999-06-16"
168,1999,13.483,"1999-06-17"
169,1999,13.538,"1999-06-18"
170,1999,13.517,"1999-06-19"
171,1999,13.767,"1999-06-20"
172,1999,13.533,"1999-06-21"
173,1999,13.574,"1999-06-22"
174,1999,13.027,"1999-06-23"
175,1999,13.062,"1999-06-24"
176,1999,13.175,"1999-06-25"
177,1999,13.176,"1999-06-26"
178,1999,13.013,"1999-06-27"
179,1999,13.32,"1999-06-28"
180,1999,13.767,"1999-06-29"
181,1999,14.017,"1999-06-30"
182,1999,14.32,"1999-07-01"
183,1999,14.326,"1999-07-02"
184,1999,14.175,"1999-07-03"
185,1999,14.237,"1999-07-04"
186,1999,14.263,"1999-07-05"
187,1999,14.563,"1999-07-06"
188,1999,14.885,"1999-07-07"
189,1999,15.038,"1999-07-08"
190,1999,15.238,"1999-07-09"
191,1999,15.1,"1999-07-10"
192,1999,15.071,"1999-07-11"
193,1999,15.493,"1999-07-12"
194,1999,15.596,"1999-07-13"
195,1999,15.542,"1999-07-14"
196,1999,15.255,"1999-07-15"
197,1999,15.158,"1999-07-16"
198,1999,14.983,"1999-07-17"
199,1999,14.971,"1999-07-18"
200,1999,15.638,"1999-07-19"
201,1999,15.871,"1999-07-20"
202,1999,15.983,"1999-07-21"
203,1999,16.139,"1999-07-22"
204,1999,16.254,"1999-07-23"
205,1999,16.292,"1999-07-24"
206,1999,16.238,"1999-07-25"
207,1999,16.292,"1999-07-26"
208,1999,16.288,"1999-07-27"
209,1999,16.221,"1999-07-28"
210,1999,16.663,"1999-07-29"
211,1999,16.858,"1999-07-30"
212,1999,16.913,"1999-07-31"
213,1999,17.021,"1999-08-01"
214,1999,16.875,"1999-08-02"
215,1999,16.804,"1999-08-03"
216,1999,16.888,"1999-08-04"
217,1999,17.233,"1999-08-05"
218,1999,17.333,"1999-08-06"
219,1999,17.479,"1999-08-07"
220,1999,17.646,"1999-08-08"
221,1999,17.658,"1999-08-09"
222,1999,17.829,"1999-08-10"
223,1999,17.85,"1999-08-11"
224,1999,17.925,"1999-08-12"
225,1999,17.892,"1999-08-13"
226,1999,17.979,"1999-08-14"
227,1999,18,"1999-08-15"
228,1999,17.99,"1999-08-16"
229,1999,18.114,"1999-08-17"
230,1999,18.048,"1999-08-18"
231,1999,17.97,"1999-08-19"
232,1999,18.338,"1999-08-20"
233,1999,18.331,"1999-08-21"
234,1999,18.485,"1999-08-22"
235,1999,18.503,"1999-08-23"
236,1999,18.508,"1999-08-24"
237,1999,18.322,"1999-08-25"
238,1999,18.305,"1999-08-26"
239,1999,18.454,"1999-08-27"
240,1999,18.41,"1999-08-28"
241,1999,18.398,"1999-08-29"
242,1999,18.374,"1999-08-30"
243,1999,18.037,"1999-08-31"
244,1999,18.1,"1999-09-01"
245,1999,17.994,"1999-09-02"
246,1999,17.808,"1999-09-03"
247,1999,17.801,"1999-09-04"
248,1999,17.798,"1999-09-05"
249,1999,17.741,"1999-09-06"
250,1999,17.78,"1999-09-07"
251,1999,17.642,"1999-09-08"
252,1999,17.927,"1999-09-09"
253,1999,17.827,"1999-09-10"
254,1999,17.703,"1999-09-11"
255,1999,17.817,"1999-09-12"
256,1999,17.962,"1999-09-13"
257,1999,18.038,"1999-09-14"
258,1999,17.941,"1999-09-15"
259,1999,17.9,"1999-09-16"
260,1999,NA,"1999-09-17"
261,1999,NA,"1999-09-18"
262,1999,NA,"1999-09-19"
263,1999,NA,"1999-09-20"
264,1999,NA,"1999-09-21"
265,1999,NA,"1999-09-22"
266,1999,NA,"1999-09-23"
267,1999,NA,"1999-09-24"
268,1999,NA,"1999-09-25"
269,1999,NA,"1999-09-26"
270,1999,NA,"1999-09-27"
271,1999,NA,"1999-09-28"
272,1999,NA,"1999-09-29"
273,1999,NA,"1999-09-30"
274,1999,NA,"1999-10-01"
275,1999,NA,"1999-10-02"
276,1999,NA,"1999-10-03"
277,1999,NA,"1999-10-04"
278,1999,NA,"1999-10-05"
279,1999,NA,"1999-10-06"
280,1999,NA,"1999-10-07"
281,1999,NA,"1999-10-08"
282,1999,NA,"1999-10-09"
283,1999,NA,"1999-10-10"
284,1999,NA,"1999-10-11"
285,1999,NA,"1999-10-12"
286,1999,NA,"1999-10-13"
287,1999,NA,"1999-10-14"
288,1999,NA,"1999-10-15"
289,1999,NA,"1999-10-16"
290,1999,NA,"1999-10-17"
291,1999,NA,"1999-10-18"
292,1999,NA,"1999-10-19"
293,1999,NA,"1999-10-20"
294,1999,NA,"1999-10-21"
295,1999,NA,"1999-10-22"
296,1999,NA,"1999-10-23"
297,1999,NA,"1999-10-24"
298,1999,NA,"1999-10-25"
299,1999,NA,"1999-10-26"
300,1999,NA,"1999-10-27"
301,1999,NA,"1999-10-28"
302,1999,NA,"1999-10-29"
303,1999,NA,"1999-10-30"
304,1999,NA,"1999-10-31"
305,1999,NA,"1999-11-01"
306,1999,NA,"1999-11-02"
307,1999,NA,"1999-11-03"
308,1999,NA,"1999-11-04"
309,1999,NA,"1999-11-05"
310,1999,NA,"1999-11-06"
311,1999,NA,"1999-11-07"
312,1999,NA,"1999-11-08"
313,1999,NA,"1999-11-09"
314,1999,NA,"1999-11-10"
315,1999,NA,"1999-11-11"
316,1999,NA,"1999-11-12"
317,1999,NA,"1999-11-13"
318,1999,NA,"1999-11-14"
319,1999,NA,"1999-11-15"
320,1999,NA,"1999-11-16"
321,1999,NA,"1999-11-17"
322,1999,NA,"1999-11-18"
323,1999,NA,"1999-11-19"
324,1999,NA,"1999-11-20"
325,1999,NA,"1999-11-21"
326,1999,NA,"1999-11-22"
327,1999,NA,"1999-11-23"
328,1999,NA,"1999-11-24"
329,1999,NA,"1999-11-25"
330,1999,NA,"1999-11-26"
331,1999,NA,"1999-11-27"
332,1999,NA,"1999-11-28"
333,1999,NA,"1999-11-29"
334,1999,NA,"1999-11-30"
335,1999,NA,"1999-12-01"
336,1999,NA,"1999-12-02"
337,1999,NA,"1999-12-03"
338,1999,NA,"1999-12-04"
339,1999,NA,"1999-12-05"
340,1999,NA,"1999-12-06"
341,1999,NA,"1999-12-07"
342,1999,NA,"1999-12-08"
343,1999,NA,"1999-12-09"
344,1999,NA,"1999-12-10"
345,1999,NA,"1999-12-11"
346,1999,NA,"1999-12-12"
347,1999,NA,"1999-12-13"
348,1999,NA,"1999-12-14"
349,1999,NA,"1999-12-15"
350,1999,NA,"1999-12-16"
351,1999,NA,"1999-12-17"
352,1999,NA,"1999-12-18"
353,1999,NA,"1999-12-19"
354,1999,NA,"1999-12-20"
355,1999,NA,"1999-12-21"
356,1999,NA,"1999-12-22"
357,1999,NA,"1999-12-23"
358,1999,NA,"1999-12-24"
359,1999,NA,"1999-12-25"
360,1999,NA,"1999-12-26"
361,1999,NA,"1999-12-27"
362,1999,NA,"1999-12-28"
363,1999,NA,"1999-12-29"
364,1999,NA,"1999-12-30"
365,1999,NA,"1999-12-31"
1,2000,NA,"2000-01-01"
2,2000,NA,"2000-01-02"
3,2000,NA,"2000-01-03"
4,2000,NA,"2000-01-04"
5,2000,NA,"2000-01-05"
6,2000,NA,"2000-01-06"
7,2000,NA,"2000-01-07"
8,2000,NA,"2000-01-08"
9,2000,NA,"2000-01-09"
10,2000,NA,"2000-01-10"
11,2000,NA,"2000-01-11"
12,2000,NA,"2000-01-12"
13,2000,NA,"2000-01-13"
14,2000,NA,"2000-01-14"
15,2000,NA,"2000-01-15"
16,2000,NA,"2000-01-16"
17,2000,NA,"2000-01-17"
18,2000,NA,"2000-01-18"
19,2000,NA,"2000-01-19"
20,2000,NA,"2000-01-20"
21,2000,NA,"2000-01-21"
22,2000,NA,"2000-01-22"
23,2000,NA,"2000-01-23"
24,2000,NA,"2000-01-24"
25,2000,NA,"2000-01-25"
26,2000,NA,"2000-01-26"
27,2000,NA,"2000-01-27"
28,2000,NA,"2000-01-28"
29,2000,NA,"2000-01-29"
30,2000,NA,"2000-01-30"
31,2000,NA,"2000-01-31"
32,2000,NA,"2000-02-01"
33,2000,NA,"2000-02-02"
34,2000,NA,"2000-02-03"
35,2000,NA,"2000-02-04"
36,2000,NA,"2000-02-05"
37,2000,NA,"2000-02-06"
38,2000,NA,"2000-02-07"
39,2000,NA,"2000-02-08"
40,2000,NA,"2000-02-09"
41,2000,NA,"2000-02-10"
42,2000,NA,"2000-02-11"
43,2000,NA,"2000-02-12"
44,2000,NA,"2000-02-13"
45,2000,NA,"2000-02-14"
46,2000,NA,"2000-02-15"
47,2000,NA,"2000-02-16"
48,2000,NA,"2000-02-17"
49,2000,NA,"2000-02-18"
50,2000,NA,"2000-02-19"
51,2000,NA,"2000-02-20"
52,2000,NA,"2000-02-21"
53,2000,NA,"2000-02-22"
54,2000,NA,"2000-02-23"
55,2000,NA,"2000-02-24"
56,2000,NA,"2000-02-25"
57,2000,NA,"2000-02-26"
58,2000,NA,"2000-02-27"
59,2000,NA,"2000-02-28"
60,2000,NA,"2000-02-29"
61,2000,NA,"2000-03-01"
62,2000,NA,"2000-03-02"
63,2000,NA,"2000-03-03"
64,2000,NA,"2000-03-04"
65,2000,NA,"2000-03-05"
66,2000,NA,"2000-03-06"
67,2000,NA,"2000-03-07"
68,2000,NA,"2000-03-08"
69,2000,NA,"2000-03-09"
70,2000,NA,"2000-03-10"
71,2000,NA,"2000-03-11"
72,2000,NA,"2000-03-12"
73,2000,NA,"2000-03-13"
74,2000,NA,"2000-03-14"
75,2000,NA,"2000-03-15"
76,2000,NA,"2000-03-16"
